iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.5605844,"[2.042717  1.8078387 2.1559865 1.7504354 1.5652889 1.7758838 1.922063
 1.7917184 1.8988454 1.8291575 1.9120737 1.6907359 1.5605844 1.9618595
 1.7084545 1.7996233]","[0.78749585 0.79230976 0.7894188  0.793312   0.7913581  0.79549307
 0.79425114 0.79203355 0.792486   0.7968001  0.79574937 0.7952026
 0.7945669  0.7885824  0.792581   0.793178  ]","[-0.21506453 -0.2100162  -0.20624113 -0.21047667 -0.21345006 -0.21006861
 -0.20665686 -0.20919001 -0.20811677 -0.20973714 -0.20673314 -0.21149147
 -0.21240008 -0.20847745 -0.2096623  -0.2099082 ]","[2.2577815 2.017855  2.3622277 1.960912  1.778739  1.9859524 2.1287198
 2.0009084 2.1069622 2.0388947 2.1188068 1.9022274 1.7729845 2.170337
 1.9181168 2.0095315]"
1,1.5605844,"[1.7709625 1.7170072 1.5932674 1.7640278 1.9835833 1.7596332 1.9441271
 1.8453479 1.5839822 2.2147682 1.9005588 1.6984172 1.8269985 2.1803484
 1.6762743 1.6508782]","[0.78970456 0.7932683  0.7938356  0.7938451  0.79286903 0.7953326
 0.7904798  0.79358715 0.7918626  0.7944934  0.79260314 0.7942154
 0.7933025  0.7861011  0.7954139  0.7938127 ]","[-0.21054263 -0.21177225 -0.20527096 -0.20643258 -0.2066134  -0.20796537
 -0.20774697 -0.20973782 -0.21409062 -0.20449713 -0.2064511  -0.21189098
 -0.20916443 -0.2069528  -0.2113132  -0.2068198 ]","[1.9815052 1.9287794 1.7985384 1.9704604 2.1901968 1.9675986 2.151874
 2.0550857 1.7980728 2.4192653 2.10701   1.9103081 2.0361629 2.3873012
 1.8875875 1.857698 ]"
2,1.5605844,"[1.6964949 1.872309  1.7972387 1.7323376 2.2152045 1.9308406 1.8179082
 1.6996253 2.2231817 1.7695367 1.6294177 2.4132335 1.862865  1.6982279
 2.146673  1.9730157]","[0.79561037 0.79469234 0.7925376  0.79634136 0.7924701  0.7910944
 0.7875888  0.7946959  0.7904991  0.7928322  0.79469705 0.79117984
 0.7965031  0.79567367 0.7912105  0.79676074]","[-0.2119788  -0.20704292 -0.20212494 -0.21199135 -0.20235324 -0.20688812
 -0.20752731 -0.21155451 -0.20136392 -0.21059294 -0.21289805 -0.19923477
 -0.20795868 -0.21145204 -0.2046423  -0.20696561]","[1.9084737 2.079352  1.9993637 1.9443289 2.4175577 2.1377287 2.0254354
 1.9111798 2.4245458 1.9801297 1.8423157 2.6124682 2.0708237 1.9096799
 2.3513153 2.1799812]"
3,1.5605844,"[1.6817381 1.6879793 1.805283  1.6900222 1.7161456 1.7404374 1.6920066
 1.9642212 1.9257958 2.0134249 1.6668954 1.8000609 1.6365749 1.9047989
 1.7960607 1.6993514]","[0.79451287 0.793554   0.7914481  0.7923037  0.7917704  0.79000056
 0.79575485 0.7932025  0.7945515  0.7948689  0.7907753  0.7916653
 0.79317397 0.7942192  0.7938904  0.79553485]","[-0.2132056  -0.21117795 -0.2089151  -0.21250944 -0.21047346 -0.209505
 -0.21260925 -0.20072198 -0.20261078 -0.2061358  -0.21346731 -0.20875278
 -0.21142279 -0.20579635 -0.20888749 -0.21102607]","[1.8949437 1.8991573 2.014198  1.9025316 1.926619  1.9499424 1.9046159
 2.1649432 2.1284065 2.2195606 1.8803627 2.0088136 1.8479977 2.1105952
 2.0049481 1.9103775]"
4,1.5605844,"[1.6978673 1.8425913 2.1127446 1.7144055 2.0943913 1.7340028 1.7557602
 1.6797482 1.7118433 1.7266638 1.8269438 2.1810932 2.0651813 1.6614792
 1.6328248 2.0499735]","[0.7965021  0.79120016 0.78578454 0.79628354 0.79182917 0.7958452
 0.7927491  0.7966327  0.79207724 0.7899782  0.7910632  0.78868157
 0.7918279  0.7937096  0.792881   0.79141015]","[-0.21291716 -0.20998357 -0.20417099 -0.21124558 -0.20532845 -0.20993994
 -0.21135552 -0.21198075 -0.21134233 -0.21084718 -0.2104932  -0.20481434
 -0.2038852  -0.21278146 -0.2063688  -0.20610324]","[1.9107845 2.0525749 2.3169155 1.9256511 2.2997198 1.9439428 1.9671158
 1.8917289 1.9231856 1.937511  2.037437  2.3859076 2.2690666 1.8742607
 1.8391936 2.2560768]"
5,1.5605844,"[1.6113316 1.9606899 1.6686212 1.5902025 1.945914  1.8684118 1.7196532
 1.9524062 1.8438146 1.8291407 1.8137858 1.763811  1.8016    1.6659133
 1.6434836 1.742242 ]","[0.795019   0.79363054 0.7956385  0.7933087  0.7940709  0.7955644
 0.7943843  0.79407465 0.7927582  0.7934131  0.7958793  0.7948775
 0.7905681  0.7934284  0.79194635 0.7954938 ]","[-0.21267079 -0.20674522 -0.21054684 -0.21189523 -0.20727892 -0.20893101
 -0.21200025 -0.20631123 -0.208606   -0.2090302  -0.20796676 -0.21277276
 -0.20915847 -0.21259789 -0.21202922 -0.21092212]","[1.8240024 2.1674352 1.879168  1.8020977 2.153193  2.0773427 1.9316535
 2.1587174 2.0524206 2.0381708 2.0217526 1.9765837 2.0107584 1.8785112
 1.8555129 1.9531641]"
6,1.5605844,"[1.9985312 1.8592479 1.7704718 1.8753248 1.7109783 1.832551  1.9057148
 1.8137454 1.8924646 1.85149   1.8219166 1.7603792 1.9174422 1.8053552
 1.8171169 1.8097639]","[0.7872921  0.79638964 0.7939693  0.79506326 0.79444057 0.7951184
 0.7968304  0.7961208  0.7947148  0.7940609  0.796288   0.7963254
 0.7957137  0.79332274 0.79593176 0.7908544 ]","[-0.20725004 -0.20959423 -0.21016578 -0.20237099 -0.21122375 -0.20912483
 -0.20847945 -0.2103416  -0.20207648 -0.20165351 -0.20839424 -0.20909119
 -0.20513932 -0.20244943 -0.21105893 -0.20829268]","[2.2057812 2.0688422 1.9806376 2.0776958 1.922202  2.0416758 2.1141942
 2.024087  2.094541  2.0531435 2.0303109 1.9694704 2.1225815 2.0078046
 2.0281758 2.0180566]"
7,1.5605844,"[2.08054   1.612     1.8129544 1.6674105 1.7305555 1.9958932 2.0340488
 1.7253596 1.8834637 1.8869429 1.7972889 1.8399689 1.6426376 1.7211862
 1.7995309 1.815542 ]","[0.7892403  0.7916788  0.79486006 0.7931751  0.7910028  0.7940593
 0.793577   0.7912726  0.793169   0.7947963  0.79729146 0.796002
 0.79469955 0.795908   0.79447085 0.7974633 ]","[-0.20794299 -0.204998   -0.20802572 -0.21190958 -0.20866776 -0.20538454
 -0.2070124  -0.2045156  -0.20851476 -0.20700501 -0.20890117 -0.2087076
 -0.21239388 -0.21221979 -0.21216452 -0.20866494]","[2.288483  1.816998  2.0209801 1.87932   1.9392233 2.2012777 2.2410612
 1.9298751 2.0919785 2.093948  2.00619   2.0486765 1.8550315 1.933406
 2.0116954 2.0242069]"
8,1.5605844,"[1.8530759 1.8180033 1.7924803 1.7853011 1.7689295 1.9025044 1.913849
 1.8757658 1.8201537 2.044703  1.597158  1.5698543 1.644693  1.8224275
 1.8958805 1.670323 ]","[0.7943128  0.79182255 0.78924304 0.7950199  0.79500115 0.7938467
 0.7974995  0.79322    0.7913648  0.79360336 0.7960002  0.7942161
 0.79304445 0.7952365  0.79319966 0.7926961 ]","[-0.2074698  -0.21177427 -0.20627509 -0.21154223 -0.21101013 -0.20635393
 -0.20652048 -0.20209025 -0.21049543 -0.20540293 -0.21267822 -0.21219392
 -0.20725377 -0.2046978  -0.2037342  -0.21191095]","[2.0605457 2.0297775 1.9987555 1.9968433 1.9799396 2.1088583 2.1203694
 2.077856  2.0306492 2.2501059 1.8098361 1.7820482 1.8519468 2.0271254
 2.0996146 1.882234 ]"
9,1.5605844,"[1.6492511 1.6993223 1.8174521 1.679328  1.7668436 1.8580388 1.5794731
 1.7495208 1.7428501 1.7732692 1.9946344 1.8390379 1.7622457 1.7674818
 1.7798355 1.6431279]","[0.7940327  0.78290004 0.7967194  0.79434144 0.7936525  0.7931079
 0.7949998  0.79260206 0.79453534 0.7947662  0.7933067  0.7963082
 0.79467636 0.79328686 0.7888681  0.7937663 ]","[-0.21260507 -0.21057709 -0.20696793 -0.21094556 -0.20440798 -0.20933925
 -0.21310078 -0.20437935 -0.21061206 -0.21166523 -0.2023888  -0.20947905
 -0.20716353 -0.20934092 -0.21015692 -0.21197987]","[1.8618562 1.9098995 2.02442   1.8902736 1.9712515 2.067378  1.7925739
 1.9539001 1.9534621 1.9849344 2.1970232 2.048517  1.9694092 1.9768227
 1.9899924 1.8551078]"
10,1.5605844,"[2.0462372 1.8654137 1.8638006 1.8500186 1.6247108 1.7457012 1.6663301
 1.8126866 1.6629434 1.7793394 1.7962495 1.8003047 1.6154004 1.6103059
 1.7470224 1.6583563]","[0.7900682  0.79770815 0.79656094 0.79311204 0.7930417  0.79191965
 0.79021615 0.79565376 0.7922749  0.79383546 0.7964384  0.79674286
 0.7932764  0.7939245  0.7932574  0.7913726 ]","[-0.20969974 -0.20818897 -0.20492108 -0.20966657 -0.2126739  -0.21058758
 -0.21136284 -0.20225058 -0.21187754 -0.20419084 -0.21105061 -0.20166373
 -0.21118394 -0.21276167 -0.211336   -0.2124074 ]","[2.2559369 2.0736027 2.0687218 2.0596852 1.8373847 1.9562888 1.8776929
 2.0149372 1.874821  1.9835303 2.0073001 2.0019684 1.8265843 1.8230675
 1.9583584 1.8707637]"
11,1.5605506,"[1.8636757 1.7850195 1.7023838 1.6483371 1.8736663 1.7800786 1.8111547
 1.5605506 1.7861018 1.8636545 1.8036828 1.5970144 1.6954644 1.5716654
 1.9579991 1.6147149]","[0.78919    0.795345   0.79089177 0.79317075 0.79774666 0.79413
 0.79572797 0.7958078  0.792569   0.7920591  0.7958989  0.7939343
 0.79268366 0.79517055 0.79564506 0.7966366 ]","[-0.2097386  -0.21008201 -0.21084498 -0.21233368 -0.20864125 -0.20253041
 -0.20957796 -0.21345747 -0.20990057 -0.20921245 -0.20800133 -0.21306668
 -0.21164373 -0.2132074  -0.20578559 -0.21266818]","[2.0734143 1.9951016 1.9132288 1.8606708 2.0823076 1.982609  2.0207326
 1.774008  1.9960024 2.072867  2.0116842 1.8100811 1.9071081 1.7848728
 2.1637847 1.827383 ]"
12,1.5605506,"[1.7277701 1.8125565 1.794332  1.6866435 1.7670867 1.842006  1.7239523
 1.9951882 1.8732179 1.7997091 1.7265393 1.9102055 1.7049252 1.6902518
 2.1714141 1.6040987]","[0.79084545 0.7959065  0.78951603 0.7936662  0.79495543 0.79537
 0.79454607 0.7959343  0.7951313  0.79261494 0.7951893  0.7806242
 0.7945612  0.79312265 0.7962493  0.7925686 ]","[-0.21004014 -0.20460963 -0.20958214 -0.21269213 -0.21286285 -0.20818448
 -0.2131391  -0.20742793 -0.21099725 -0.20268707 -0.2125603  -0.21471944
 -0.207881   -0.21134427 -0.20501827 -0.21182309]","[1.9378102 2.0171661 2.003914  1.8993356 1.9799496 2.0501904 1.9370914
 2.2026162 2.0842152 2.002396  1.9390996 2.124925  1.9128062 1.9015961
 2.3764324 1.8159218]"
13,1.5605506,"[1.5906963 1.9073488 1.6549135 1.6715717 1.7503148 1.8876073 1.675422
 1.880121  1.7394649 1.9200153 1.5722674 1.6367041 1.8105841 1.6981438
 1.6595007 1.7287419]","[0.7946594  0.79527754 0.7929594  0.79313606 0.79105085 0.79438466
 0.7937951  0.7940218  0.793814   0.79382056 0.7937695  0.7944437
 0.7944735  0.7931307  0.7954131  0.789867  ]","[-0.21204875 -0.21064751 -0.2115985  -0.21047056 -0.20961006 -0.20405889
 -0.21175651 -0.20586748 -0.21085417 -0.20213743 -0.21300542 -0.2128679
 -0.20882557 -0.21327065 -0.2078892  -0.21189812]","[1.8027451 2.1179962 1.8665121 1.8820423 1.9599249 2.0916662 1.8871784
 2.0859885 1.950319  2.1221528 1.7852728 1.849572  2.0194097 1.9114145
 1.8673899 1.94064  ]"
14,1.5605506,"[1.7569973 1.6474825 1.6273526 1.8072317 1.7584143 1.7024375 1.8623248
 1.9164896 1.8367469 2.0336192 1.7136182 1.9320289 1.7848661 1.7842553
 1.6114178 1.8387908]","[0.79395086 0.793116   0.7926087  0.79387707 0.7959372  0.7935679
 0.79383546 0.7911544  0.79429954 0.79631865 0.7892093  0.7924705
 0.7931327  0.7895199  0.79403883 0.79393333]","[-0.21006651 -0.21263361 -0.21264036 -0.2110009  -0.21081762 -0.21131788
 -0.21161595 -0.20813942 -0.21047471 -0.2052253  -0.21208183 -0.20870553
 -0.20968771 -0.20960446 -0.21256112 -0.20868292]","[1.9670639 1.8601161 1.839993  2.0182326 1.9692318 1.9137554 2.0739408
 2.124629  2.0472217 2.2388444 1.9257    2.1407344 1.9945538 1.9938598
 1.8239789 2.0474737]"
15,1.5605506,"[1.7468626 1.6352812 1.8321983 1.6336806 2.1649096 1.722052  1.8695451
 1.8972982 1.7740281 1.7241834 1.8206578 1.6650537 1.6403279 1.6182176
 1.6559194 1.8040812]","[0.7910368  0.7931676  0.79724056 0.7946985  0.78930974 0.79364914
 0.7967641  0.79620045 0.7962482  0.7970026  0.79461443 0.79378694
 0.7950285  0.7956914  0.7923152  0.79561216]","[-0.21083222 -0.2121092  -0.2077488  -0.2124722  -0.20616165 -0.21214484
 -0.20792992 -0.20665418 -0.20867316 -0.20879284 -0.21186464 -0.21217552
 -0.21256135 -0.21246417 -0.21209145 -0.21070051]","[1.9576949 1.8473904 2.039947  1.8461528 2.3710713 1.9341968 2.077475
 2.1039524 1.9827012 1.9329762 2.0325224 1.8772292 1.8528893 1.8306818
 1.8680109 2.0147817]"
16,1.5605506,"[1.7752099 1.7975514 1.8039249 1.5865744 1.828428  1.8478991 1.7320328
 1.8462785 1.8917922 1.6311136 1.8041537 1.783104  1.8022717 1.6276057
 1.7240682 1.8574886]","[0.7954269  0.792622   0.7954426  0.79464084 0.79464483 0.7979615
 0.79335207 0.7956986  0.79371995 0.79335827 0.79192644 0.79340607
 0.7954833  0.79135734 0.79166013 0.79089105]","[-0.21322174 -0.21020336 -0.2127594  -0.21256554 -0.21158619 -0.20882665
 -0.21067183 -0.20701464 -0.21071136 -0.21275444 -0.21157694 -0.21260384
 -0.21279274 -0.21292567 -0.21139672 -0.20954327]","[1.9884317 2.0077548 2.0166843 1.79914   2.0400143 2.0567257 1.9427046
 2.0532932 2.1025035 1.8438681 2.0157306 1.9957078 2.0150645 1.8405313
 1.9354649 2.0670319]"
