iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.3723512,"[1.4751416 1.559739  1.4667194 1.62307   1.5158567 1.6585312 1.5013046
 1.5678366 1.5798779 1.9442031 1.3723512 2.0759938 1.8083481 1.533801
 2.6047568 1.4429567]","[0.74549353 0.74668187 0.74317104 0.7419859  0.743486   0.74535114
 0.73894066 0.7416547  0.741745   0.73506725 0.74332654 0.7221171
 0.7426789  0.7421311  0.7344883  0.7385186 ]","[-0.21379435 -0.2043743  -0.21277617 -0.20053083 -0.21309087 -0.21109381
 -0.2169739  -0.20961349 -0.20926374 -0.20975704 -0.2109713  -0.20838591
 -0.20847018 -0.21853194 -0.20123684 -0.21294048]","[1.688936  1.7641133 1.6794956 1.8236008 1.7289476 1.869625  1.7182785
 1.7774501 1.7891417 2.1539602 1.5833225 2.2843797 2.0168183 1.7523329
 2.8059936 1.6558971]"
1,1.3109992,"[1.3492521 2.367     1.3976017 1.5455397 1.5782827 1.7541695 1.3109992
 2.0221872 1.6256864 1.8897496 1.5365443 1.457863  1.7229834 1.7277789
 1.5294954 1.6062218]","[0.74222326 0.73196995 0.7450939  0.74337846 0.74861956 0.7455702
 0.742327   0.73935074 0.7422178  0.74338144 0.73770446 0.74205756
 0.74600947 0.7421759  0.73035085 0.7422687 ]","[-0.21291915 -0.2022425  -0.20699273 -0.21574475 -0.20901017 -0.21367465
 -0.21811892 -0.20832117 -0.21418247 -0.21677533 -0.21002138 -0.22053926
 -0.20884281 -0.21228482 -0.2092785  -0.20674922]","[1.5621712 2.5692425 1.6045945 1.7612845 1.7872928 1.9678441 1.5291181
 2.2305083 1.8398689 2.106525  1.7465657 1.6784022 1.9318261 1.9400637
 1.7387738 1.812971 ]"
2,1.2266228,"[1.6775829 1.2928466 1.4244043 1.8697774 1.7935889 1.2266228 1.5202706
 1.4200075 1.4550521 1.5844245 1.7792153 1.4649059 1.5310577 1.8191959
 1.4781747 1.7510921]","[0.74151593 0.74190336 0.7459845  0.73406607 0.74434245 0.7368276
 0.73986584 0.74319136 0.7420455  0.7450307  0.74513966 0.7350791
 0.7434344  0.73277587 0.7443917  0.73563   ]","[-0.20998587 -0.21666081 -0.21901396 -0.2132551  -0.21168965 -0.21788958
 -0.21380305 -0.2165158  -0.21096665 -0.21914653 -0.20992842 -0.21331027
 -0.21310627 -0.21090022 -0.20940445 -0.21112123]","[1.8875687 1.5095074 1.6434182 2.0830326 2.0052786 1.4445124 1.7340736
 1.6365232 1.6660187 1.803571  1.9891437 1.6782161 1.744164  2.030096
 1.6875792 1.9622133]"
3,1.2266228,"[1.5564167 1.6069202 1.6448511 1.7921336 1.7681382 1.6492202 1.4243802
 1.7183316 1.4601421 1.5055892 1.634397  1.6446539 1.6474626 1.453142
 1.698236  1.6749618]","[0.74727803 0.739355   0.74676204 0.7152169  0.7379173  0.7360288
 0.74597144 0.74313325 0.7446648  0.7405523  0.74368757 0.73932534
 0.7392467  0.74301165 0.7474408  0.743474  ]","[-0.21240237 -0.21209064 -0.20975052 -0.2089107  -0.20806672 -0.20886582
 -0.21036445 -0.20960942 -0.21173324 -0.2092818  -0.2092786  -0.21010974
 -0.20974492 -0.21277872 -0.21027915 -0.21631424]","[1.7688191 1.8190109 1.8546016 2.0010443 1.9762049 1.8580861 1.6347446
 1.927941  1.6718754 1.714871  1.8436756 1.8547636 1.8572075 1.6659207
 1.9085151 1.891276 ]"
4,1.2266228,"[1.4137208 2.8758051 1.7788823 1.5525843 1.6196868 1.264669  1.330414
 1.4790866 1.562696  1.5307789 1.9423709 1.5478977 1.4278585 1.3569502
 1.5539789 1.7239206]","[0.743057   0.72002596 0.744307   0.7457697  0.74119496 0.74142903
 0.73672706 0.7432373  0.7404771  0.7367699  0.7441433  0.7417025
 0.7429783  0.743666   0.7457962  0.74311495]","[-0.21242994 -0.20740207 -0.20755439 -0.20785692 -0.2089753  -0.21502124
 -0.21586828 -0.20704009 -0.20995714 -0.21099424 -0.21166563 -0.21327889
 -0.21547611 -0.21408187 -0.20981845 -0.21096848]","[1.6261507 3.0832071 1.9864366 1.7604412 1.8286622 1.4796902 1.5462823
 1.6861267 1.7726531 1.7417731 2.1540365 1.7611766 1.6433346 1.571032
 1.7637974 1.9348891]"
5,1.2266228,"[1.3715993 1.4342905 1.2808377 1.374112  1.5851862 1.2719446 1.6115808
 1.5433218 1.7039474 1.6759444 1.6104414 1.320657  1.6784842 1.6125951
 1.6772766 1.5153248]","[0.7438987  0.741781   0.73959845 0.7397047  0.74515593 0.7343145
 0.7440736  0.74602467 0.7481694  0.7464639  0.74203753 0.7438425
 0.7450304  0.74587125 0.7382096  0.7423381 ]","[-0.21384421 -0.21170601 -0.21664156 -0.21396485 -0.2119139  -0.21417966
 -0.21073733 -0.21266541 -0.2089423  -0.2132887  -0.21144322 -0.21477672
 -0.21036369 -0.21241483 -0.21235536 -0.21289027]","[1.5854435 1.6459966 1.4974792 1.5880768 1.7971002 1.4861243 1.8223182
 1.7559873 1.9128897 1.8892331 1.8218846 1.5354338 1.888848  1.82501
 1.889632  1.7282151]"
6,1.2266228,"[1.6949178 1.770776  1.8894039 1.5083618 2.01738   1.4766009 1.5002407
 1.2275139 1.2658793 1.8439307 1.5890709 1.3326248 1.5806943 1.3573974
 1.5730633 1.488916 ]","[0.7399852  0.73689353 0.7350669  0.7421723  0.7437954  0.74644464
 0.7388742  0.74112767 0.7392374  0.7407137  0.7373922  0.74434304
 0.74446595 0.74366426 0.7430743  0.744338  ]","[-0.2097784  -0.21066894 -0.2039284  -0.2117973  -0.2061564  -0.21066836
 -0.21403705 -0.2172612  -0.2154253  -0.2147677  -0.20989268 -0.21224621
 -0.21100357 -0.22152033 -0.21304667 -0.21172854]","[1.9046962 1.981445  2.0933323 1.720159  2.2235365 1.6872692 1.7142777
 1.4447751 1.4813045 2.0586984 1.7989635 1.544871  1.7916979 1.5789177
 1.7861099 1.7006446]"
7,1.2266228,"[1.3718457 2.1346002 1.6721923 1.4659635 1.3705202 1.5371071 1.3495109
 1.5820717 1.5236218 1.488064  1.4677944 1.5183558 1.3729521 1.6491715
 1.5956571 1.6036749]","[0.74622196 0.7444212  0.74542683 0.7426433  0.74721384 0.7469492
 0.73153585 0.7477728  0.7458566  0.7330103  0.7462344  0.7472018
 0.74412453 0.7350589  0.7383735  0.7453805 ]","[-0.2134629  -0.20305553 -0.21379393 -0.21429376 -0.2153568  -0.20993102
 -0.21200186 -0.2100086  -0.21121761 -0.21376914 -0.21135949 -0.21087268
 -0.21232854 -0.21168198 -0.2129003  -0.21488772]","[1.5853087 2.3376558 1.8859863 1.6802572 1.5858771 1.7470381 1.5615127
 1.7920803 1.7348394 1.7018332 1.6791539 1.7292285 1.5852807 1.8608534
 1.8085574 1.8185626]"
8,1.2266228,"[1.5703624 1.701074  1.5941727 1.7882749 1.6079984 1.4258099 1.87505
 1.6350408 1.6096817 1.5479997 1.69728   1.439632  1.6374024 1.553474
 1.6053207 1.5099117]","[0.74704707 0.7425896  0.74014264 0.738961   0.7443755  0.74616295
 0.7374534  0.7480251  0.7486012  0.7492221  0.741961   0.74514294
 0.7452616  0.74738574 0.7459145  0.7446227 ]","[-0.21189567 -0.21073034 -0.21750477 -0.20974645 -0.20900033 -0.21218537
 -0.20811525 -0.21002547 -0.20954168 -0.21634705 -0.20968118 -0.21145964
 -0.2124263  -0.21281722 -0.21125297 -0.21305192]","[1.7822582 1.9118043 1.8116775 1.9980214 1.8169987 1.6379952 2.0831652
 1.8450662 1.8192234 1.7643468 1.9069612 1.6510917 1.8498287 1.7662911
 1.8165736 1.7229636]"
9,1.2266228,"[1.4279509 1.4973505 1.6834893 1.6937912 1.5152099 1.3149517 1.6458471
 1.7443717 1.3289    1.2885288 1.5783052 1.4523647 1.430671  1.6160551
 1.4063861 1.4395474]","[0.73707217 0.7481148  0.7467839  0.74260676 0.74833405 0.73921484
 0.74230623 0.74120975 0.74510723 0.7422518  0.7471912  0.7489337
 0.7445779  0.7438705  0.74383247 0.7471125 ]","[-0.2124991  -0.21197157 -0.2107933  -0.20951594 -0.21234435 -0.21221179
 -0.21215174 -0.20819023 -0.21226187 -0.21183376 -0.20994869 -0.21578142
 -0.21101351 -0.21154802 -0.21193413 -0.2118077 ]","[1.64045   1.709322  1.8942826 1.9033071 1.7275543 1.5271635 1.8579988
 1.9525619 1.5411619 1.5003625 1.7882539 1.6681461 1.6416845 1.8276031
 1.6183202 1.6513551]"
