iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,0.8494829,"[0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829
 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829
 0.8494829 0.8494829]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505]","[1.076458 1.076458 1.076458 1.076458 1.076458 1.076458 1.076458 1.076458
 1.076458 1.076458 1.076458 1.076458 1.076458 1.076458 1.076458 1.076458]"
1,0.8436877,"[0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8436877 0.8494829
 0.8494829 0.8494829 0.8494829 0.8494829 1.1428037 0.8494829 0.8494829
 0.8494829 0.8494829]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49835092
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49674064
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22994263
 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.2292032
 -0.22697505 -0.22697505 -0.22697505 -0.22697505]","[1.076458  1.076458  1.076458  1.076458  1.076458  1.0736303 1.076458
 1.076458  1.076458  1.076458  1.076458  1.3720069 1.076458  1.076458
 1.076458  1.076458 ]"
2,0.8436877,"[0.8494829 0.8494829 0.8494829 0.8494829 1.1933905 0.8494829 0.8494829
 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829
 0.8494829 0.8494829]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4953809 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.20983545 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505]","[1.076458  1.076458  1.076458  1.076458  1.4032259 1.076458  1.076458
 1.076458  1.076458  1.076458  1.076458  1.076458  1.076458  1.076458
 1.076458  1.076458 ]"
3,0.8436877,"[0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829
 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829
 1.0973318 0.8494829]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.49785018 0.4999999 ]","[-0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22259405 -0.22697505]","[1.076458  1.076458  1.076458  1.076458  1.076458  1.076458  1.076458
 1.076458  1.076458  1.076458  1.076458  1.076458  1.076458  1.076458
 1.3199258 1.076458 ]"
4,0.6944934,"[0.8494829  0.8494829  0.7920202  0.8494829  0.93174076 0.8494829
 0.8494829  0.6944934  0.8494829  0.82926226 0.8494829  0.82449836
 0.8494829  0.8494829  0.8494829  0.8494829 ]","[0.4999999  0.4999999  0.49797952 0.4999999  0.49670595 0.4999999
 0.4999999  0.49451393 0.4999999  0.49461663 0.4999999  0.49563068
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22697505 -0.22697505 -0.22165549 -0.22697505 -0.2302933  -0.22697505
 -0.22697505 -0.22956279 -0.22697505 -0.22821498 -0.22697505 -0.22659427
 -0.22697505 -0.22697505 -0.22697505 -0.22697505]","[1.076458  1.076458  1.0136757 1.076458  1.162034  1.076458  1.076458
 0.9240562 1.076458  1.0574772 1.076458  1.0510926 1.076458  1.076458
 1.076458  1.076458 ]"
5,0.58100957,"[0.8494829  0.8494829  0.8494829  0.8494829  0.8494829  0.8494829
 0.8494829  0.8494829  1.138097   1.2217038  0.58100957 0.8494829
 0.8494829  1.0829998  0.8494829  0.8494829 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.49576992 0.49880233 0.4944776  0.4999999
 0.4999999  0.49193764 0.4999999  0.4999999 ]","[-0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22818272 -0.22459239 -0.2238152  -0.22697505
 -0.22697505 -0.21899164 -0.22697505 -0.22697505]","[1.076458   1.076458   1.076458   1.076458   1.076458   1.076458
 1.076458   1.076458   1.3662797  1.4462962  0.80482477 1.076458
 1.076458   1.3019915  1.076458   1.076458  ]"
6,0.58100957,"[0.8494829 1.2046577 1.743572  0.8494829 0.8494829 0.8494829 0.8494829
 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829
 0.8494829 0.8494829]","[0.4999999  0.36066237 0.47125444 0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22697505 -0.21351299 -0.19341016 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505]","[1.076458  1.4181707 1.9369822 1.076458  1.076458  1.076458  1.076458
 1.076458  1.076458  1.076458  1.076458  1.076458  1.076458  1.076458
 1.076458  1.076458 ]"
7,0.58100957,"[0.8494829 0.8494829 0.8494829 1.0923461 0.8494829 0.8494829 0.8494829
 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829
 0.8494829 0.8494829]","[0.4999999  0.4999999  0.4999999  0.49958023 0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22697505 -0.22697505 -0.22697505 -0.22865817 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505]","[1.076458  1.076458  1.076458  1.3210043 1.076458  1.076458  1.076458
 1.076458  1.076458  1.076458  1.076458  1.076458  1.076458  1.076458
 1.076458  1.076458 ]"
8,0.58100957,"[0.791764  0.8494829 0.7826419 0.8494829 0.8494829 0.8494829 0.8494829
 1.0377446 0.9528811 0.8494829 0.8494829 0.8494829 0.8494829 0.8494829
 0.8494829 0.8494829]","[0.490277   0.4999999  0.4952775  0.4999999  0.4999999  0.4999999
 0.4999999  0.49422592 0.49183604 0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.2204467  -0.22697505 -0.23042156 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22513883 -0.22180268 -0.22697505 -0.22697505 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505]","[1.0122107 1.076458  1.0130634 1.076458  1.076458  1.076458  1.076458
 1.2628834 1.1746838 1.076458  1.076458  1.076458  1.076458  1.076458
 1.076458  1.076458 ]"
9,0.58100957,"[0.8494829  0.8494829  0.8494829  0.8494829  0.8494829  1.1690949
 0.9903468  0.8494829  0.8494829  0.8494829  0.98690474 0.8494829
 0.8494829  0.8494829  0.8494829  0.8494829 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4917154
 0.49989375 0.4999999  0.4999999  0.4999999  0.4982421  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22697505 -0.22050115
 -0.23204121 -0.22697505 -0.22697505 -0.22697505 -0.22351898 -0.22697505
 -0.22697505 -0.22697505 -0.22697505 -0.22697505]","[1.076458  1.076458  1.076458  1.076458  1.076458  1.3895961 1.222388
 1.076458  1.076458  1.076458  1.2104237 1.076458  1.076458  1.076458
 1.076458  1.076458 ]"
