iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.3745652,"[1.4282972 1.7726856 1.4282972 1.4282972 1.3745652 1.4282972 1.4282972
 1.4282972 1.4282972 1.4282972 1.4282972 1.4282972 1.915193  1.4282972
 1.4023353 1.4282972]","[0.66637754 0.6332584  0.66637754 0.66637754 0.6456737  0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.64385647 0.66637754 0.6589612  0.66637754]","[-0.21986721 -0.20946726 -0.21986721 -0.21986721 -0.21961176 -0.21986721
 -0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.21986721
 -0.211135   -0.21986721 -0.21972382 -0.21986721]","[1.6481644 1.9821529 1.6481644 1.6481644 1.594177  1.6481644 1.6481644
 1.6481644 1.6481644 1.6481644 1.6481644 1.6481644 2.126328  1.6481644
 1.6220591 1.6481644]"
1,1.1789789,"[1.4282972 1.4282972 1.4282972 1.4282972 1.765593  1.4282972 1.4282972
 1.4941237 1.4282972 1.2811772 1.1789789 1.4282972 1.4282972 1.4282972
 1.4282972 1.4282972]","[0.66637754 0.66637754 0.66637754 0.66637754 0.5991682  0.66637754
 0.66637754 0.66334474 0.66637754 0.66499776 0.65803933 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754]","[-0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.21790102 -0.21986721
 -0.21986721 -0.22458765 -0.21986721 -0.21341097 -0.21910164 -0.21986721
 -0.21986721 -0.21986721 -0.21986721 -0.21986721]","[1.6481644 1.6481644 1.6481644 1.6481644 1.983494  1.6481644 1.6481644
 1.7187114 1.6481644 1.4945881 1.3980806 1.6481644 1.6481644 1.6481644
 1.6481644 1.6481644]"
2,1.0811901,"[1.8834898 1.4282972 1.4282972 1.4282972 1.4282972 1.4282972 1.4282972
 1.4282972 1.4282972 1.4282972 1.2430738 1.0811901 1.201859  1.458698
 1.3837035 1.4282972]","[0.650793   0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754 0.66167223 0.6569152
 0.6612105  0.66412044 0.66585577 0.66637754]","[-0.20534132 -0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.21986721
 -0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.224051   -0.22223735
 -0.22391811 -0.22243473 -0.21168181 -0.21986721]","[2.0888312 1.6481644 1.6481644 1.6481644 1.6481644 1.6481644 1.6481644
 1.6481644 1.6481644 1.6481644 1.4671248 1.3034275 1.4257771 1.6811328
 1.5953853 1.6481644]"
3,1.0811901,"[1.1028296 1.4282972 1.4282972 1.8181541 1.4282972 1.1699665 1.4282972
 1.4282972 1.279653  1.4282972 1.391064  1.1679919 1.4282972 1.1501412
 1.4282972 1.468161 ]","[0.6603698  0.66637754 0.66637754 0.58813304 0.66637754 0.65443707
 0.66637754 0.66637754 0.6632873  0.66637754 0.6468251  0.6634189
 0.66637754 0.6319828  0.66637754 0.66296446]","[-0.22899899 -0.21986721 -0.21986721 -0.21624112 -0.21986721 -0.2191247
 -0.21986721 -0.21986721 -0.22242913 -0.21986721 -0.21552126 -0.2262355
 -0.21986721 -0.2206401  -0.21986721 -0.22899477]","[1.3318286 1.6481644 1.6481644 2.0343952 1.6481644 1.3890911 1.6481644
 1.6481644 1.5020821 1.6481644 1.6065853 1.3942274 1.6481644 1.3707813
 1.6481644 1.6971557]"
4,1.0811901,"[1.4282972 1.4282972 1.4282972 1.4282972 1.387002  1.4282972 1.4282972
 1.4282972 1.6148574 1.4282972 1.5759732 1.4282972 1.4282972 1.4282972
 1.4282972 1.4282972]","[0.66637754 0.66637754 0.66637754 0.66637754 0.66086394 0.66637754
 0.66637754 0.66637754 0.66576725 0.66637754 0.65996367 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754]","[-0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.22144485 -0.21986721
 -0.21986721 -0.21986721 -0.2260625  -0.21986721 -0.2189548  -0.21986721
 -0.21986721 -0.21986721 -0.21986721 -0.21986721]","[1.6481644 1.6481644 1.6481644 1.6481644 1.6084468 1.6481644 1.6481644
 1.6481644 1.84092   1.6481644 1.794928  1.6481644 1.6481644 1.6481644
 1.6481644 1.6481644]"
5,1.0811901,"[1.4282972 1.4164269 1.4282972 1.3077012 1.4282972 1.29376   1.4282972
 1.2389903 1.4282972 1.4282972 1.4282972 1.4282972 1.4282972 2.6116004
 1.4282972 1.662529 ]","[0.66637754 0.6558703  0.66637754 0.66154236 0.66637754 0.66490614
 0.66637754 0.6628937  0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.5599353  0.66637754 0.6628031 ]","[-0.21986721 -0.22068715 -0.21986721 -0.22556293 -0.21986721 -0.22633395
 -0.21986721 -0.21901701 -0.21986721 -0.21986721 -0.21986721 -0.21986721
 -0.21986721 -0.19779482 -0.21986721 -0.21915716]","[1.6481644 1.637114  1.6481644 1.5332642 1.6481644 1.5200939 1.6481644
 1.4580073 1.6481644 1.6481644 1.6481644 1.6481644 1.6481644 2.8093953
 1.6481644 1.8816862]"
6,1.0811901,"[1.4282972 1.4282972 1.459076  1.5473845 1.4282972 1.166837  1.4282972
 1.4282972 1.4282972 1.3986919 1.1220717 1.4282972 1.4282972 1.4282972
 1.4282972 1.2973713]","[0.66637754 0.66637754 0.65971184 0.66351986 0.66637754 0.6622597
 0.66637754 0.66637754 0.66637754 0.6638577  0.6606965  0.66637754
 0.66637754 0.66637754 0.66637754 0.6641612 ]","[-0.21986721 -0.21986721 -0.22215573 -0.22624116 -0.21986721 -0.22087899
 -0.21986721 -0.21986721 -0.21986721 -0.22262001 -0.2225582  -0.21986721
 -0.21986721 -0.21986721 -0.21986721 -0.22661035]","[1.6481644 1.6481644 1.6812317 1.7736256 1.6481644 1.3877159 1.6481644
 1.6481644 1.6481644 1.6213119 1.3446299 1.6481644 1.6481644 1.6481644
 1.6481644 1.5239816]"
7,1.0811901,"[1.4282972 1.1651227 1.2238199 1.4282972 1.4524075 1.4282972 1.3757308
 1.4282972 1.4282972 1.4282972 1.4282972 1.4282972 1.4282972 1.4282972
 1.4282972 1.4282972]","[0.66637754 0.6619179  0.6595821  0.66637754 0.6605892  0.66637754
 0.6653055  0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754]","[-0.21986721 -0.22296572 -0.22236732 -0.21986721 -0.21700947 -0.21986721
 -0.21862909 -0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.21986721
 -0.21986721 -0.21986721 -0.21986721 -0.21986721]","[1.6481644 1.3880885 1.4461871 1.6481644 1.6694169 1.6481644 1.5943599
 1.6481644 1.6481644 1.6481644 1.6481644 1.6481644 1.6481644 1.6481644
 1.6481644 1.6481644]"
8,1.0811901,"[1.4282972 1.4282972 1.4282972 1.4282972 1.4282972 1.3232086 1.4282972
 1.178509  1.4282972 1.4282972 1.4282972 1.4282972 1.5733699 1.2552215
 1.2326423 1.3107715]","[0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.6634972
 0.66637754 0.65261614 0.66637754 0.66637754 0.66637754 0.66637754
 0.6310475  0.6600217  0.64967424 0.6642544 ]","[-0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.22068188
 -0.21986721 -0.22245339 -0.21986721 -0.21986721 -0.21986721 -0.21986721
 -0.2061135  -0.22327904 -0.21819977 -0.22147197]","[1.6481644 1.6481644 1.6481644 1.6481644 1.6481644 1.5438905 1.6481644
 1.4009624 1.6481644 1.6481644 1.6481644 1.6481644 1.7794833 1.4785005
 1.450842  1.5322434]"
9,1.0811901,"[1.4282972 1.4282972 1.4282972 1.4282972 1.4282972 1.5514413 1.5354491
 1.5203193 1.4282972 1.4650359 1.2294987 1.4282972 1.4155704 1.5043362
 1.4282972 1.9863131]","[0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.6606006
 0.6584163  0.61680734 0.66637754 0.6647858  0.66172975 0.66637754
 0.66563547 0.6599278  0.66637754 0.64432895]","[-0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.21986721 -0.2174102
 -0.21103165 -0.21241006 -0.21986721 -0.21796414 -0.21722065 -0.21986721
 -0.22074354 -0.20583066 -0.21986721 -0.20333555]","[1.6481644 1.6481644 1.6481644 1.6481644 1.6481644 1.7688515 1.7464808
 1.7327294 1.6481644 1.6830001 1.4467194 1.6481644 1.6363139 1.7101669
 1.6481644 2.1896486]"
