initial_prompt,count_rows,image_oe_score_mean,image_oe_score_min,image_oe_score_max,image_oe_score_stdev,text_oe_score_mean
a_pepperoni_pizza,8,0.9426897391676903,0.9322712421417236,0.9544709920883179,0.009561171973591276,0.6107200980186462
a_slime_mould,8,0.9512152746319771,0.9480165243148804,0.9549652338027954,0.0023821542770999103,0.6962162852287292
a_flower,8,0.9557347595691681,0.9463359117507935,0.9628803133964539,0.005773251879114126,0.7471526265144348
the_garden_of_eden,8,0.9429157748818398,0.9336502552032471,0.9510970115661621,0.006071707921766094,0.5854970812797546
a_dying_star,8,0.9487528651952744,0.9442400932312012,0.9652943015098572,0.0069040496239768465,0.6546057462692261
an_extraterrestrial_life,8,0.9634245485067368,0.9613149166107178,0.9646732807159424,0.0011807264973798114,0.7331537008285522
the_big_bang,8,0.9560273066163063,0.9523535966873169,0.9577564597129822,0.0015637104204476219,0.7856758236885071
a_rainbow,8,0.961445651948452,0.9564056992530823,0.9629813432693481,0.002390491473307513,0.7717370986938477
a_monkey,8,0.9540746062994003,0.94637131690979,0.9624297618865967,0.005037576303398394,0.5587143898010254
a_caterpillar,8,0.9506606981158257,0.9428882002830505,0.9637375473976135,0.006104385960015076,0.5741904973983765
a_prokaryote,8,0.9558035954833031,0.9474957585334778,0.9624477624893188,0.005927210403115915,0.6749674081802368
a_microbe,8,0.9486302956938744,0.9452986717224121,0.9506094455718994,0.0017199285848663883,0.5953908562660217
a_fungus,8,0.9526969715952873,0.9379151463508606,0.9583647847175598,0.0066471074822093135,0.7195706367492676
