iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
10,1.0755174,"[1.3846    1.4151314 1.5100162 1.2231954 1.4333557 1.6021581 1.6076399
 1.7783496 1.2956712 1.5249854 1.4066697 1.4561654 1.3008409 1.5998403
 1.3344481 1.229631 ]","[0.76409924 0.74789685 0.7557754  0.75424236 0.7490453  0.76838106
 0.74767137 0.7482535  0.7454384  0.7610005  0.7637973  0.7555372
 0.746844   0.7579091  0.75745404 0.7395477 ]","[-0.23231356 -0.22817393 -0.22701482 -0.22827283 -0.23040836 -0.22977774
 -0.2269825  -0.20657496 -0.22751234 -0.23043011 -0.22706087 -0.22549021
 -0.2268477  -0.2213346  -0.22267428 -0.21490903]","[1.6169136 1.6433054 1.737031  1.4514682 1.663764  1.8319358 1.8346224
 1.9849246 1.5231836 1.7554156 1.6337306 1.6816556 1.5276885 1.8211749
 1.5571223 1.44454  ]"
11,1.0755174,"[1.4139925 1.4063039 1.5616834 1.747951  1.4367354 1.3308977 1.2403973
 1.1863135 1.8081882 1.6091481 1.42939   1.1877055 1.2428164 1.36603
 1.2983817 1.7940108]","[0.7590295  0.76515174 0.75620764 0.75526285 0.75340223 0.75466084
 0.745515   0.75299424 0.7637829  0.7639955  0.7445914  0.75985736
 0.74959624 0.7494416  0.74425143 0.76133794]","[-0.23148385 -0.23065002 -0.22486864 -0.20896459 -0.22716685 -0.22631104
 -0.2228384  -0.23430334 -0.23145886 -0.2311441  -0.2342846  -0.23081219
 -0.22829066 -0.22217779 -0.23248334 -0.2251695 ]","[1.6454763 1.636954  1.7865521 1.9569156 1.6639023 1.5572088 1.4632357
 1.4206169 2.039647  1.8402922 1.6636746 1.4185177 1.4711071 1.5882077
 1.5308651 2.0191803]"
12,1.0347418,"[1.4920996 1.4671558 1.1117823 1.3253117 1.1887554 1.4120631 1.1810083
 1.3816203 1.0347418 1.2683479 1.4247333 1.5380064 1.2835191 2.3259091
 1.436524  1.4028536]","[0.7651628  0.7634741  0.7526249  0.7532395  0.75218993 0.7471172
 0.75697404 0.7610304  0.7552808  0.75843966 0.74624175 0.7665338
 0.75522107 0.75658923 0.7515566  0.7209648 ]","[-0.23499715 -0.23391429 -0.22285107 -0.23500614 -0.22779767 -0.23199284
 -0.22881031 -0.2305632  -0.22786112 -0.23527496 -0.22657983 -0.23324387
 -0.23080234 -0.21004474 -0.22079888 -0.22132957]","[1.7270968 1.7010701 1.3346334 1.5603178 1.416553  1.644056  1.4098186
 1.6121835 1.2626029 1.5036228 1.6513131 1.7712502 1.5143214 2.535954
 1.6573229 1.6241832]"
13,1.0347418,"[1.3421223 1.3252941 1.2466953 1.2581539 1.262347  1.6075214 1.1811478
 1.2835194 1.4108288 1.2082427 1.4773703 2.0749247 1.3650826 1.8688439
 1.667449  1.2891812]","[0.7600834  0.7531166  0.75866425 0.7530305  0.75118816 0.76010174
 0.75577366 0.7524267  0.76398706 0.75822824 0.741999   0.7516522
 0.7566666  0.7602028  0.7561491  0.75830144]","[-0.22712111 -0.23339687 -0.22779241 -0.22441946 -0.22896628 -0.22082892
 -0.22631918 -0.23147976 -0.23097055 -0.2383739  -0.22354816 -0.21715485
 -0.22503291 -0.2305297  -0.22698434 -0.23516224]","[1.5692434 1.558691  1.4744877 1.4825734 1.4913132 1.8283503 1.407467
 1.5149992 1.6417993 1.4466165 1.7009184 2.2920794 1.5901155 2.0993736
 1.8944334 1.5243435]"
14,1.0347418,"[1.3196139 1.4455713 1.2986511 1.1958411 1.2865329 1.2637888 1.7221991
 1.8936577 1.8288484 1.2474374 1.0495406 1.4459347 1.148522  1.4386538
 1.0595176 1.7260553]","[0.75474954 0.74724954 0.76209074 0.7636041  0.7385219  0.7530971
 0.7735443  0.73915833 0.74811536 0.7582102  0.7475373  0.7593703
 0.75145906 0.7586388  0.74235344 0.75639313]","[-0.23029402 -0.22325741 -0.23560348 -0.22483015 -0.22717614 -0.22705205
 -0.2372293  -0.21242094 -0.21403149 -0.23234665 -0.23005798 -0.2369262
 -0.23153415 -0.23286068 -0.22647743 -0.23169558]","[1.5499079 1.6688287 1.5342546 1.4206712 1.5137091 1.4908409 1.9594284
 2.1060786 2.0428798 1.479784  1.2795986 1.6828609 1.3800561 1.6715145
 1.285995  1.9577508]"
15,1.0347418,"[1.1849725 1.4795728 1.5440454 1.0784459 1.7794588 1.3697039 1.3600979
 1.5852876 1.6829795 1.5060835 1.4146973 1.3048878 1.4778926 1.2846906
 1.5224538 1.2870158]","[0.7517013  0.74897736 0.765691   0.7470552  0.7310717  0.7432138
 0.7577594  0.7689067  0.7624931  0.7511595  0.7529828  0.7579743
 0.76425904 0.747436   0.75271696 0.74373287]","[-0.23107529 -0.21470337 -0.23496321 -0.23081969 -0.22762437 -0.23077416
 -0.2304828  -0.23520063 -0.23212372 -0.22512439 -0.22706516 -0.23244004
 -0.23576775 -0.23534516 -0.22580373 -0.23088136]","[1.4160478 1.6942761 1.7790086 1.3092656 2.0070832 1.600478  1.5905807
 1.8204882 1.9151032 1.7312078 1.6417625 1.5373278 1.7136604 1.5200357
 1.7482575 1.5178971]"
16,1.0347418,"[1.5706018 1.147755  1.3927885 1.6493193 1.1902155 1.2631494 1.627319
 1.8573754 1.23284   1.6635283 1.7986668 1.5170704 1.6575382 1.7175268
 1.1259518 1.1222817]","[0.75727314 0.7563564  0.7654899  0.7529592  0.74255544 0.75757647
 0.7586478  0.7540532  0.7517252  0.76344424 0.7553634  0.7605179
 0.7548916  0.75506926 0.7575157  0.75263983]","[-0.2272685  -0.2299938  -0.23526827 -0.22086275 -0.23439327 -0.23145714
 -0.23293832 -0.23154612 -0.2251818  -0.23622124 -0.21984155 -0.23250471
 -0.23248576 -0.23295486 -0.2363257  -0.23072158]","[1.7978703 1.3777488 1.6280568 1.870182  1.4246087 1.4946065 1.8602573
 2.0889215 1.4580218 1.8997495 2.0185084 1.7495751 1.890024  1.9504817
 1.3622775 1.3530033]"
17,1.0347418,"[2.123175  1.4630382 1.5360125 1.546017  1.5465155 1.5624851 1.2934564
 1.2859684 1.3924794 1.5023901 1.3764796 1.4560909 1.471201  1.3586317
 1.4631125 1.3259089]","[0.7470666  0.77173823 0.7630159  0.7586248  0.74485874 0.7516075
 0.7570739  0.75458014 0.75555295 0.75606805 0.7550424  0.76843995
 0.76090235 0.75942117 0.76032174 0.76658267]","[-0.21073322 -0.24017882 -0.2295055  -0.23501568 -0.23419099 -0.229519
 -0.22638845 -0.23172577 -0.23270546 -0.23418736 -0.23042588 -0.23089556
 -0.22887182 -0.22707927 -0.22823384 -0.23010115]","[2.333908  1.703217  1.7655181 1.7810327 1.7807064 1.7920041 1.5198449
 1.5176942 1.6251849 1.7365775 1.6069055 1.6869864 1.7000728 1.585711
 1.6913463 1.55601  ]"
18,1.0347418,"[1.266404  1.2900755 1.2183753 1.4540098 1.5897014 1.6429526 1.182219
 1.0883814 1.4945955 1.0364544 1.2273638 1.8712691 2.1723392 1.7488246
 1.308809  1.9963278]","[0.7550975  0.7572133  0.7422113  0.7632988  0.7624041  0.7641681
 0.76655084 0.7481529  0.7705364  0.74617    0.75400335 0.7589344
 0.76815    0.7591313  0.7497702  0.76961213]","[-0.2283022  -0.22318716 -0.22170602 -0.23223352 -0.22559662 -0.2219641
 -0.23018001 -0.23135161 -0.23469739 -0.22873278 -0.23705052 -0.23575576
 -0.22422867 -0.22759655 -0.22516993 -0.23182598]","[1.4947063 1.5132627 1.4400814 1.6862433 1.8152981 1.8649167 1.412399
 1.319733  1.7292929 1.2651873 1.4644144 2.107025  2.3965678 1.9764211
 1.5339789 2.2281537]"
19,1.0347418,"[1.2486968 1.2558292 1.3824085 1.5814666 1.4187057 1.3980762 1.3298544
 1.5822579 1.2401398 1.6438705 1.2866528 1.1709245 1.4421145 1.4496531
 1.3162661 1.4083766]","[0.7533952  0.7625987  0.7503513  0.7576318  0.74495184 0.7604995
 0.74720305 0.7550514  0.7510995  0.7481476  0.7431517  0.7372539
 0.74795574 0.76525426 0.7577705  0.7565745 ]","[-0.23595695 -0.23063122 -0.22940901 -0.22786823 -0.2285811  -0.23357752
 -0.2335958  -0.212514   -0.23074804 -0.2264138  -0.2236019  -0.23024641
 -0.22452812 -0.22751594 -0.22801323 -0.22772229]","[1.4846537 1.4864604 1.6118175 1.8093348 1.6472868 1.6316537 1.5634502
 1.7947719 1.4708879 1.8702843 1.5102547 1.401171  1.6666425 1.6771691
 1.5442793 1.6360989]"
20,1.0347418,"[1.999315  1.2376394 1.5354413 1.9129279 1.9540961 1.2818925 1.3525624
 1.2920195 1.2935951 1.459005  1.3558035 1.3551869 1.5013704 1.8718214
 2.227014  1.2358118]","[0.75546134 0.7365472  0.740527   0.74639094 0.75857955 0.7390513
 0.7565012  0.75022286 0.7526843  0.7358682  0.75028265 0.7560218
 0.7608965  0.74735254 0.7236975  0.75138086]","[-0.21605109 -0.23413253 -0.21589313 -0.20364164 -0.21585207 -0.22731571
 -0.2349085  -0.22956891 -0.23202495 -0.21573229 -0.22554365 -0.23036587
 -0.2308747  -0.22657466 -0.19986816 -0.2401135 ]","[2.2153661 1.471772  1.7513344 2.1165695 2.169948  1.5092082 1.5874709
 1.5215884 1.52562   1.6747373 1.5813471 1.5855528 1.7322451 2.098396
 2.4268823 1.4759253]"
21,0.9928399,"[1.5117217 1.2946507 1.3378361 1.9308766 1.342366  0.9928399 1.4619858
 1.0577801 1.2537373 1.4868433 1.1034847 1.3042197 1.1905346 1.8646723
 1.4143806 1.4572544]","[0.73892003 0.7532304  0.746166   0.7280385  0.75080186 0.7519405
 0.7621093  0.7383339  0.7481434  0.7456673  0.7526342  0.7629637
 0.7569572  0.7585797  0.7448936  0.74399227]","[-0.22370036 -0.22694531 -0.23086505 -0.22208944 -0.2372417  -0.23772831
 -0.23793207 -0.23091733 -0.23260128 -0.23396412 -0.23518467 -0.2347615
 -0.23283353 -0.21595366 -0.22799401 -0.2333455 ]","[1.7354221 1.521596  1.5687011 2.152966  1.5796077 1.2305682 1.6999179
 1.2886975 1.4863386 1.7208074 1.3386694 1.5389812 1.4233681 2.080626
 1.6423745 1.6905999]"
22,0.97830176,"[1.300377   1.3887433  1.6697066  1.7556734  1.6148773  1.4513053
 1.3418345  1.269493   1.0608765  1.2894496  1.80362    0.97830176
 1.2785305  1.713074   1.411155   1.3782309 ]","[0.7510328  0.7537253  0.7697102  0.7478905  0.74582976 0.74632
 0.7561843  0.7529037  0.73094827 0.728629   0.7436147  0.74125415
 0.7419882  0.7379276  0.7636771  0.74855196]","[-0.23631318 -0.23153102 -0.22070315 -0.22630782 -0.22295462 -0.22910693
 -0.23668532 -0.22460996 -0.22822307 -0.22867942 -0.21881406 -0.23065734
 -0.22976701 -0.22331004 -0.23190741 -0.2287859 ]","[1.5366902 1.6202743 1.8904097 1.9819813 1.837832  1.6804122 1.5785198
 1.494103  1.2890996 1.518129  2.022434  1.2089591 1.5082974 1.936384
 1.6430624 1.6070168]"
23,0.97830176,"[1.4601835 1.7115567 1.8812252 2.0045767 1.5347666 2.0167012 1.5512425
 1.3781325 1.817077  1.2016996 1.3427465 1.7232095 1.0660586 1.4510664
 1.6377378 1.660262 ]","[0.76332045 0.75581026 0.74790955 0.77643436 0.7609636  0.7476876
 0.7569338  0.73957425 0.73632187 0.7544696  0.76550275 0.7448882
 0.75097024 0.76486343 0.7447776  0.75033826]","[-0.23594895 -0.22184609 -0.2252663  -0.2274293  -0.22973433 -0.2182852
 -0.22821228 -0.23415418 -0.2105449  -0.22535081 -0.23370071 -0.2138816
 -0.2332737  -0.22473896 -0.22502942 -0.22513855]","[1.6961324 1.9334028 2.1064916 2.232006  1.7645009 2.2349863 1.7794547
 1.6122867 2.027622  1.4270505 1.5764472 1.9370911 1.2993324 1.6758053
 1.8627672 1.8854005]"
24,0.97830176,"[1.1886936 1.4022917 2.059484  1.768032  1.3221374 2.1643188 1.196264
 1.9425826 1.404631  1.1197835 1.5667858 1.2931213 1.2328373 1.7057434
 1.4012041 1.3109112]","[0.75960237 0.7477937  0.75244176 0.7621302  0.7601266  0.7609606
 0.7382178  0.75075144 0.7637529  0.7559959  0.7587231  0.75206393
 0.7603226  0.7550114  0.75042164 0.7633831 ]","[-0.23400319 -0.23112789 -0.21875358 -0.22850864 -0.22754097 -0.20948021
 -0.230408   -0.22389078 -0.23103872 -0.22248383 -0.23027778 -0.23156095
 -0.2320234  -0.22083405 -0.21618953 -0.23266144]","[1.4226968 1.6334195 2.2782376 1.9965405 1.5496783 2.373799  1.426672
 2.1664734 1.6356697 1.3422674 1.7970636 1.5246823 1.4648607 1.9265774
 1.6173936 1.5435727]"
25,0.97830176,"[1.374293  1.3961294 1.6806314 2.047156  1.4877213 1.7445877 1.3720564
 1.4969476 1.1195866 1.3066655 1.3772798 1.3321892 1.4122843 1.713233
 1.4412662 1.7269183]","[0.7607339  0.7491736  0.7532707  0.77370125 0.7361015  0.74066496
 0.75245374 0.75127995 0.7482342  0.7555946  0.7560778  0.76273423
 0.737601   0.7474306  0.7419551  0.7716873 ]","[-0.23276277 -0.2331086  -0.22520266 -0.21575077 -0.2240665  -0.21852379
 -0.23287717 -0.23511373 -0.22940643 -0.23489285 -0.230551   -0.23537317
 -0.23321688 -0.2258042  -0.22942753 -0.23354414]","[1.6070558 1.629238  1.9058341 2.2629068 1.7117878 1.9631114 1.6049335
 1.7320614 1.3489931 1.5415584 1.6078308 1.5675623 1.6455011 1.9390372
 1.6706938 1.9604625]"
26,0.97830176,"[2.0750546 1.1607945 1.4483503 1.306741  1.447764  1.9908085 1.2162718
 1.6581887 1.2889313 1.6590823 1.4151404 1.1154602 1.3164792 1.7206515
 1.4876336 0.9884707]","[0.76384693 0.7436162  0.74328375 0.7620611  0.76273155 0.751764
 0.7557983  0.76356876 0.7591562  0.74361956 0.75239    0.7508657
 0.73536795 0.7464353  0.7665603  0.75635505]","[-0.22302711 -0.23400323 -0.23329966 -0.22801208 -0.23263486 -0.23325133
 -0.2303196  -0.23280247 -0.23261228 -0.23050895 -0.23310943 -0.23292378
 -0.22748983 -0.22787721 -0.23602286 -0.23218122]","[2.2980819 1.3947977 1.6816499 1.5347531 1.680399  2.2240598 1.4465914
 1.8909912 1.5215435 1.8895912 1.6482499 1.3483839 1.543969  1.9485288
 1.7236564 1.2206519]"
27,0.97830176,"[1.2590977 1.3232368 1.8157722 1.1594455 1.6303978 1.9545883 1.1565439
 1.1414045 1.1009748 1.8649671 1.236488  1.218348  1.3155123 1.6756129
 1.2819449 1.2182491]","[0.7255268  0.7637202  0.76441383 0.75196797 0.7578074  0.75738806
 0.74457324 0.7535266  0.74865067 0.76383686 0.7623159  0.7529442
 0.7686958  0.750673   0.7537985  0.7406979 ]","[-0.2184907  -0.23977792 -0.23166715 -0.23251112 -0.23179245 -0.2210416
 -0.2320493  -0.23737693 -0.23138271 -0.2321196  -0.23427013 -0.22766154
 -0.23198669 -0.23228335 -0.23210347 -0.23024438]","[1.4775884 1.5630147 2.0474393 1.3919567 1.8621902 2.1756299 1.3885932
 1.3787814 1.3323575 2.0970867 1.4707581 1.4460095 1.547499  1.9078963
 1.5140483 1.4484935]"
