iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.0577743,"[1.5592657 1.1415827 1.5010717 1.8785068 2.0776308 1.4847665 1.1738702
 1.8544893 1.0837758 1.7115679 1.1876979 1.2315342 1.1053071 1.8493004
 1.484768  1.0577743]","[0.7009103  0.70770156 0.701857   0.7423309  0.7133319  0.7170723
 0.6835502  0.71241844 0.71416366 0.6962547  0.7106136  0.69901615
 0.68358546 0.7115112  0.6770758  0.69820666]","[-0.21321036 -0.22654292 -0.22502321 -0.20018086 -0.22075805 -0.20270663
 -0.21318364 -0.22331333 -0.2297177  -0.21503091 -0.21952191 -0.22179645
 -0.20641965 -0.21116973 -0.20971742 -0.22835857]","[1.7724761 1.3681257 1.726095  2.0786877 2.2983887 1.6874732 1.3870538
 2.0778027 1.3134935 1.9265988 1.4072198 1.4533308 1.3117268 2.06047
 1.6944854 1.2861328]"
1,0.5863025,"[1.0482879 1.7622406 0.9310558 1.9027102 1.2319008 1.3304849 1.1653264
 1.3093942 2.2372665 0.5863025 1.7151408 1.4929485 1.6889653 1.7236575
 1.1312581 1.0164175]","[0.70048296 0.7104782  0.6991585  0.6927476  0.71069384 0.700488
 0.70428926 0.7145175  0.7239464  0.68594337 0.70701766 0.7285266
 0.6940784  0.7146644  0.7224227  0.71199346]","[-0.21914929 -0.21054439 -0.21695521 -0.21771264 -0.22229591 -0.22515438
 -0.2280199  -0.2241838  -0.21829471 -0.21916193 -0.20927984 -0.2310247
 -0.2100133  -0.22486058 -0.22161795 -0.22393554]","[1.2674371  1.972785   1.148011   2.1204228  1.4541967  1.5556393
 1.3933463  1.533578   2.4555612  0.80546445 1.9244206  1.7239733
 1.8989786  1.948518   1.3528761  1.2403531 ]"
2,0.5863025,"[1.2069571 1.5552876 1.008501  1.4361001 0.8242205 1.3636602 1.6261637
 1.1346066 1.5161026 1.5527858 1.1626219 1.1352859 1.3993921 1.1895729
 1.1043428 1.6710322]","[0.690385   0.6926133  0.70083535 0.71955216 0.7029159  0.70711344
 0.6972955  0.67980796 0.70463943 0.7131661  0.6916293  0.6974496
 0.7322081  0.70193005 0.71161467 0.6732967 ]","[-0.22888444 -0.21949452 -0.22476873 -0.21900429 -0.22454184 -0.20734715
 -0.21939369 -0.21567371 -0.22543597 -0.22147323 -0.22838047 -0.21763352
 -0.21786933 -0.21355875 -0.22099055 -0.2222    ]","[1.4358416 1.7747822 1.2332698 1.6551044 1.0487623 1.5710074 1.8455575
 1.3502803 1.7415385 1.774259  1.3910023 1.3529193 1.6172614 1.4031317
 1.3253334 1.8932322]"
3,0.5863025,"[0.9489516  1.822022   2.145335   1.3058751  0.81096053 1.7014802
 1.5529637  0.69735545 1.7885759  0.9682913  0.85006756 0.8206111
 1.6810955  1.8585197  1.7563705  1.1091917 ]","[0.6779882  0.7225589  0.723686   0.6712435  0.6890196  0.7115494
 0.7314993  0.6750455  0.7215155  0.6937723  0.69749916 0.6879355
 0.7163969  0.7254134  0.72309935 0.70074886]","[-0.21990834 -0.21413392 -0.22512846 -0.20849206 -0.22184373 -0.21908891
 -0.2108674  -0.22551866 -0.21827693 -0.20954297 -0.21801907 -0.22125566
 -0.21000203 -0.2216333  -0.21195519 -0.21643546]","[1.16886   2.036156  2.3704634 1.5143671 1.0328043 1.9205691 1.7638311
 0.9228741 2.0068529 1.1778343 1.0680866 1.0418668 1.8910975 2.080153
 1.9683257 1.3256271]"
4,0.5863025,"[1.3454025  1.6819023  2.247993   1.1038022  1.8214377  1.0408403
 0.93020135 0.7663557  1.2450379  1.484401   1.3143338  1.8839111
 1.0728576  1.1939311  1.3216199  0.9618757 ]","[0.68178093 0.74615014 0.74350554 0.71371925 0.7297964  0.7131697
 0.6942461  0.68646425 0.7081959  0.70226127 0.69713044 0.7157276
 0.6969156  0.70662946 0.7061054  0.7051721 ]","[-0.21845675 -0.2082521  -0.1962086  -0.22963092 -0.22515495 -0.22745956
 -0.22728233 -0.22573942 -0.22062327 -0.22329852 -0.23896101 -0.22671086
 -0.22439095 -0.2203758  -0.23101139 -0.22740272]","[1.5638592 1.8901544 2.4442017 1.3334332 2.0465927 1.2682998 1.1574837
 0.9920951 1.4656612 1.7076995 1.5532948 2.110622  1.2972486 1.4143069
 1.5526313 1.1892784]"
5,0.5863025,"[1.5573902 0.9017236 1.6262083 2.0846288 1.0690309 0.872782  1.097876
 1.7534266 1.103102  1.0712906 1.0599875 0.9285133 1.0331241 1.382539
 2.0414782 1.0378171]","[0.7444081  0.71058226 0.70729077 0.7160485  0.7119843  0.7067526
 0.7103071  0.69678557 0.69447136 0.70148695 0.7040483  0.7023066
 0.70545053 0.71152544 0.7048281  0.709709  ]","[-0.20351404 -0.22914043 -0.2120171  -0.20769571 -0.22941697 -0.23012975
 -0.22560588 -0.21804887 -0.22183082 -0.23075256 -0.22249961 -0.2263026
 -0.23142946 -0.21490434 -0.21180905 -0.22952425]","[1.7609043 1.130864  1.8382254 2.2923245 1.2984478 1.1029117 1.3234818
 1.9714755 1.3249328 1.3020432 1.2824872 1.1548159 1.2645535 1.5974433
 2.2532873 1.2673414]"
6,0.5863025,"[0.98743606 1.2983544  0.9353378  0.9040207  1.4874775  1.0407072
 1.273549   0.9222     2.7449663  0.9667392  1.1012814  1.5333877
 1.3202803  1.4291515  1.2525077  1.0941556 ]","[0.7153975  0.7088851  0.69655824 0.6884166  0.7080366  0.72126275
 0.71422946 0.7138659  0.7019765  0.7000956  0.7032976  0.72461534
 0.716254   0.7270222  0.67366946 0.7106562 ]","[-0.22951914 -0.22771621 -0.2303569  -0.21876603 -0.21825266 -0.23345366
 -0.2295462  -0.23076886 -0.21623157 -0.22503889 -0.22486477 -0.21026021
 -0.22120385 -0.21034588 -0.21209581 -0.22454251]","[1.2169552 1.5260706 1.1656947 1.1227868 1.7057302 1.2741609 1.5030951
 1.1529689 2.9611979 1.1917781 1.3261461 1.7436479 1.5414841 1.6394974
 1.4646035 1.318698 ]"
7,0.5863025,"[1.26666    0.9941751  1.3075029  1.0278417  0.8214893  1.7306033
 1.6453267  1.1081524  1.0452945  0.9153348  1.1638787  1.2460167
 1.3415091  0.9847774  0.78814554 1.0197864 ]","[0.7068424  0.71118957 0.69441307 0.71835554 0.6991829  0.69729495
 0.72300065 0.6967036  0.70123404 0.6776794  0.7154697  0.69815105
 0.70336515 0.6990983  0.69621027 0.7112958 ]","[-0.22406483 -0.23221646 -0.22630258 -0.23125276 -0.22170871 -0.22466433
 -0.22016796 -0.21851231 -0.22967285 -0.21397461 -0.23054463 -0.22648077
 -0.22434017 -0.22573978 -0.22795704 -0.22676325]","[1.4907248 1.2263916 1.5338055 1.2590945 1.043198  1.9552677 1.8654947
 1.3266647 1.2749674 1.1293094 1.3944232 1.4724975 1.5658493 1.2105172
 1.0161026 1.2465496]"
8,0.5863025,"[1.1227382  0.70571005 1.336212   1.0144299  0.8958666  1.1136053
 1.0075566  1.4510796  1.6988568  1.0067139  1.0161695  1.3803401
 1.3505664  1.1522875  0.92262197 0.87824404]","[0.67580867 0.69752896 0.6913924  0.69561505 0.69504714 0.6943779
 0.7148086  0.71052265 0.7020973  0.6949386  0.70518696 0.7065489
 0.6913967  0.70891476 0.6979794  0.69758207]","[-0.22387384 -0.2323449  -0.22774446 -0.22164264 -0.229832   -0.22527379
 -0.2270063  -0.2312302  -0.21742634 -0.22876525 -0.23204854 -0.21467721
 -0.21318229 -0.23349482 -0.22233702 -0.23051487]","[1.3466121 0.9380549 1.5639565 1.2360725 1.1256986 1.3388791 1.2345629
 1.6823097 1.9162831 1.2354791 1.248218  1.5950173 1.5637487 1.3857824
 1.144959  1.1087589]"
9,0.5863025,"[1.3535947 2.082479  0.9460643 0.8352252 1.043766  1.1484289 1.4700586
 1.6941122 1.3902849 0.9993348 1.192008  1.4856455 1.2236669 1.4575071
 1.6518396 1.4742018]","[0.7088046  0.681957   0.70179003 0.72024566 0.70609355 0.68837196
 0.6905152  0.6974741  0.69555235 0.69082326 0.7113055  0.7453383
 0.67362154 0.7159598  0.72484887 0.694256  ]","[-0.22653413 -0.20556521 -0.22870296 -0.2326987  -0.22562686 -0.22507745
 -0.22157454 -0.21067698 -0.21791372 -0.22301207 -0.23009676 -0.20868719
 -0.22118208 -0.23177165 -0.22937332 -0.21452959]","[1.5801288 2.2880442 1.1747673 1.0679239 1.2693928 1.3735064 1.6916331
 1.9047892 1.6081986 1.2223469 1.4221048 1.6943327 1.444849  1.6892788
 1.881213  1.6887314]"
