iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.3124996,"[1.4206293 2.5556011 1.7391703 1.4206293 1.4206293 1.3124996 1.4206293
 1.4206293 1.4048121 1.4206293 1.955551  1.5732405 1.7845563 1.4206293
 1.4206293 1.4206293]","[0.66637754 0.648085   0.6010082  0.66637754 0.66637754 0.63720226
 0.66637754 0.66637754 0.58137137 0.66637754 0.59246624 0.6525449
 0.6592295  0.66637754 0.66637754 0.66637754]","[-0.2200548  -0.20335585 -0.21521811 -0.2200548  -0.2200548  -0.2217692
 -0.2200548  -0.2200548  -0.21810451 -0.2200548  -0.21805346 -0.20170121
 -0.19577241 -0.2200548  -0.2200548  -0.2200548 ]","[1.6406841 2.758957  1.9543884 1.6406841 1.6406841 1.5342689 1.6406841
 1.6406841 1.6229166 1.6406841 2.1736045 1.7749417 1.9803287 1.6406841
 1.6406841 1.6406841]"
1,1.2785136,"[1.4206293 1.4206293 1.4206293 1.6677669 1.2785136 2.1587873 2.3748689
 1.6773736 2.2704692 1.4206293 1.7544802 1.4206293 1.4206293 1.5400712
 1.4206293 1.4206293]","[0.66637754 0.66637754 0.66637754 0.65473366 0.62690395 0.64751613
 0.5583772  0.6243349  0.60860646 0.66637754 0.6313251  0.66637754
 0.66637754 0.63358057 0.66637754 0.66637754]","[-0.2200548  -0.2200548  -0.2200548  -0.21831867 -0.22208874 -0.20265284
 -0.19549315 -0.21180981 -0.19807589 -0.2200548  -0.19896093 -0.2200548
 -0.2200548  -0.19858345 -0.2200548  -0.2200548 ]","[1.6406841 1.6406841 1.6406841 1.8860856 1.5006022 2.3614402 2.570362
 1.8891835 2.468545  1.6406841 1.9534411 1.6406841 1.6406841 1.7386547
 1.6406841 1.6406841]"
2,0.8498787,"[1.9807711 1.4206293 1.4206293 1.4206293 1.5063028 1.4206293 1.2471992
 1.4206293 1.8258456 0.8498787 1.4206293 1.8812605 1.9847944 1.3945686
 1.4206293 1.2660004]","[0.63170195 0.66637754 0.66637754 0.66637754 0.6612231  0.66637754
 0.6610279  0.66637754 0.558859   0.6616266  0.66637754 0.61191356
 0.615083   0.66535926 0.66637754 0.6592604 ]","[-0.19336365 -0.2200548  -0.2200548  -0.2200548  -0.22729413 -0.2200548
 -0.22155844 -0.2200548  -0.20784584 -0.22734195 -0.2200548  -0.21404973
 -0.20154378 -0.21652511 -0.2200548  -0.2262489 ]","[2.1741347 1.6406841 1.6406841 1.6406841 1.7335969 1.6406841 1.4687576
 1.6406841 2.0336914 1.0772207 1.6406841 2.0953102 2.1863382 1.6110936
 1.6406841 1.4922493]"
3,0.8498787,"[1.4206293 1.4206293 1.4206293 1.3555245 1.2461632 1.4206293 1.4206293
 1.4206293 1.4206293 1.4206293 1.4206293 1.1037726 1.4206293 1.02096
 3.2406108 1.4206293]","[0.66637754 0.66637754 0.66637754 0.6539792  0.6512393  0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66261435
 0.66637754 0.65968716 0.62914646 0.66637754]","[-0.2200548  -0.2200548  -0.2200548  -0.22588593 -0.22641318 -0.2200548
 -0.2200548  -0.2200548  -0.2200548  -0.2200548  -0.2200548  -0.23008275
 -0.2200548  -0.23376356 -0.19280818 -0.2200548 ]","[1.6406841 1.6406841 1.6406841 1.5814105 1.4725764 1.6406841 1.6406841
 1.6406841 1.6406841 1.6406841 1.6406841 1.3338554 1.6406841 1.2547235
 3.433419  1.6406841]"
4,0.8498787,"[1.4206293 1.4206293 1.4206293 1.4206293 1.3951648 1.4206293 1.5380615
 1.4206293 1.3352232 1.4206293 1.1543124 1.4206293 1.4206293 1.4206293
 1.4206293 1.4206293]","[0.66637754 0.66637754 0.66637754 0.66637754 0.66256046 0.66637754
 0.58362186 0.66637754 0.66433644 0.66637754 0.63249135 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754]","[-0.2200548  -0.2200548  -0.2200548  -0.2200548  -0.2224056  -0.2200548
 -0.21617052 -0.2200548  -0.22752196 -0.2200548  -0.21183515 -0.2200548
 -0.2200548  -0.2200548  -0.2200548  -0.2200548 ]","[1.6406841 1.6406841 1.6406841 1.6406841 1.6175704 1.6406841 1.754232
 1.6406841 1.5627452 1.6406841 1.3661475 1.6406841 1.6406841 1.6406841
 1.6406841 1.6406841]"
5,0.8498787,"[1.2967466 1.8259066 1.4206293 1.4206293 1.4206293 1.4206293 1.4206293
 1.387007  1.6274762 2.3597658 1.4206293 1.4206293 1.4206293 2.1729138
 1.4206293 1.4206293]","[0.6515113  0.61484385 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.6355393  0.66378665 0.6379228  0.66637754 0.66637754
 0.66637754 0.60604763 0.66637754 0.66637754]","[-0.21106188 -0.19776285 -0.2200548  -0.2200548  -0.2200548  -0.2200548
 -0.2200548  -0.2112093  -0.2237203  -0.19020423 -0.2200548  -0.2200548
 -0.2200548  -0.19556306 -0.2200548  -0.2200548 ]","[1.5078084 2.0236695 1.6406841 1.6406841 1.6406841 1.6406841 1.6406841
 1.5982163 1.8511965 2.54997   1.6406841 1.6406841 1.6406841 2.3684769
 1.6406841 1.6406841]"
6,0.8498787,"[1.4206293 1.4206293 1.4206293 1.4206293 1.4206293 1.4206293 1.5942478
 1.4206293 1.0692275 1.4206293 1.4206293 1.4206293 1.4206293 1.2287462
 1.4206293 1.4206293]","[0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.6623926  0.66637754 0.6635118  0.66637754 0.66637754 0.66637754
 0.66637754 0.6641958  0.66637754 0.66637754]","[-0.2200548  -0.2200548  -0.2200548  -0.2200548  -0.2200548  -0.2200548
 -0.21608321 -0.2200548  -0.2193444  -0.2200548  -0.2200548  -0.2200548
 -0.2200548  -0.21091694 -0.2200548  -0.2200548 ]","[1.6406841 1.6406841 1.6406841 1.6406841 1.6406841 1.6406841 1.810331
 1.6406841 1.2885718 1.6406841 1.6406841 1.6406841 1.6406841 1.439663
 1.6406841 1.6406841]"
7,0.8498787,"[1.4206293 1.4206293 2.3863642 1.1329846 1.5344629 1.4206293 1.4276028
 1.0619203 1.4206293 1.2648033 1.4206293 1.4206293 1.4206293 1.4206293
 1.4206293 1.4206293]","[0.66637754 0.66637754 0.6094147  0.647779   0.6645783  0.66637754
 0.5952723  0.66495514 0.66637754 0.628559   0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754]","[-0.2200548  -0.2200548  -0.21065226 -0.21795212 -0.21912116 -0.2200548
 -0.2188277  -0.21631841 -0.2200548  -0.20436001 -0.2200548  -0.2200548
 -0.2200548  -0.2200548  -0.2200548  -0.2200548 ]","[1.6406841 1.6406841 2.5970166 1.3509368 1.7535841 1.6406841 1.6464305
 1.2782387 1.6406841 1.4691633 1.6406841 1.6406841 1.6406841 1.6406841
 1.6406841 1.6406841]"
8,0.8498787,"[1.4206293 1.4206293 1.7331493 1.4206293 1.4206293 1.5132649 1.4206293
 2.1752913 1.4206293 1.4206293 1.4206293 1.4206293 1.6799805 1.294335
 1.9320452 1.2746845]","[0.66637754 0.66637754 0.6303941  0.66637754 0.66637754 0.6635007
 0.66637754 0.600997   0.66637754 0.66637754 0.66637754 0.66637754
 0.6414315  0.6576556  0.63964593 0.634967  ]","[-0.2200548  -0.2200548  -0.19936042 -0.2200548  -0.2200548  -0.21913084
 -0.2200548  -0.18582276 -0.2200548  -0.2200548  -0.2200548  -0.2200548
 -0.19791375 -0.22384867 -0.19506001 -0.2145873 ]","[1.6406841 1.6406841 1.9325097 1.6406841 1.6406841 1.7323958 1.6406841
 2.361114  1.6406841 1.6406841 1.6406841 1.6406841 1.8778943 1.5181837
 2.1271052 1.4892719]"
9,0.8498787,"[1.4206293 1.4206293 1.4206293 1.4206293 1.238782  1.4206293 1.4206293
 1.5716324 1.4206293 1.4206293 1.4206293 1.4206293 1.4206293 1.4206293
 1.4733716 1.6971744]","[0.66637754 0.66637754 0.66637754 0.66637754 0.6593992  0.66637754
 0.66637754 0.65126204 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.6616218  0.6453146 ]","[-0.2200548  -0.2200548  -0.2200548  -0.2200548  -0.22464548 -0.2200548
 -0.2200548  -0.20720583 -0.2200548  -0.2200548  -0.2200548  -0.2200548
 -0.2200548  -0.2200548  -0.2206522  -0.202238  ]","[1.6406841 1.6406841 1.6406841 1.6406841 1.4634275 1.6406841 1.6406841
 1.7788382 1.6406841 1.6406841 1.6406841 1.6406841 1.6406841 1.6406841
 1.6940238 1.8994124]"
