iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.5305239,"[1.912926  1.7793715 2.1686087 1.5305239 1.5394064 1.5727829 1.539802
 1.6393284 1.8715571 2.2736294 1.8361393 1.6213582 2.37079   1.6977588
 1.639679  1.6150585]","[0.77173924 0.76018536 0.7441681  0.7772018  0.77320945 0.7611047
 0.77520794 0.7701289  0.77710396 0.77387863 0.77709025 0.7776836
 0.7833926  0.77101105 0.77608824 0.76905507]","[-0.19710474 -0.19988559 -0.20687366 -0.19740681 -0.20171876 -0.19255176
 -0.2074374  -0.1975     -0.20100842 -0.19322614 -0.19999154 -0.19780095
 -0.19267894 -0.20077713 -0.20575836 -0.20135081]","[2.1100307 1.9792571 2.3754823 1.7279307 1.7411252 1.7653346 1.7472394
 1.8368284 2.0725656 2.4668555 2.036131  1.8191592 2.563469  1.898536
 1.8454373 1.8164093]"
1,1.333781,"[1.5734146 1.6346924 2.0734036 1.7161818 1.333781  1.9765753 1.9241781
 2.017305  1.5465949 1.6187631 2.0645742 1.9415209 1.7002405 1.9075193
 2.060421  2.09868  ]","[0.7610354  0.7738204  0.7721     0.7742468  0.7774492  0.7813419
 0.77381295 0.75713414 0.7711483  0.7804509  0.7792264  0.7827136
 0.77696764 0.77803695 0.77845997 0.76930046]","[-0.20160623 -0.20258045 -0.20098798 -0.20264669 -0.20585743 -0.1965867
 -0.2157783  -0.21222554 -0.20423885 -0.19971862 -0.19871216 -0.19465046
 -0.20143743 -0.20001316 -0.19662598 -0.21310794]","[1.7750208 1.8372729 2.2743917 1.9188285 1.5396384 2.173162  2.1399565
 2.2295303 1.7508337 1.8184817 2.2632864 2.1361713 1.901678  2.1075325
 2.257047  2.3117878]"
2,1.333781,"[2.0507033 1.9924593 1.7660183 1.7001319 1.687811  1.9988904 1.7417879
 1.7146411 1.9834749 1.9582385 1.9432552 1.6714242 2.0154448 2.256516
 1.9884096 1.6564641]","[0.7709349  0.7680163  0.76925254 0.7638654  0.7678623  0.7656613
 0.7631785  0.7655     0.7639588  0.79965305 0.7561964  0.76279473
 0.76269794 0.75699055 0.76563615 0.7747903 ]","[-0.19321087 -0.21502948 -0.19366042 -0.20116115 -0.20333241 -0.19835328
 -0.20575409 -0.19728154 -0.20083793 -0.21589695 -0.19601183 -0.19939761
 -0.21464515 -0.1956042  -0.21614066 -0.2009749 ]","[2.2439141 2.2074888 1.9596786 1.901293  1.8911434 2.1972437 1.947542
 1.9119227 2.1843128 2.1741354 2.139267  1.8708217 2.23009   2.4521203
 2.2045503 1.857439 ]"
3,1.224345,"[1.7630234 2.2946818 2.0398877 1.9645668 1.7164644 1.8379581 1.224345
 2.0070236 1.8901145 1.7482101 1.8340248 1.7201707 1.612828  2.1208289
 1.405704  1.7645144]","[0.7670331  0.7712272  0.77561665 0.77324337 0.7742501  0.76873696
 0.7731318  0.77337396 0.7686638  0.7492528  0.77114916 0.7764496
 0.7737436  0.78588384 0.76843673 0.77421266]","[-0.19577989 -0.19971336 -0.1954563  -0.2153753  -0.20364459 -0.1974013
 -0.2060503  -0.19523016 -0.19630693 -0.1936215  -0.199725   -0.20063777
 -0.20258899 -0.21407788 -0.20186737 -0.2044446 ]","[1.9588033 2.4943953 2.235344  2.1799421 1.920109  2.0353594 1.4303952
 2.2022538 2.0864215 1.9418316 2.0337498 1.9208086 1.815417  2.3349068
 1.6075714 1.9689591]"
4,1.1026301,"[1.751952  1.6059288 1.8758256 2.0621243 1.6784241 1.7395921 1.7197127
 1.6728336 1.1026301 1.6442659 1.9374634 2.0062962 2.0257246 1.4234087
 1.483133  1.2832285]","[0.76394284 0.77112025 0.7630829  0.779229   0.7736465  0.7562081
 0.77907586 0.772534   0.7643537  0.7670971  0.7741563  0.74054736
 0.7606234  0.77270865 0.77352333 0.7690981 ]","[-0.19991264 -0.19097649 -0.19923447 -0.1929562  -0.20356344 -0.19695953
 -0.20414571 -0.20371807 -0.20731822 -0.1959341  -0.20490448 -0.20975609
 -0.19504645 -0.20377825 -0.2073636  -0.20312484]","[1.9518647 1.7969053 2.0750601 2.2550805 1.8819876 1.9365516 1.9238584
 1.8765516 1.3099483 1.8402    2.1423678 2.2160523 2.220771  1.627187
 1.6904966 1.4863534]"
5,1.1026301,"[1.9582385 1.8158345 2.3832133 2.056521  1.7304425 1.9063314 1.8097599
 2.034327  1.9119757 2.0376532 1.936318  1.9984707 1.7969644 1.6186987
 1.979401  1.9831889]","[0.79965305 0.7714243  0.7650998  0.7688068  0.76472586 0.77415437
 0.76261324 0.77192545 0.75835973 0.78151804 0.7819378  0.77200824
 0.7687993  0.77501315 0.77171946 0.73668087]","[-0.21589695 -0.19750166 -0.19720146 -0.1975249  -0.19920726 -0.20111577
 -0.19503027 -0.20449975 -0.20058022 -0.20083132 -0.19871894 -0.19910495
 -0.19978312 -0.20508972 -0.19839777 -0.21228842]","[2.1741354 2.0133362 2.5804148 2.254046  1.9296498 2.1074471 2.00479
 2.2388268 2.112556  2.2384846 2.135037  2.1975756 1.9967475 1.8237884
 2.1777987 2.1954772]"
6,1.1026301,"[1.6531117 2.0448406 2.0401452 1.6002582 1.991121  2.0572035 2.1344175
 1.6123219 1.6896222 1.4973502 1.954283  1.9364136 2.4532223 1.6081631
 1.941549  2.100307 ]","[0.78110135 0.7604636  0.7699152  0.78037673 0.7785045  0.7764101
 0.75723994 0.7643469  0.76121634 0.7653518  0.7780729  0.7733021
 0.76060396 0.77159375 0.76759356 0.771398  ]","[-0.20176397 -0.19829392 -0.19762711 -0.19518076 -0.19438294 -0.19885023
 -0.19194764 -0.19453739 -0.20078854 -0.20567702 -0.19653195 -0.19956104
 -0.18793523 -0.20472328 -0.19499764 -0.20013463]","[1.8548757 2.2431345 2.2377722 1.795439  2.185504  2.2560537 2.3263652
 1.8068593 1.8904107 1.7030272 2.150815  2.1359746 2.6411576 1.8128864
 2.1365466 2.3004417]"
7,1.1026301,"[1.3549381 2.1709259 1.9582385 1.687619  1.9210148 1.7183279 1.959094
 1.9770118 1.8202    1.6481408 1.9742341 1.9480622 1.9784728 1.7537189
 1.5024402 1.7398129]","[0.77580047 0.7837393  0.79965305 0.7739531  0.76991385 0.76491135
 0.778142   0.763216   0.768876   0.77361363 0.7797274  0.77315485
 0.776258   0.776927   0.7785141  0.77012336]","[-0.20665169 -0.1932881  -0.21589695 -0.19284666 -0.19852875 -0.19978206
 -0.19262557 -0.19080196 -0.20081897 -0.19775859 -0.19705677 -0.20054646
 -0.19200483 -0.19763418 -0.2040792  -0.20660663]","[1.5615898 2.364214  2.1741354 1.8804656 2.1195436 1.9181099 2.1517196
 2.1678138 2.021019  1.8458993 2.1712909 2.1486087 2.1704776 1.9513531
 1.7065194 1.9464195]"
8,1.1026301,"[2.283228  1.3039513 1.8860916 1.9207804 1.9199134 2.0064244 2.161014
 1.9582385 1.4623238 1.8789622 1.9232336 2.3367758 1.9896288 1.6803608
 1.9582385 1.9776205]","[0.7670562  0.7691367  0.76329875 0.7611536  0.77572316 0.7617932
 0.75199115 0.79965305 0.76410115 0.7737962  0.76931757 0.7643387
 0.763893   0.7732668  0.79965305 0.75927407]","[-0.19663274 -0.20909381 -0.20068417 -0.19814587 -0.1959938  -0.1970305
 -0.19447088 -0.21589695 -0.19654286 -0.19993822 -0.192712   -0.19513033
 -0.21505947 -0.1987521  -0.21589695 -0.21060006]","[2.4798605 1.5130451 2.0867758 2.1189263 2.1159072 2.203455  2.355485
 2.1741354 1.6588666 2.0789003 2.1159456 2.5319061 2.2046883 1.879113
 2.1741354 2.1882205]"
9,1.1026301,"[1.5159053 1.8288655 1.4650402 2.3676789 1.6984602 1.8202506 1.651452
 1.710438  2.0121477 1.7178469 2.271854  2.074039  1.9582385 1.7539473
 1.9821147 2.5197015]","[0.77823114 0.76535684 0.77199256 0.7710271  0.77187216 0.7720627
 0.7735035  0.76182234 0.77974015 0.77463365 0.7677973  0.7732034
 0.79965305 0.775999   0.77796906 0.7560556 ]","[-0.20613162 -0.20613407 -0.2045211  -0.20086603 -0.19512926 -0.19507758
 -0.20083375 -0.20755099 -0.19409202 -0.20333485 -0.19485192 -0.19942531
 -0.21589695 -0.20840605 -0.19602478 -0.19171184]","[1.7220368 2.0349996 1.6695613 2.5685449 1.8935895 2.0153282 1.8522857
 1.917989  2.2062397 1.9211817 2.4667058 2.2734642 2.1741354 1.9623533
 2.1781394 2.7114134]"
