iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,0.8328191,"[0.8328191 0.8328191 0.8328191 0.8328191 0.8328191 0.8328191 0.8328191
 0.8328191 0.8328191 0.8328191 0.8328191 0.8328191 0.8328191 0.8328191
 0.8328191 0.8328191]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477
 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477
 -0.22734477 -0.22734477 -0.22734477 -0.22734477]","[1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639
 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639
 1.0601639 1.0601639]"
1,0.6830217,"[0.8328191 0.8328191 0.8328191 0.8328191 0.8328191 0.6830217 0.8328191
 0.8328191 0.8328191 0.8328191 0.8328191 1.0140612 0.8328191 0.8328191
 0.8328191 0.8328191]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49835092
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49674064
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.23379634
 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.23237431
 -0.22734477 -0.22734477 -0.22734477 -0.22734477]","[1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 0.9168181 1.0601639
 1.0601639 1.0601639 1.0601639 1.0601639 1.2464355 1.0601639 1.0601639
 1.0601639 1.0601639]"
2,0.6830217,"[0.8328191 0.8328191 0.8328191 0.8328191 0.9790159 0.8328191 0.8328191
 0.8328191 0.8328191 0.8328191 0.8328191 0.8328191 0.8328191 0.8328191
 0.8328191 0.8328191]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4953809 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.21407503 -0.22734477
 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477
 -0.22734477 -0.22734477 -0.22734477 -0.22734477]","[1.0601639 1.0601639 1.0601639 1.0601639 1.1930909 1.0601639 1.0601639
 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639
 1.0601639 1.0601639]"
3,0.6830217,"[0.8328191  0.8328191  0.8328191  0.8328191  0.8328191  0.8328191
 0.8328191  0.8328191  0.8328191  0.8328191  0.8328191  0.8328191
 0.8328191  0.8328191  0.94823456 0.8328191 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.49785018 0.4999999 ]","[-0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477
 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477
 -0.22734477 -0.22734477 -0.22614488 -0.22734477]","[1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639
 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639
 1.1743795 1.0601639]"
4,0.47689554,"[0.8328191  0.8328191  0.5462111  0.8328191  0.7330301  0.8328191
 0.8328191  0.47689554 0.8328191  0.5862916  0.8328191  0.6000101
 0.8328191  0.8328191  0.8328191  0.8328191 ]","[0.4999999  0.4999999  0.49797952 0.4999999  0.49670595 0.4999999
 0.4999999  0.49451393 0.4999999  0.49461663 0.4999999  0.49563068
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22734477 -0.22734477 -0.22762203 -0.22734477 -0.23403683 -0.22734477
 -0.22734477 -0.23457572 -0.22734477 -0.2332567  -0.22734477 -0.23091298
 -0.22734477 -0.22734477 -0.22734477 -0.22734477]","[1.0601639  1.0601639  0.77383316 1.0601639  0.96706694 1.0601639
 1.0601639  0.71147126 1.0601639  0.8195483  1.0601639  0.8309231
 1.0601639  1.0601639  1.0601639  1.0601639 ]"
5,0.47689554,"[0.8328191  0.8328191  0.8328191  0.8328191  0.8328191  0.8328191
 0.8328191  0.8328191  0.74396574 1.0151496  0.8328191  0.8328191
 0.8328191  1.0248735  0.8328191  0.8328191 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.49626434 0.49792835 0.4999999  0.4999999
 0.4999999  0.4874475  0.4999999  0.4999999 ]","[-0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477
 -0.22734477 -0.22734477 -0.23451039 -0.22792313 -0.22734477 -0.22734477
 -0.22734477 -0.21754712 -0.22734477 -0.22734477]","[1.0601639  1.0601639  1.0601639  1.0601639  1.0601639  1.0601639
 1.0601639  1.0601639  0.97847617 1.2430727  1.0601639  1.0601639
 1.0601639  1.2424207  1.0601639  1.0601639 ]"
6,0.47689554,"[0.8328191  0.8328191  0.5569     0.8328191  0.8328191  0.8328191
 0.6145179  0.8328191  0.73553777 0.8328191  0.8328191  0.8328191
 0.8328191  0.8328191  0.8328191  0.8328191 ]","[0.4999999  0.4999999  0.48831528 0.4999999  0.4999999  0.4999999
 0.4871094  0.4999999  0.47678545 0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22734477 -0.22734477 -0.21644035 -0.22734477 -0.22734477 -0.22734477
 -0.23274866 -0.22734477 -0.20186552 -0.22734477 -0.22734477 -0.22734477
 -0.22734477 -0.22734477 -0.22734477 -0.22734477]","[1.0601639  1.0601639  0.77334034 1.0601639  1.0601639  1.0601639
 0.8472666  1.0601639  0.9374033  1.0601639  1.0601639  1.0601639
 1.0601639  1.0601639  1.0601639  1.0601639 ]"
7,0.47689554,"[0.86278296 0.8328191  0.8328191  0.95454395 0.8328191  0.8328191
 0.8328191  0.8328191  0.8328191  0.8328191  0.8328191  0.8328191
 0.8328191  1.0923655  0.8328191  0.8328191 ]","[0.48576838 0.4999999  0.4999999  0.49548227 0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4540242  0.4999999  0.4999999 ]","[-0.2280946  -0.22734477 -0.22734477 -0.22883834 -0.22734477 -0.22734477
 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477
 -0.22734477 -0.22231795 -0.22734477 -0.22734477]","[1.0908775 1.0601639 1.0601639 1.1833823 1.0601639 1.0601639 1.0601639
 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.0601639 1.3146834
 1.0601639 1.0601639]"
8,0.47689554,"[0.8328191  0.8328191  0.8328191  0.8328191  0.8328191  0.8328191
 0.92913234 0.8328191  0.8328191  0.9186913  0.8328191  0.8704172
 0.8328191  0.8328191  1.1085372  0.5611293 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.36447504 0.4999999  0.4999999  0.48766533 0.4999999  0.48457795
 0.4999999  0.4999999  0.47820488 0.49642843]","[-0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477 -0.22734477
 -0.22095788 -0.22734477 -0.22734477 -0.2196466  -0.22734477 -0.22660798
 -0.22734477 -0.22734477 -0.20621298 -0.22995096]","[1.0601639  1.0601639  1.0601639  1.0601639  1.0601639  1.0601639
 1.1500902  1.0601639  1.0601639  1.1383379  1.0601639  1.0970252
 1.0601639  1.0601639  1.3147502  0.79108024]"
9,0.47689554,"[1.3308048  0.8328191  0.8328191  0.73964584 0.8328191  0.8328191
 1.3400214  0.8328191  1.2639139  0.8328191  1.1418617  0.95416665
 0.528622   0.55846584 0.8328191  1.6529431 ]","[0.36598969 0.4999999  0.4999999  0.49887007 0.4999999  0.4999999
 0.37345678 0.4999999  0.47471327 0.4999999  0.49046272 0.48771125
 0.49910897 0.4954527  0.4999999  0.48614332]","[-0.21536607 -0.22734477 -0.22734477 -0.2258338  -0.22734477 -0.22734477
 -0.2142528  -0.22734477 -0.21978217 -0.22734477 -0.21266982 -0.19858143
 -0.22215782 -0.22699216 -0.22734477 -0.21008795]","[1.5461708  1.0601639  1.0601639  0.9654796  1.0601639  1.0601639
 1.5542742  1.0601639  1.483696   1.0601639  1.3545315  1.1527481
 0.7507798  0.78545797 1.0601639  1.8630311 ]"
