iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,0.8968897,"[0.8968897 0.8968897 0.8968897 0.8968897 0.8968897 0.8968897 0.8968897
 0.8968897 0.8968897 0.8968897 0.8968897 0.8968897 0.8968897 0.8968897
 0.8968897 0.8968897]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002
 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002
 -0.22594002 -0.22594002 -0.22594002 -0.22594002]","[1.1228297 1.1228297 1.1228297 1.1228297 1.1228297 1.1228297 1.1228297
 1.1228297 1.1228297 1.1228297 1.1228297 1.1228297 1.1228297 1.1228297
 1.1228297 1.1228297]"
1,0.678152,"[0.8968897 0.8968897 0.8968897 0.8968897 0.8968897 0.678152  0.8968897
 0.8968897 0.8968897 0.8968897 0.8968897 1.0387583 0.8968897 0.8968897
 0.8968897 0.8968897]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49835092
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49674064
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.2340647
 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.23269662
 -0.22594002 -0.22594002 -0.22594002 -0.22594002]","[1.1228297 1.1228297 1.1228297 1.1228297 1.1228297 0.9122167 1.1228297
 1.1228297 1.1228297 1.1228297 1.1228297 1.2714549 1.1228297 1.1228297
 1.1228297 1.1228297]"
2,0.6538975,"[0.8968897 0.8968897 0.8968897 0.8968897 0.6538975 0.8968897 0.8968897
 0.8968897 0.8968897 0.8968897 0.8968897 0.8968897 0.8968897 0.8968897
 0.8968897 0.8968897]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4953809 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22063437 -0.22594002
 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002
 -0.22594002 -0.22594002 -0.22594002 -0.22594002]","[1.1228297  1.1228297  1.1228297  1.1228297  0.87453187 1.1228297
 1.1228297  1.1228297  1.1228297  1.1228297  1.1228297  1.1228297
 1.1228297  1.1228297  1.1228297  1.1228297 ]"
3,0.65265995,"[0.8968897  0.8968897  0.8968897  0.8968897  0.8968897  0.8968897
 0.8919724  0.8968897  0.8968897  0.8968897  0.8968897  0.8968897
 0.8968897  0.8968897  0.65265995 0.8968897 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.49465507 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4894595  0.4999999 ]","[-0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002
 -0.2327665  -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002
 -0.22594002 -0.22594002 -0.22774178 -0.22594002]","[1.1228297  1.1228297  1.1228297  1.1228297  1.1228297  1.1228297
 1.1247389  1.1228297  1.1228297  1.1228297  1.1228297  1.1228297
 1.1228297  1.1228297  0.88040173 1.1228297 ]"
4,0.5358546,"[0.8968897 0.8968897 0.8013972 0.8968897 0.5358546 0.8968897 0.8968897
 0.5776649 0.8968897 0.8159969 0.8968897 0.8968897 0.8968897 0.8968897
 0.8968897 0.8968897]","[0.4999999  0.4999999  0.48623064 0.4999999  0.48963785 0.4999999
 0.4999999  0.4964617  0.4999999  0.48929602 0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22594002 -0.22594002 -0.22764835 -0.22594002 -0.23380241 -0.22594002
 -0.22594002 -0.2232378  -0.22594002 -0.22891165 -0.22594002 -0.22594002
 -0.22594002 -0.22594002 -0.22594002 -0.22594002]","[1.1228297 1.1228297 1.0290456 1.1228297 0.769657  1.1228297 1.1228297
 0.8009027 1.1228297 1.0449085 1.1228297 1.1228297 1.1228297 1.1228297
 1.1228297 1.1228297]"
5,0.20830664,"[0.8968897  0.8968897  0.8968897  0.8968897  0.60553545 0.8968897
 0.8968897  0.8968897  1.4285789  0.4782157  0.8968897  0.8968897
 0.7205504  0.20830664 0.77099115 0.8968897 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.49827516 0.4999999
 0.4999999  0.4999999  0.47751912 0.49507508 0.4999999  0.4999999
 0.49800843 0.49320334 0.49946448 0.4999999 ]","[-0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.20985933 -0.22594002
 -0.22594002 -0.22594002 -0.21175379 -0.23548286 -0.22594002 -0.22594002
 -0.22910431 -0.2325317  -0.23223107 -0.22594002]","[1.1228297  1.1228297  1.1228297  1.1228297  0.81539476 1.1228297
 1.1228297  1.1228297  1.6403326  0.71369857 1.1228297  1.1228297
 0.94965476 0.44083834 1.0032222  1.1228297 ]"
6,0.20830664,"[0.8968897 0.8968897 1.6017526 0.7407246 0.8968897 0.8968897 0.8968897
 0.8968897 0.8968897 0.8968897 1.4748442 0.8968897 0.8968897 0.8968897
 0.4970003 0.8968897]","[0.4999999  0.4999999  0.48247558 0.4962294  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4877438  0.4999999
 0.4999999  0.4999999  0.4961902  0.4999999 ]","[-0.22594002 -0.22594002 -0.21543388 -0.23349935 -0.22594002 -0.22594002
 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.21592396 -0.22594002
 -0.22594002 -0.22594002 -0.23558089 -0.22594002]","[1.1228297 1.1228297 1.8171865 0.974224  1.1228297 1.1228297 1.1228297
 1.1228297 1.1228297 1.1228297 1.6907682 1.1228297 1.1228297 1.1228297
 0.7325812 1.1228297]"
7,0.20830664,"[0.41260207 0.8968897  0.5617198  0.6708783  0.8290298  0.8968897
 1.2729969  1.0905795  0.8968897  0.8968897  0.8968897  0.8968897
 0.718578   0.9221079  0.8968897  0.8968897 ]","[0.49531028 0.4999999  0.49270365 0.49188626 0.4898412  0.4999999
 0.4652585  0.41983032 0.4999999  0.4999999  0.4999999  0.4999999
 0.49877083 0.48617065 0.4999999  0.4999999 ]","[-0.2338668  -0.22594002 -0.22935617 -0.23041871 -0.22727214 -0.22594002
 -0.21477441 -0.22946733 -0.22594002 -0.22594002 -0.22594002 -0.22594002
 -0.23486055 -0.21871848 -0.22594002 -0.22594002]","[0.6464689  1.1228297  0.79107594 0.901297   1.056302   1.1228297
 1.4877713  1.3200469  1.1228297  1.1228297  1.1228297  1.1228297
 0.9534385  1.1408263  1.1228297  1.1228297 ]"
8,0.20830664,"[0.63652456 1.5076313  0.8968897  0.8968897  0.8968897  0.8968897
 1.3252735  0.8968897  0.8968897  0.8968897  0.8968897  0.8968897
 0.8968897  0.8968897  0.8968897  0.8968897 ]","[0.48862353 0.49082926 0.4999999  0.4999999  0.4999999  0.4999999
 0.43869033 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22231725 -0.20447904 -0.22594002 -0.22594002 -0.22594002 -0.22594002
 -0.19830556 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002
 -0.22594002 -0.22594002 -0.22594002 -0.22594002]","[0.8588418 1.7121103 1.1228297 1.1228297 1.1228297 1.1228297 1.5235791
 1.1228297 1.1228297 1.1228297 1.1228297 1.1228297 1.1228297 1.1228297
 1.1228297 1.1228297]"
9,0.20830664,"[0.8968897  0.8968897  0.8968897  0.8968897  0.8968897  0.8143601
 1.8460065  0.9488296  0.9101561  1.0591829  0.4023522  0.6911411
 0.8968897  0.91684747 1.1549963  1.0844662 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4719973
 0.45162833 0.47689182 0.4903393  0.46614143 0.4689389  0.4849753
 0.4999999  0.49711558 0.3659712  0.49421173]","[-0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22594002 -0.22186953
 -0.21487318 -0.20979899 -0.21664447 -0.2175419  -0.22225292 -0.22569147
 -0.22594002 -0.2366637  -0.21548459 -0.21644479]","[1.1228297 1.1228297 1.1228297 1.1228297 1.1228297 1.0362296 2.0608797
 1.1586286 1.1268005 1.2767248 0.6246051 0.9168326 1.1228297 1.1535112
 1.3704809 1.300911 ]"
