iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.2277052,"[2.0089207 1.4304428 1.4069114 1.8186724 1.3106079 1.2683144 1.2277052
 1.8120842 1.3044531 1.294881  1.8203063 1.6185088 1.5532082 2.2267575
 1.5871404 1.4874623]","[0.7063137  0.6945213  0.6980213  0.70505416 0.711684   0.69738615
 0.7103526  0.69700164 0.6949581  0.6828078  0.7066364  0.69058716
 0.7122655  0.68199885 0.7188079  0.70589954]","[-0.22533223 -0.23041259 -0.22588381 -0.22406363 -0.23097175 -0.2318373
 -0.2359791  -0.222177   -0.23146397 -0.23243766 -0.22034235 -0.22438556
 -0.22720568 -0.21536827 -0.22802278 -0.22833818]","[2.234253  1.6608554 1.6327952 2.042736  1.5415797 1.5001516 1.4636843
 2.0342612 1.535917  1.5273186 2.0406487 1.8428943 1.7804139 2.4421258
 1.8151633 1.7158005]"
1,0.8892582,"[1.8657458 1.6420255 1.5093354 2.1119816 1.7355974 2.204857  1.9583956
 0.926263  1.4228457 1.6688112 1.5864091 1.4718542 1.9891032 1.8612931
 1.7669204 0.8892582]","[0.7079445  0.7033795  0.716536   0.69686556 0.71775675 0.6614044
 0.7096679  0.7082975  0.70516884 0.6996592  0.6748549  0.6824832
 0.7288759  0.70231843 0.7035668  0.6822727 ]","[-0.21977995 -0.22294694 -0.22423397 -0.224646   -0.22841987 -0.21217555
 -0.22479597 -0.2371768  -0.22734855 -0.22656587 -0.22287133 -0.2252104
 -0.23063648 -0.22507402 -0.22689655 -0.22645777]","[2.0855258 1.8649725 1.7335694 2.3366277 1.9640173 2.4170327 2.1831915
 1.1634398 1.6501943 1.895377  1.8092804 1.6970646 2.2197397 2.0863671
 1.993817  1.115716 ]"
2,0.8892582,"[2.1950061 1.6914008 1.6426431 1.7488275 1.3372986 1.6261964 1.4673659
 1.0683166 1.425569  1.5963908 0.9686701 1.6190369 1.4530687 2.062351
 1.6855236 1.3629178]","[0.6658901  0.70745516 0.71660227 0.72882545 0.71178836 0.7216266
 0.7087071  0.69891775 0.7099967  0.7081156  0.7080108  0.6983652
 0.7127188  0.7020603  0.7218297  0.70810765]","[-0.21540882 -0.22306934 -0.23205878 -0.2278046  -0.23323339 -0.221367
 -0.22713324 -0.23228894 -0.23486368 -0.22873437 -0.23332906 -0.23008926
 -0.23302016 -0.22354048 -0.22410014 -0.23224433]","[2.410415  1.9144701 1.8747019 1.9766321 1.5705321 1.8475634 1.6944991
 1.3006055 1.6604327 1.8251252 1.2019992 1.8491262 1.6860889 2.2858915
 1.9096237 1.5951622]"
3,0.8892582,"[1.619137  1.6753304 1.3363404 1.2314619 1.8652303 1.1446506 1.6271653
 1.5688055 1.795809  1.8618119 1.7728748 1.5816724 2.350642  1.5331807
 2.2102227 1.4931352]","[0.69876087 0.69047093 0.6909059  0.6869463  0.71359694 0.7085675
 0.6967325  0.7146119  0.70627105 0.7013569  0.71863085 0.70478123
 0.6469831  0.6930956  0.6988026  0.6805915 ]","[-0.2254762  -0.22155075 -0.22323082 -0.2294035  -0.22913317 -0.23641123
 -0.23143265 -0.23121859 -0.2184284  -0.22384188 -0.2295802  -0.22703528
 -0.21489881 -0.2268866  -0.22581863 -0.22580057]","[1.8446133 1.8968811 1.5595713 1.4608654 2.0943635 1.3810618 1.858598
 1.800024  2.0142374 2.0856538 2.002455  1.8087077 2.5655408 1.7600673
 2.4360414 1.7189358]"
4,0.8892582,"[1.2112089  1.1895407  1.3923893  1.1760383  1.893095   1.4410603
 1.6748782  0.97239226 2.3105006  1.4887923  1.5066105  1.4229785
 1.617944   1.3780321  1.3120797  1.389157  ]","[0.7021586  0.7026361  0.7028705  0.7145775  0.6942117  0.68592083
 0.69246113 0.65501374 0.6476475  0.69382477 0.66864204 0.6899419
 0.69816065 0.70180976 0.69369525 0.70697767]","[-0.22808821 -0.23313299 -0.22593185 -0.2309843  -0.22569467 -0.22715136
 -0.2221237  -0.23163706 -0.21500471 -0.23241875 -0.22328074 -0.23048198
 -0.22994836 -0.22510572 -0.22499464 -0.22588903]","[1.4392972 1.4226737 1.6183212 1.4070226 2.1187897 1.6682117 1.897002
 1.2040293 2.5255053 1.7212111 1.7298913 1.6534605 1.8478924 1.6031379
 1.5370743 1.615046 ]"
5,0.8892582,"[1.4280319 1.2813797 2.0420635 1.2221007 1.3336997 2.070673  1.4168346
 2.0508354 1.4105903 2.0301418 1.561207  1.9197338 1.2662631 1.493511
 1.2113886 2.1075232]","[0.70454645 0.6992966  0.7102024  0.7054074  0.69860995 0.70074445
 0.72361517 0.6972936  0.6955148  0.70935094 0.6949592  0.662655
 0.7043881  0.69928503 0.7190951  0.70615774]","[-0.22937089 -0.23014127 -0.22222665 -0.23549584 -0.22595948 -0.22148424
 -0.23033327 -0.22390766 -0.2304943  -0.22378767 -0.22878224 -0.22512645
 -0.23132434 -0.23105736 -0.2329543  -0.22761025]","[1.6574028 1.511521  2.26429   1.4575965 1.5596591 2.2921572 1.6471679
 2.274743  1.6410846 2.2539296 1.7899894 2.1448603 1.4975874 1.7245684
 1.4443429 2.3351336]"
6,0.8892582,"[1.5734072  1.8148477  1.6435829  1.1256654  2.004252   2.0762432
 0.98358744 1.6455165  1.3614335  1.3429826  1.5161544  1.6096627
 1.7099515  2.1767676  1.6438742  1.2028822 ]","[0.69525534 0.7082064  0.7105194  0.70229405 0.7166996  0.71872467
 0.69478565 0.6830664  0.698102   0.70056534 0.713877   0.7078118
 0.70297444 0.7306288  0.69005203 0.7164823 ]","[-0.2218955  -0.2272482  -0.22830833 -0.23388909 -0.23356593 -0.21967031
 -0.23777205 -0.22544493 -0.22806996 -0.22804177 -0.23378864 -0.22884831
 -0.22413012 -0.22057247 -0.2290557  -0.22894324]","[1.7953026 2.042096  1.8718913 1.3595545 2.2378178 2.2959135 1.2213595
 1.8709614 1.5895035 1.5710244 1.749943  1.838511  1.9340817 2.39734
 1.8729299 1.4318254]"
7,0.8892582,"[1.3261892 1.2752202 1.4388943 1.7941307 1.6160449 1.562099  1.5749534
 1.0408956 1.4703355 1.6775594 1.5068382 1.4666297 1.3117476 1.4576304
 1.3746467 1.6264949]","[0.7115767  0.69773364 0.72287107 0.71834695 0.7292892  0.71814895
 0.70856607 0.7103472  0.7092614  0.7074398  0.7035121  0.71635294
 0.71008956 0.7183746  0.69987345 0.7249322 ]","[-0.23782575 -0.23158601 -0.23372743 -0.22503082 -0.22389916 -0.2278449
 -0.23006923 -0.23339911 -0.22834367 -0.2230094  -0.22629295 -0.22683269
 -0.23438221 -0.23711042 -0.2292976  -0.22999845]","[1.5640149 1.5068061 1.6726217 2.0191615 1.839944  1.7899439 1.8050227
 1.2742947 1.6986792 1.9005687 1.7331312 1.6934625 1.5461297 1.6947408
 1.6039443 1.8564934]"
8,0.8892582,"[1.1628351 1.3593724 1.1415081 1.6677724 1.8349614 1.2870891 1.1212084
 1.9393429 1.7102841 1.1866126 1.508508  1.1478616 1.2741208 1.13425
 2.2822044 1.6018674]","[0.70390296 0.6926202  0.70732194 0.7170762  0.7057729  0.7063004
 0.68470037 0.6972296  0.71991456 0.7034911  0.7071917  0.72991395
 0.71930754 0.69732153 0.7171054  0.71198934]","[-0.23588687 -0.22778514 -0.23417722 -0.22624764 -0.22813128 -0.23075867
 -0.22803621 -0.22393116 -0.23088248 -0.23581146 -0.22856933 -0.22628394
 -0.23622566 -0.23001635 -0.2260615  -0.22605254]","[1.3987219 1.5871575 1.3756853 1.8940201 2.0630927 1.5178478 1.3492446
 2.163274  1.9411666 1.4224241 1.7370772 1.3741455 1.5103465 1.3642664
 2.508266  1.82792  ]"
9,0.8892582,"[1.3748904 1.4740039 1.3768895 1.5499774 1.7373933 1.8455023 1.9331744
 1.1468359 1.5630581 1.315122  1.5657971 1.884452  1.2756573 1.6555845
 1.6199718 1.4730189]","[0.71002084 0.7052454  0.70597255 0.70526314 0.6958957  0.6824039
 0.67444706 0.70347226 0.7034043  0.6977641  0.71263397 0.6981847
 0.708812   0.6654833  0.6968799  0.6795471 ]","[-0.22692561 -0.23254056 -0.22900271 -0.2311173  -0.22420382 -0.21955404
 -0.21966913 -0.23158705 -0.22798185 -0.22759554 -0.22766684 -0.21753849
 -0.23415919 -0.21721037 -0.22419475 -0.22821043]","[1.601816  1.7065445 1.6058922 1.7810947 1.9615971 2.0650563 2.1528435
 1.378423  1.79104   1.5427176 1.793464  2.1019905 1.5098165 1.8727949
 1.8441665 1.7012293]"
10,0.8892582,"[1.9081256 1.8039374 1.1658653 1.9201703 1.4100312 1.4673351 1.2681847
 1.801553  1.5179291 1.0826178 1.419173  1.7269735 1.5789165 1.2709105
 1.6668894 1.2810469]","[0.6947689  0.7205277  0.7031715  0.7109847  0.70128715 0.72915226
 0.70081526 0.691607   0.7038611  0.6973933  0.73666865 0.71127
 0.7062363  0.70311385 0.70282894 0.71026057]","[-0.22441718 -0.22535181 -0.23242006 -0.22487706 -0.22362077 -0.23372018
 -0.22667798 -0.22035675 -0.22802703 -0.23172861 -0.22584893 -0.2274485
 -0.23012103 -0.2272833  -0.2248508  -0.2324852 ]","[2.1325428 2.0292892 1.3982854 2.1450474 1.633652  1.7010553 1.4948627
 2.0219097 1.7459561 1.3143463 1.6450219 1.954422  1.8090376 1.4981939
 1.8917402 1.513532 ]"
11,0.82143515,"[1.6906903  1.1815029  1.5321767  1.4647567  1.3955917  1.1638641
 1.2544005  1.5103033  1.1857661  1.6524191  1.1372741  1.4621122
 1.1773931  1.6072916  1.3243471  0.82143515]","[0.708189   0.700485   0.71209645 0.70047927 0.696149   0.6949503
 0.6903761  0.7195565  0.6950972  0.70225966 0.70431924 0.6813846
 0.708129   0.74967474 0.71451926 0.69383687]","[-0.22371452 -0.22374757 -0.22460605 -0.23019975 -0.22700603 -0.23362999
 -0.22999126 -0.23094569 -0.22904384 -0.2275312  -0.23506036 -0.22740291
 -0.22758386 -0.22040644 -0.2299775  -0.23732372]","[1.9144047 1.4052505 1.7567828 1.6949565 1.6225978 1.3974941 1.4843918
 1.741249  1.41481   1.8799503 1.3723345 1.6895151 1.404977  1.827698
 1.5543246 1.0587589]"
12,0.82143515,"[1.3167083 1.2162688 1.3078508 1.4744389 1.2219806 1.3509827 1.1992571
 1.4035915 1.6298779 1.420348  1.6072916 1.1114419 2.460307  1.3171382
 1.5992548 1.1244621]","[0.70208865 0.6885222  0.69873834 0.6892651  0.68040484 0.7008076
 0.6965408  0.6995461  0.71675646 0.68963194 0.74967474 0.7083
 0.6799802  0.7070491  0.7016667  0.69200075]","[-0.23511702 -0.23113754 -0.22692728 -0.23110422 -0.22759351 -0.22841734
 -0.22728272 -0.2305564  -0.22931884 -0.22678956 -0.22040644 -0.23193821
 -0.21505421 -0.22863889 -0.2319264  -0.23025233]","[1.5518254 1.4474063 1.5347781 1.7055432 1.4495741 1.5794    1.4265399
 1.6341479 1.8591968 1.6471376 1.827698  1.3433801 2.6753612 1.5457771
 1.8311813 1.3547145]"
13,0.82143515,"[1.5109856 1.530194  1.7025194 1.5154892 1.3236036 1.8303457 1.0856756
 1.8754371 1.5809126 1.6072916 1.367831  1.9650497 1.165649  1.3198484
 1.214028  1.511366 ]","[0.6879196  0.67486715 0.6994717  0.7081205  0.701786   0.6887877
 0.7129029  0.6981522  0.7052529  0.74967474 0.69693154 0.7144765
 0.6873828  0.687079   0.7173214  0.6943832 ]","[-0.2306026  -0.22493933 -0.22425193 -0.22850904 -0.22753897 -0.22069202
 -0.23457229 -0.216602   -0.22379763 -0.22040644 -0.22910196 -0.22697783
 -0.22980472 -0.2238009  -0.23315634 -0.22771524]","[1.7415882 1.7551334 1.9267713 1.7439983 1.5511426 2.0510378 1.3202479
 2.092039  1.8047103 1.827698  1.5969329 2.1920276 1.3954538 1.5436493
 1.4471843 1.7390813]"
