iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.4614708,"[2.0451767 2.3255687 2.2651505 2.0511918 1.7828062 1.8494881 1.9423946
 1.9916584 1.7724787 2.5206947 2.4577973 1.6795295 1.4614708 1.8095568
 1.9641201 1.8124746]","[0.75113696 0.755689   0.76303095 0.7548801  0.75820607 0.75816005
 0.7418526  0.7340562  0.7530765  0.7546713  0.7525523  0.76352996
 0.74466866 0.7366597  0.7603455  0.75054115]","[-0.2347538  -0.23459469 -0.23104095 -0.2296259  -0.23680134 -0.2346174
 -0.23710094 -0.23186927 -0.23776186 -0.22186601 -0.23027952 -0.24294987
 -0.2384945  -0.23166834 -0.23190807 -0.23860827]","[2.2799306 2.5601633 2.4961915 2.2808177 2.0196075 2.0841055 2.1794956
 2.2235277 2.0102406 2.7425606 2.6880767 1.9224794 1.6999654 2.0412252
 2.1960282 2.0510828]"
1,1.4614708,"[2.4637084 2.3518527 1.8891424 2.2756815 1.8520087 2.515751  1.8886617
 2.1767387 1.8520019 1.6809567 1.6814961 1.9443222 1.5911725 2.0695198
 1.67463   2.0651324]","[0.7486104  0.75106204 0.7617089  0.75121194 0.7402455  0.7542351
 0.7656765  0.7575378  0.7566251  0.75375813 0.7496256  0.76345485
 0.7484236  0.725051   0.7594005  0.7584283 ]","[-0.22981174 -0.23511027 -0.23355494 -0.23066993 -0.23242489 -0.22774446
 -0.23665564 -0.23592472 -0.23437451 -0.23266688 -0.23922586 -0.22938839
 -0.23704068 -0.23184936 -0.23662837 -0.23552798]","[2.69352   2.586963  2.1226974 2.5063515 2.0844336 2.7434955 2.1253173
 2.4126635 2.0863764 1.9136236 1.920722  2.1737106 1.8282131 2.3013692
 1.9112585 2.3006604]"
2,1.4614708,"[2.657706  1.7812246 2.2560425 1.5564276 1.8268914 1.6533531 2.0521562
 1.9930415 2.0129745 2.2529848 1.7327124 2.0747483 1.7220371 1.9826288
 2.1100035 1.5184277]","[0.7541995  0.7468202  0.744804   0.7476941  0.7531478  0.75931334
 0.7558648  0.751177   0.7562948  0.7544909  0.74683505 0.76585376
 0.7510932  0.7579922  0.77617913 0.76034504]","[-0.2275724  -0.23258887 -0.22631872 -0.23765151 -0.23606396 -0.23713127
 -0.23589082 -0.2352331  -0.23271139 -0.22755642 -0.24076973 -0.23567915
 -0.23474698 -0.2361152  -0.23557146 -0.23981328]","[2.8852785 2.0138135 2.482361  1.7940791 2.0629554 1.8904843 2.288047
 2.2282746 2.2456858 2.4805412 1.9734821 2.3104274 1.956784  2.218744
 2.3455749 1.758241 ]"
3,1.4614708,"[2.1689904 2.123343  2.016905  1.8931044 1.8573505 2.4717367 1.7275947
 1.8158438 1.7338926 2.0181484 1.5414218 1.573507  1.9046004 1.8319371
 2.1422977 1.7958088]","[0.7495217  0.75856715 0.75287133 0.7592794  0.76416415 0.75080574
 0.76077145 0.7488961  0.7580189  0.74489415 0.7677987  0.7467052
 0.7639684  0.7555818  0.762814   0.7539076 ]","[-0.2370216  -0.2364404  -0.23630093 -0.23335448 -0.23652135 -0.22667389
 -0.2405368  -0.23568673 -0.23502424 -0.23313513 -0.24138525 -0.2337731
 -0.23819995 -0.2365134  -0.23383057 -0.23233695]","[2.406012  2.3597834 2.253206  2.126459  2.0938718 2.6984105 1.9681315
 2.0515306 1.9689168 2.2512836 1.782807  1.8072801 2.1428003 2.0684505
 2.3761282 2.0281458]"
4,1.3150234,"[2.04945   2.266378  1.9502265 2.1619322 1.8518572 1.7278583 1.8610287
 1.3150234 2.1122713 1.3817896 1.5456429 1.5546188 1.6004995 2.146233
 1.7617149 1.5471014]","[0.75567704 0.7486534  0.7638237  0.75759697 0.7542326  0.75550056
 0.7554704  0.75542116 0.75343704 0.7415912  0.74920505 0.74182796
 0.7660697  0.7571382  0.75557315 0.7562129 ]","[-0.23251624 -0.23070696 -0.23426123 -0.2296106  -0.23671721 -0.23329058
 -0.2355823  -0.24166758 -0.23589686 -0.23567085 -0.23949201 -0.23971294
 -0.24342051 -0.23542488 -0.23711477 -0.23836426]","[2.2819662 2.4970849 2.1844878 2.391543  2.0885744 1.9611489 2.096611
 1.556691  2.3481681 1.6174604 1.7851349 1.7943318 1.84392   2.3816578
 1.9988297 1.7854656]"
5,1.2720096,"[1.7799127 1.8540347 1.5366539 1.7728572 1.942622  2.2093117 2.465446
 1.2720096 1.9028722 2.482101  2.192052  1.8148332 1.7765914 1.7103016
 2.2199244 2.1362877]","[0.7645515  0.7642547  0.7573852  0.7616386  0.7606082  0.76311034
 0.76147157 0.74646515 0.763689   0.75160545 0.7560616  0.75706166
 0.75384486 0.76364815 0.7592946  0.7732941 ]","[-0.23615055 -0.23851347 -0.24208525 -0.23859504 -0.23443508 -0.2309107
 -0.23218821 -0.24078946 -0.2369705  -0.2331868  -0.23660818 -0.2376735
 -0.23584548 -0.23700571 -0.22629078 -0.2169437 ]","[2.0160632 2.0925481 1.7787391 2.0114522 2.177057  2.4402225 2.6976342
 1.512799  2.1398427 2.7152877 2.4286602 2.0525067 2.0124369 1.9473073
 2.4462152 2.3532314]"
6,1.2720096,"[2.1441016 1.5286101 1.9438672 1.6402667 2.0312328 2.0148098 1.7511193
 2.3146586 2.4877684 1.7610853 2.1168702 2.4165127 2.2541063 1.8524392
 1.659933  1.9088299]","[0.72253907 0.7322532  0.7702526  0.745682   0.7704406  0.7636563
 0.7662503  0.75422025 0.7700972  0.75511855 0.7487095  0.7454335
 0.7500455  0.75732034 0.75735074 0.7482204 ]","[-0.23236866 -0.2374407  -0.2289894  -0.23501901 -0.2317758  -0.23632486
 -0.2384895  -0.22737785 -0.2315127  -0.23579064 -0.23261629 -0.22436391
 -0.22889169 -0.23934937 -0.23625742 -0.23022817]","[2.3764703 1.7660508 2.1728566 1.8752856 2.2630086 2.2511346 1.9896088
 2.5420365 2.7192812 1.9968759 2.3494864 2.6408765 2.482998  2.0917885
 1.8961904 2.139058 ]"
7,1.2720096,"[1.8859906 1.5093318 1.9851809 1.6457485 2.0110507 1.7433817 1.8881534
 1.9707514 1.462479  1.9376585 2.0686471 1.7616899 1.9492656 2.0559745
 1.9759455 1.7227879]","[0.7626583  0.7544015  0.75652564 0.7618128  0.75270003 0.7542288
 0.76569706 0.75526065 0.7423009  0.7516435  0.7559562  0.7572377
 0.75690997 0.7638935  0.75919974 0.7598543 ]","[-0.23658346 -0.23787792 -0.23359798 -0.23589928 -0.23408353 -0.23477183
 -0.23810378 -0.23413216 -0.2380317  -0.2284911  -0.23560236 -0.2378304
 -0.23542872 -0.2324475  -0.2349431  -0.23307972]","[2.122574  1.7472098 2.2187788 1.8816478 2.2451344 1.9781536 2.1262572
 2.2048836 1.7005107 2.1661496 2.3042495 1.9995203 2.1846943 2.288422
 2.2108886 1.9558675]"
8,1.2720096,"[2.0055833 1.8526788 1.7461294 1.8864303 2.0192668 1.6983228 1.719809
 2.284227  1.6214082 1.8893808 2.052134  1.5908527 1.8541499 1.5346713
 2.2723455 2.1442657]","[0.768933   0.75448817 0.75800586 0.7547842  0.76764613 0.74460834
 0.75922805 0.7623545  0.75942403 0.76455307 0.76043344 0.75428015
 0.7426469  0.75102746 0.7545687  0.74277085]","[-0.23293172 -0.23352936 -0.2343994  -0.23264313 -0.2338322  -0.23310068
 -0.2412123  -0.2297946  -0.23717146 -0.23666802 -0.23073354 -0.2367842
 -0.2313236  -0.23806424 -0.23060358 -0.22897771]","[2.238515  2.086208  1.9805288 2.1190734 2.253099  1.9314234 1.9610213
 2.5140214 1.8585796 2.1260488 2.2828677 1.827637  2.0854735 1.7727356
 2.5029492 2.3732433]"
9,1.2720096,"[1.5220116 2.1558802 1.9283041 2.3108366 2.0982394 1.5936518 1.9928412
 2.1944597 2.1411796 1.5358549 1.6585418 1.8964666 1.9626832 1.5501839
 1.438792  2.0496247]","[0.747555   0.75696737 0.7536402  0.7673206  0.7630185  0.760384
 0.7559561  0.75948185 0.75655574 0.75510484 0.7523816  0.7548974
 0.74864596 0.75294226 0.7483935  0.7664536 ]","[-0.23701914 -0.23434661 -0.2327994  -0.23350735 -0.23418467 -0.23766804
 -0.23026374 -0.23247431 -0.23027788 -0.23588024 -0.23784052 -0.23554766
 -0.23371486 -0.23777948 -0.23984459 -0.23682895]","[1.7590308 2.3902268 2.1611035 2.544344  2.3324242 1.8313198 2.223105
 2.426934  2.3714573 1.7717352 1.8963823 2.1320143 2.196398  1.7879634
 1.6786366 2.2864537]"
10,1.2720096,"[1.7750871 1.4057392 2.1018777 1.7111435 2.0383906 1.5446501 1.4624182
 1.9702063 1.993847  2.1914248 1.675182  1.5451062 2.0289764 2.1317465
 2.0351648 1.7846087]","[0.754847   0.7406664  0.76285756 0.7512828  0.76595247 0.7658662
 0.7492127  0.762734   0.76893216 0.7588889  0.74663633 0.76499355
 0.75792027 0.76333266 0.7649003  0.76552945]","[-0.2345922  -0.24053927 -0.23561604 -0.2350769  -0.23316002 -0.23926143
 -0.23812914 -0.23384498 -0.23002942 -0.23026519 -0.23253551 -0.24146973
 -0.23583904 -0.23203073 -0.2301851  -0.23556677]","[2.0096793 1.6462785 2.3374937 1.9462204 2.2715507 1.7839115 1.7005473
 2.2040513 2.2238765 2.42169   1.9077175 1.7865759 2.2648156 2.3637772
 2.2653499 2.0201755]"
11,1.2720096,"[1.9111933 1.914446  2.0676355 2.1019125 1.8610467 1.9220927 1.661201
 2.094431  1.8540397 1.4574963 2.3934715 1.8799657 1.8329225 1.6865902
 1.4583683 1.823473 ]","[0.7644219  0.7629064  0.7570882  0.7580157  0.7582523  0.7685376
 0.75593215 0.7587711  0.7713215  0.7555439  0.7606398  0.7535265
 0.75657004 0.7549564  0.7474193  0.743525  ]","[-0.23523961 -0.23652498 -0.23492609 -0.2273413  -0.23748119 -0.23454209
 -0.2384107  -0.23640804 -0.2374773  -0.23951967 -0.2302796  -0.23176448
 -0.23725958 -0.23994873 -0.23890784 -0.23152542]","[2.1464329 2.150971  2.3025615 2.3292537 2.098528  2.1566348 1.8996117
 2.330839  2.091517  1.697016  2.6237512 2.11173   2.070182  1.926539
 1.6972761 2.0549984]"
12,1.2720096,"[2.008412  2.045444  1.8084909 2.0860858 2.0789835 1.8569176 2.4337287
 1.8488191 1.8232449 1.9006709 1.7029043 1.9590955 1.9773425 1.6233262
 2.0234118 1.6348158]","[0.76504695 0.7596968  0.7582852  0.7601606  0.7618291  0.7644896
 0.76193213 0.7471312  0.7607113  0.76395553 0.76116234 0.75854295
 0.75368387 0.7571539  0.7528268  0.74943936]","[-0.23669207 -0.2387224  -0.2400981  -0.2295732  -0.2401543  -0.23662685
 -0.23206134 -0.23919003 -0.23752037 -0.23600064 -0.23696034 -0.23122573
 -0.24115816 -0.23941405 -0.23436105 -0.23473239]","[2.245104  2.2841663 2.048589  2.315659  2.3191378 2.0935445 2.66579
 2.088009  2.0607653 2.1366715 1.9398646 2.1903212 2.2185006 1.8627403
 2.2577727 1.8695482]"
