iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,0.33644596,"[1.3335372  1.6618055  0.33644596 1.419785   1.7448252  2.122835
 1.419785   1.7997335  0.7068162  0.55871934 1.7690443  2.3274384
 0.9892175  0.61567545 1.3092718  1.3454528 ]","[0.6571323  0.64874065 0.58573383 0.66637754 0.6036058  0.6005734
 0.66637754 0.64197767 0.6210372  0.61620677 0.6283396  0.58933985
 0.6399774  0.64428985 0.63725954 0.6611375 ]","[-0.21801746 -0.22099563 -0.23367259 -0.22007321 -0.21840607 -0.20558767
 -0.22007321 -0.21340482 -0.22259435 -0.22198044 -0.21402717 -0.2099905
 -0.22818062 -0.21967009 -0.21588248 -0.2175836 ]","[1.5515547  1.8828012  0.57011855 1.6398582  1.9632313  2.3284225
 1.6398582  2.0131383  0.9294105  0.7806998  1.9830714  2.5374289
 1.2173982  0.8353455  1.5251542  1.5630364 ]"
1,0.33644596,"[1.7343476  0.93683374 0.9011381  2.1396244  1.0769745  0.9162975
 1.8729829  0.82608837 0.7376056  1.015704   0.3479447  0.8376475
 0.714562   1.0772222  1.4209702  1.4850224 ]","[0.62296045 0.64150184 0.631341   0.56901956 0.6455085  0.6516087
 0.6328046  0.6328572  0.6409935  0.63082516 0.6055922  0.60520816
 0.6198087  0.6450639  0.58350885 0.6391834 ]","[-0.21369785 -0.21769893 -0.21760122 -0.21012186 -0.2244029  -0.22938602
 -0.21798477 -0.22356956 -0.22905985 -0.22783709 -0.23294386 -0.21990411
 -0.22775178 -0.2270755  -0.21754164 -0.22103181]","[1.9480455  1.1545327  1.1187394  2.3497462  1.3013774  1.1456835
 2.0909677  1.049658   0.9666654  1.2435411  0.58088857 1.0575516
 0.9423138  1.3042977  1.6385118  1.7060542 ]"
2,0.33644596,"[1.3356447  0.706509   1.3551347  1.8187542  1.8464817  1.0843549
 1.2468904  1.4282558  0.95253354 1.5295869  0.635767   0.9396196
 1.2143221  1.3816428  0.684891   1.0294794 ]","[0.637793   0.6282866  0.62224805 0.6315171  0.6267408  0.6384299
 0.64385825 0.6240589  0.605791   0.60677904 0.6044337  0.6277847
 0.6401951  0.62442416 0.6200018  0.6398523 ]","[-0.22651605 -0.22081837 -0.21253318 -0.2098637  -0.21591912 -0.22331306
 -0.22267239 -0.22358732 -0.22516231 -0.20957002 -0.23221168 -0.22408931
 -0.21993047 -0.22189432 -0.22447875 -0.2192043 ]","[1.5621607 0.9273274 1.5676678 2.0286179 2.0624008 1.307668  1.4695628
 1.6518431 1.1776959 1.739157  0.8679787 1.1637089 1.4342525 1.6035372
 0.9093697 1.2486837]"
3,0.33644596,"[1.1328136  1.419785   1.1654452  1.0680029  1.6585906  0.9182899
 1.3959785  1.1977159  1.136383   0.5521525  0.77334154 1.1202384
 1.0079365  1.4595073  1.3589331  1.2597947 ]","[0.6319801  0.66637754 0.61125153 0.63381183 0.60322744 0.6243907
 0.6412953  0.65939933 0.6324063  0.62528765 0.6182461  0.62802196
 0.6206924  0.6223282  0.6651037  0.615439  ]","[-0.21887946 -0.22007321 -0.21500084 -0.21955943 -0.2159507  -0.22252968
 -0.21394658 -0.22393814 -0.2203469  -0.22554725 -0.22372296 -0.22043453
 -0.22687328 -0.21767007 -0.21348785 -0.21888888]","[1.351693   1.6398582  1.3804461  1.2875624  1.8745413  1.1408195
 1.609925   1.421654   1.35673    0.77769977 0.9970645  1.340673
 1.2348098  1.6771774  1.572421   1.4786836 ]"
4,0.33644596,"[1.0763087  0.7547522  1.419785   1.5266218  1.425041   1.1155607
 1.0111613  1.2823087  1.1663191  1.3590147  1.6292511  0.70876116
 1.0146502  2.4891675  0.8324816  0.86808103]","[0.63039094 0.6405358  0.66637754 0.5901005  0.6124365  0.6447157
 0.64575094 0.64626205 0.5753305  0.6439311  0.6534578  0.6507459
 0.64879274 0.55309194 0.61792105 0.6381533 ]","[-0.22286856 -0.2277674  -0.22007321 -0.213648   -0.21595585 -0.2220858
 -0.2245366  -0.22587767 -0.21596414 -0.21614489 -0.21883981 -0.22149496
 -0.22757041 -0.20363252 -0.22826861 -0.2233179 ]","[1.2991773 0.9825196 1.6398582 1.7402698 1.6409968 1.3376465 1.2356979
 1.5081863 1.3822832 1.5751597 1.8480909 0.9302561 1.2422206 2.6928
 1.0607502 1.091399 ]"
5,0.33644596,"[1.419785  1.15131   2.4077492 1.296746  0.5955229 0.5884433 1.9406146
 1.5942774 1.0574331 1.6418173 1.419785  2.092214  1.6460568 0.5689423
 1.1333731 1.7314265]","[0.66637754 0.64847744 0.59500456 0.6524615  0.62469256 0.6266333
 0.6480308  0.61985636 0.62302303 0.65429026 0.66637754 0.62282515
 0.62142754 0.60954535 0.6395041  0.6520497 ]","[-0.22007321 -0.22275513 -0.20609808 -0.22018555 -0.22461441 -0.2248902
 -0.21028171 -0.21637343 -0.21652958 -0.22236082 -0.22007321 -0.2144543
 -0.21095769 -0.22395723 -0.2260927  -0.21665196]","[1.6398582  1.3740652  2.6138473  1.5169315  0.8201373  0.8133335
 2.1508963  1.8106508  1.2739627  1.8641782  1.6398582  2.3066685
 1.8570144  0.79289955 1.3594658  1.9480784 ]"
6,0.31151062,"[1.419785   1.1939393  0.61814237 1.1979451  1.419785   1.1080666
 0.31151062 1.4176115  1.5907178  0.63601756 1.5873814  0.7625492
 0.8181037  1.5669729  1.3074663  1.3717196 ]","[0.66637754 0.637884   0.6347552  0.63299525 0.66637754 0.6353545
 0.6249552  0.64465994 0.6640035  0.63521636 0.65818256 0.6109635
 0.6106391  0.63652456 0.59404886 0.62210584]","[-0.22007321 -0.22822258 -0.22691491 -0.21886867 -0.22007321 -0.22034709
 -0.23306529 -0.2200056  -0.20312183 -0.22324565 -0.2135996  -0.2227304
 -0.22255647 -0.22042415 -0.21940011 -0.22235143]","[1.6398582  1.4221619  0.84505725 1.4168137  1.6398582  1.3284136
 0.5445759  1.6376171  1.7938396  0.8592632  1.8009809  0.9852796
 1.0406601  1.787397   1.5268664  1.594071  ]"
7,0.31151062,"[1.419785   1.2282794  1.2309389  0.5688362  0.41695285 1.246391
 1.4341044  1.3226141  1.1605484  1.482685   0.88183784 1.7513686
 0.8036742  1.419785   1.419785   1.865988  ]","[0.66637754 0.60534775 0.6535667  0.6262325  0.61741316 0.64832705
 0.6562194  0.65234894 0.63864446 0.65443087 0.61991364 0.58433795
 0.6419568  0.66637754 0.66637754 0.61001074]","[-0.22007321 -0.21018496 -0.22457592 -0.22690889 -0.23151964 -0.2148886
 -0.21435407 -0.22356308 -0.22176617 -0.21907715 -0.22246194 -0.21499383
 -0.22400688 -0.22007321 -0.22007321 -0.21381354]","[1.6398582  1.4384643  1.4555148  0.79574513 0.6484725  1.4612796
 1.6484585  1.5461771  1.3823147  1.7017621  1.1042998  1.9663625
 1.0276811  1.6398582  1.6398582  2.0798016 ]"
8,0.31151062,"[1.419785   1.2177063  0.9465765  0.97919595 1.419785   1.021318
 1.1415321  0.59427726 1.5554671  0.9436289  1.0752839  0.9403851
 1.098387   0.6651428  1.5321944  0.51377094]","[0.66637754 0.6198238  0.65442    0.6194482  0.66637754 0.6100813
 0.64998126 0.62515396 0.62338257 0.62581414 0.6554044  0.64655894
 0.63085246 0.6296439  0.6171486  0.6162919 ]","[-0.22007321 -0.21429226 -0.22194254 -0.22427523 -0.22007321 -0.22353154
 -0.21880977 -0.22953603 -0.21506833 -0.22817181 -0.22366707 -0.2239224
 -0.22574684 -0.22689205 -0.22058877 -0.2267262 ]","[1.6398582  1.4319986  1.168519   1.2034712  1.6398582  1.2448494
 1.3603418  0.82381326 1.7705355  1.1718007  1.2989509  1.1643075
 1.3241339  0.8920348  1.7527832  0.7404971 ]"
9,0.31151062,"[0.46163803 0.41982883 0.7254214  0.8281975  0.8975992  1.0498931
 1.015347   1.1659604  1.0764432  0.8581102  0.8043276  0.34919503
 2.1959255  0.77744305 1.4792951  1.2262895 ]","[0.63626266 0.5764086  0.62768483 0.63507473 0.6103991  0.6323843
 0.63349366 0.6486863  0.6358249  0.6165816  0.6193968  0.6273229
 0.5788092  0.6232349  0.6432632  0.65936464]","[-0.2296664  -0.22678334 -0.22981685 -0.2272515  -0.22037554 -0.21921182
 -0.22124594 -0.22107017 -0.2207793  -0.22138992 -0.22761989 -0.2279453
 -0.20440231 -0.23272201 -0.22034034 -0.22433618]","[0.69130445 0.64661217 0.9552383  1.055449   1.1179748  1.269105
 1.236593   1.3870306  1.2972225  1.0795001  1.0319475  0.57714033
 2.4003277  1.0101651  1.6996355  1.4506257 ]"
