iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,0.709648,"[0.887933   1.9321543  0.91562986 1.3799732  0.8496537  0.9375717
 1.1951207  0.7554051  0.8561797  1.1990403  1.4462221  0.709648
 1.1990403  1.1676214  1.2394083  1.0799476 ]","[0.6291506  0.62361753 0.5974251  0.6519308  0.58806473 0.59894645
 0.6460551  0.57785845 0.62637293 0.66637754 0.62705964 0.61572456
 0.66637754 0.558298   0.62169886 0.6200084 ]","[-0.2252351  -0.21072707 -0.21725237 -0.2102127  -0.22779456 -0.21703438
 -0.20876837 -0.23303728 -0.2250453  -0.22528633 -0.2179467  -0.22171447
 -0.22528633 -0.22015855 -0.21295552 -0.2228311 ]","[1.1131681  2.1428814  1.1328822  1.5901859  1.0774482  1.1546061
 1.4038891  0.9884424  1.081225   1.4243267  1.6641687  0.93136245
 1.4243267  1.38778    1.4523637  1.3027787 ]"
1,0.48962605,"[1.4432014  1.1554621  0.8292336  1.0729637  0.9261477  1.1990403
 0.8201724  1.381936   1.1990403  1.1871027  0.9142699  1.0761138
 0.9412748  0.8036625  1.1566967  0.48962605]","[0.62733185 0.59908366 0.6303005  0.6128316  0.60063773 0.66637754
 0.6091256  0.6039215  0.66637754 0.6279403  0.5613599  0.62836665
 0.6107747  0.59934807 0.6190135  0.5680956 ]","[-0.22447094 -0.21166584 -0.22840862 -0.21929584 -0.2188394  -0.22528633
 -0.22277823 -0.21111086 -0.22528633 -0.22483203 -0.22616827 -0.22630799
 -0.21846013 -0.2192239  -0.21324742 -0.22993863]","[1.6676724 1.367128  1.0576422 1.2922596 1.1449871 1.4243267 1.0429506
 1.5930468 1.4243267 1.4119347 1.1404382 1.3024218 1.159735  1.0228864
 1.3699441 0.7195647]"
2,0.48962605,"[1.0626597  0.891842   1.3154458  0.87928104 0.758318   1.3635496
 0.81658524 1.3566291  1.0172065  1.1249528  1.4351206  0.92867327
 0.83441174 1.1592151  0.8349767  1.2566216 ]","[0.62678206 0.5865625  0.59576744 0.6312153  0.58371913 0.6545364
 0.5538969  0.63368726 0.64120245 0.5975888  0.60153055 0.61222017
 0.56234515 0.61401844 0.6267005  0.6007471 ]","[-0.22515325 -0.21626186 -0.20844208 -0.22217081 -0.227446   -0.21979952
 -0.22259647 -0.21544957 -0.22710797 -0.21423033 -0.20902853 -0.22645593
 -0.22795126 -0.2141459  -0.22425064 -0.21724099]","[1.287813  1.1081039 1.5238879 1.1014519 0.985764  1.5833491 1.0391817
 1.5720787 1.2443146 1.3391831 1.6441491 1.1551292 1.062363  1.373361
 1.0592273 1.4738626]"
3,0.48962605,"[1.1177869  0.8332763  0.90398353 1.4982151  1.1222504  1.7160211
 1.6445458  0.65789306 1.136701   1.12529    1.2886643  0.9798495
 0.73989683 1.2739948  1.1430646  0.9197753 ]","[0.61594594 0.60018075 0.62880504 0.6160547  0.61189044 0.6429813
 0.65000784 0.60985607 0.56865865 0.62932456 0.6361302  0.58384633
 0.62265015 0.5838761  0.6235604  0.6080767 ]","[-0.21813709 -0.20741189 -0.22740929 -0.21540968 -0.2167366  -0.21628803
 -0.2039156  -0.22811195 -0.21707712 -0.22122072 -0.2144728  -0.21384709
 -0.21954751 -0.21440963 -0.21716604 -0.2220308 ]","[1.335924   1.0406882  1.1313928  1.7136247  1.338987   1.932309
 1.8484614  0.88600504 1.3537781  1.3465108  1.5031371  1.1936966
 0.95944434 1.4884044  1.3602307  1.1418061 ]"
4,0.48962605,"[0.9223932  0.9239488  0.92609894 1.1652807  1.2255578  1.1012658
 1.1990403  1.1635742  0.7192327  0.6149855  1.0628413  0.97502935
 1.0453957  1.6617603  0.77602947 0.9883231 ]","[0.6054384  0.63455665 0.61330414 0.60835886 0.61383975 0.6396603
 0.66637754 0.604857   0.6365395  0.6114292  0.55992997 0.6139747
 0.60556614 0.62852204 0.56943214 0.634973  ]","[-0.20932555 -0.22663526 -0.22025774 -0.22214143 -0.22439526 -0.22173095
 -0.22528633 -0.21578406 -0.22536954 -0.22859757 -0.22356074 -0.2196131
 -0.21542287 -0.21430013 -0.22956726 -0.2237904 ]","[1.1317188  1.1505841  1.1463567  1.3874221  1.4499531  1.3229967
 1.4243267  1.3793583  0.94460225 0.8435831  1.286402   1.1946424
 1.2608186  1.8760605  1.0055968  1.2121135 ]"
5,0.48962605,"[1.1990403  0.90860796 1.3660971  1.1776458  1.3064553  0.78397703
 1.0762889  1.4004276  1.0163441  1.2123775  0.9156436  1.0601453
 1.2761223  0.9751305  0.92504644 1.3165402 ]","[0.66637754 0.6265302  0.61569405 0.56659657 0.6204309  0.56231356
 0.6091937  0.6223707  0.6112112  0.6057946  0.60782623 0.617208
 0.6105339  0.60978276 0.6336938  0.6135535 ]","[-0.22528633 -0.22355673 -0.21298322 -0.2063658  -0.21941528 -0.21686815
 -0.22370526 -0.211268   -0.2208523  -0.21127197 -0.22057855 -0.21745531
 -0.21240835 -0.22298436 -0.22474304 -0.22480398]","[1.4243267 1.1321647 1.5790803 1.3840116 1.5258706 1.0008452 1.2999942
 1.6116955 1.2371963 1.4236495 1.1362221 1.2776005 1.4885306 1.1981149
 1.1497895 1.5413442]"
6,0.48962605,"[1.4022312  1.2950293  1.2459767  0.7463316  1.671802   1.1291921
 1.2805796  1.0334207  1.1183826  1.2523932  1.0614666  1.1541435
 1.020243   0.94237804 0.90235806 1.0652592 ]","[0.6557996  0.6400882  0.5934291  0.62086993 0.62687385 0.58632267
 0.5256266  0.5789309  0.57082164 0.5952913  0.61086196 0.62363726
 0.62467194 0.57113886 0.61335444 0.6260628 ]","[-0.20866796 -0.20972143 -0.21049546 -0.22597359 -0.20965558 -0.2109454
 -0.21044514 -0.20632243 -0.21674423 -0.21708712 -0.22163638 -0.21901684
 -0.21005337 -0.2220764  -0.21923196 -0.21658361]","[1.6108992 1.5047507 1.4564722 0.9723052 1.8814577 1.3401375 1.4910247
 1.2397431 1.3351268 1.4694804 1.283103  1.3731602 1.2302964 1.1644545
 1.12159   1.2818428]"
7,0.48962605,"[1.1990403  0.96923864 1.2807313  1.0392653  1.1935151  0.75410295
 0.996203   0.91299087 1.332154   1.1990403  0.89715874 1.141579
 1.2781665  1.171936   1.5980756  1.3737521 ]","[0.66637754 0.5873443  0.6105784  0.62960756 0.6168349  0.57952875
 0.6230986  0.57275414 0.5839963  0.66637754 0.6175673  0.6240567
 0.6652171  0.614953   0.65021056 0.62164044]","[-0.22528633 -0.20913136 -0.21925834 -0.22570562 -0.21785167 -0.2270374
 -0.22233218 -0.22357492 -0.21899323 -0.22528633 -0.22131917 -0.21393935
 -0.20594952 -0.21438429 -0.20037273 -0.21626782]","[1.4243267 1.17837   1.4999896 1.2649709 1.4113667 0.9811404 1.2185352
 1.1365658 1.5511472 1.4243267 1.118478  1.3555183 1.4841161 1.3863204
 1.7984483 1.59002  ]"
8,0.48962605,"[0.8891044 1.4221598 1.05304   1.6753386 1.4697936 1.2467942 1.1404688
 1.1177622 1.3522301 1.1988547 1.1411184 1.0477049 2.8182628 1.3522203
 0.7856598 1.0413979]","[0.61906767 0.610978   0.569093   0.5707195  0.6247725  0.6308345
 0.59859824 0.5929107  0.6203031  0.6015202  0.6410391  0.5388369
 0.5689794  0.6079569  0.57207316 0.57747495]","[-0.22092193 -0.21656337 -0.22043335 -0.21394646 -0.2117014  -0.22175819
 -0.21830058 -0.21640341 -0.21517317 -0.21036416 -0.22043714 -0.21593994
 -0.20918463 -0.21168026 -0.22630134 -0.22110973]","[1.1100264 1.6387231 1.2734734 1.8892851 1.681495  1.4685524 1.3587694
 1.3341656 1.5674032 1.4092188 1.3615556 1.2636449 3.0274475 1.5639006
 1.0119611 1.2625077]"
9,0.48962605,"[0.6805058  0.9098156  1.1990403  0.95571154 1.7270277  0.8255726
 0.72874194 1.1990403  0.8349905  1.1161169  1.172679   1.3784066
 1.309184   1.2061579  1.0581567  1.1990403 ]","[0.5943801  0.6311399  0.66637754 0.62520444 0.49453792 0.56477964
 0.54305935 0.66637754 0.63050914 0.6097393  0.58116925 0.6043499
 0.61673254 0.62533045 0.5819894  0.66637754]","[-0.22081763 -0.22088449 -0.22528633 -0.22793595 -0.21659008 -0.22637847
 -0.22301106 -0.22528633 -0.22315525 -0.22032201 -0.21966647 -0.2053449
 -0.21727125 -0.21169657 -0.2147846  -0.22528633]","[0.90132344 1.1307001  1.4243267  1.1836475  1.9436177  1.051951
 0.951753   1.4243267  1.0581458  1.3364389  1.3923454  1.5837516
 1.5264552  1.4178545  1.2729414  1.4243267 ]"
10,0.48962605,"[2.9735336  1.1990403  0.9888821  1.3397725  0.82683706 1.0384519
 0.8889067  0.816034   1.2224422  0.588094   1.2160914  1.1990403
 1.5830828  1.1990403  1.1990403  0.9361975 ]","[0.5595906  0.66637754 0.5937041  0.61732054 0.6284923  0.56309366
 0.6070931  0.55320734 0.5874897  0.57780784 0.61351913 0.66637754
 0.62799704 0.66637754 0.66637754 0.61273116]","[-0.19420695 -0.22528633 -0.20881324 -0.21626626 -0.22619057 -0.2190597
 -0.22321984 -0.22157697 -0.21112737 -0.23605835 -0.21845518 -0.22528633
 -0.2191935  -0.22528633 -0.22528633 -0.21914783]","[3.1677406  1.4243267  1.1976954  1.5560387  1.0530276  1.2575116
 1.1121266  1.037611   1.4335696  0.82415235 1.4345466  1.4243267
 1.8022763  1.4243267  1.4243267  1.1553453 ]"
11,0.48962605,"[0.9279912  0.69560504 1.1990403  0.681506   0.92606026 0.84878635
 1.3523223  1.1990403  1.3446453  1.2981821  1.1990403  1.1990403
 0.9792555  0.8830038  1.1990403  1.1990403 ]","[0.6254365  0.57189816 0.66637754 0.5801242  0.5650364  0.59794605
 0.6465905  0.66637754 0.60977983 0.6268569  0.66637754 0.66637754
 0.6185899  0.56564295 0.66637754 0.66637754]","[-0.21387272 -0.22773442 -0.22528633 -0.23053199 -0.22360675 -0.21969818
 -0.22554666 -0.22528633 -0.22225073 -0.21901594 -0.22528633 -0.22528633
 -0.2168123  -0.22538751 -0.22528633 -0.22528633]","[1.141864   0.9233394  1.4243267  0.91203797 1.149667   1.0684845
 1.5778689  1.4243267  1.566896   1.5171981  1.4243267  1.4243267
 1.1960678  1.1083913  1.4243267  1.4243267 ]"
12,0.48962605,"[1.2505015  0.7754667  1.324924   1.1990403  0.83668566 0.98167896
 0.7518502  1.8986608  0.87472206 1.445684   1.2856715  1.1990403
 1.1990403  1.2934486  1.1990403  1.8834579 ]","[0.63809454 0.56970906 0.61465347 0.66637754 0.62082964 0.5636366
 0.60736096 0.57667387 0.56788063 0.5962317  0.58109313 0.66637754
 0.66637754 0.6102344  0.66637754 0.64922607]","[-0.21984313 -0.22617078 -0.2235024  -0.22528633 -0.21957254 -0.22165897
 -0.22585778 -0.21606456 -0.2247997  -0.21845716 -0.21200946 -0.22528633
 -0.22528633 -0.21063578 -0.22528633 -0.21854065]","[1.4703447 1.0016375 1.5484264 1.4243267 1.0562582 1.2033379 0.977708
 2.1147254 1.0995218 1.664141  1.4976809 1.4243267 1.4243267 1.5040843
 1.4243267 2.1019986]"
13,0.48962605,"[1.6554177  0.8673165  1.1990403  1.0245811  1.034694   0.8751678
 0.6935708  0.75012064 0.87149334 1.595577   1.0580757  1.2688639
 1.3390076  1.8018432  1.1502634  1.1990403 ]","[0.63521284 0.61439735 0.66637754 0.584223   0.6269766  0.6005854
 0.57211804 0.56642216 0.57050186 0.6373298  0.6358322  0.63864106
 0.64428604 0.5638866  0.6350058  0.66637754]","[-0.21784781 -0.20282254 -0.22528633 -0.21149811 -0.21265456 -0.22468702
 -0.22788984 -0.2266879  -0.22881806 -0.20678449 -0.21797797 -0.22206599
 -0.21495144 -0.2130251  -0.21027832 -0.22528633]","[1.8732655  1.070139   1.4243267  1.2360792  1.2473485  1.0998548
 0.9214606  0.97680855 1.1003114  1.8023615  1.2760537  1.4909298
 1.553959   2.0148683  1.3605417  1.4243267 ]"
