iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,0.81312025,"[0.81312025 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025
 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025
 0.81312025 0.81312025 0.81312025 0.81312025]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642
 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642
 -0.22778642 -0.22778642 -0.22778642 -0.22778642]","[1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067
 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067
 1.0409067 1.0409067]"
1,0.68593836,"[0.81312025 0.81312025 0.81312025 0.81312025 0.81312025 0.68593836
 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025 1.0455711
 0.81312025 0.81312025 0.81312025 0.81312025]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49835092
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49674064
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.2336013
 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.23224348
 -0.22778642 -0.22778642 -0.22778642 -0.22778642]","[1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 0.9195397 1.0409067
 1.0409067 1.0409067 1.0409067 1.0409067 1.2778145 1.0409067 1.0409067
 1.0409067 1.0409067]"
2,0.68593836,"[0.81312025 0.81312025 0.81312025 0.81312025 0.8731304  0.81312025
 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025
 0.81312025 0.81312025 0.81312025 0.81312025]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4953809 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.21631747 -0.22778642
 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642
 -0.22778642 -0.22778642 -0.22778642 -0.22778642]","[1.0409067 1.0409067 1.0409067 1.0409067 1.0894479 1.0409067 1.0409067
 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067
 1.0409067 1.0409067]"
3,0.68593836,"[0.81312025 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025
 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025
 0.81312025 0.81312025 0.90121764 0.81312025]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.49785018 0.4999999 ]","[-0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642
 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642
 -0.22778642 -0.22778642 -0.22701447 -0.22778642]","[1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067
 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067
 1.1282321 1.0409067]"
4,0.54108375,"[0.81312025 0.81312025 0.54108375 0.81312025 0.7097252  0.81312025
 0.81312025 0.5545638  0.81312025 0.6217708  0.81312025 0.5671009
 0.81312025 0.81312025 0.81312025 0.81312025]","[0.4999999  0.4999999  0.49797952 0.4999999  0.49670595 0.4999999
 0.4999999  0.49451393 0.4999999  0.49461663 0.4999999  0.49563068
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22778642 -0.22778642 -0.22744036 -0.22778642 -0.23432018 -0.22778642
 -0.22778642 -0.23317516 -0.22778642 -0.2331652  -0.22778642 -0.2310678
 -0.22778642 -0.22778642 -0.22778642 -0.22778642]","[1.0409067  1.0409067  0.7685241  1.0409067  0.94404536 1.0409067
 1.0409067  0.787739   1.0409067  0.854936   1.0409067  0.79816866
 1.0409067  1.0409067  1.0409067  1.0409067 ]"
5,0.4448173,"[0.81312025 0.81312025 0.81312025 0.81312025 0.584131   0.81312025
 0.81312025 0.81312025 0.81312025 0.8609306  0.4448173  0.81312025
 0.98768973 0.60648435 0.81312025 0.81312025]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4979735  0.4999999
 0.4999999  0.4999999  0.4999999  0.4994434  0.49361083 0.4999999
 0.49074498 0.49631006 0.4999999  0.4999999 ]","[-0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22726473 -0.22778642
 -0.22778642 -0.22778642 -0.22778642 -0.22780508 -0.23099817 -0.22778642
 -0.22629467 -0.22890346 -0.22778642 -0.22778642]","[1.0409067  1.0409067  1.0409067  1.0409067  0.81139576 1.0409067
 1.0409067  1.0409067  1.0409067  1.0887357  0.67581546 1.0409067
 1.2139844  0.8353878  1.0409067  1.0409067 ]"
6,0.4448173,"[0.81312025 0.85732865 0.7771231  0.5732229  0.81312025 0.81312025
 0.81312025 0.60424113 0.81312025 0.81312025 0.84156823 0.81312025
 0.81312025 0.81312025 0.81900513 0.81312025]","[0.4999999  0.47386408 0.47723836 0.49153683 0.4999999  0.4999999
 0.4999999  0.49390638 0.4999999  0.4999999  0.49811336 0.4999999
 0.4999999  0.4999999  0.4970202  0.4999999 ]","[-0.22778642 -0.21186236 -0.21410438 -0.2318947  -0.22778642 -0.22778642
 -0.22778642 -0.2308917  -0.22778642 -0.22778642 -0.22606823 -0.22778642
 -0.22778642 -0.22778642 -0.22514668 -0.22778642]","[1.0409067  1.069191   0.9912275  0.8051176  1.0409067  1.0409067
 1.0409067  0.83513284 1.0409067  1.0409067  1.0676365  1.0409067
 1.0409067  1.0409067  1.0441518  1.0409067 ]"
7,0.4448173,"[0.81312025 0.81312025 0.5319731  0.81312025 0.81312025 0.81312025
 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025
 0.81312025 0.81312025 0.62855816 0.81312025]","[0.4999999  0.4999999  0.49521425 0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.49736598 0.4999999 ]","[-0.22778642 -0.22778642 -0.22948477 -0.22778642 -0.22778642 -0.22778642
 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642
 -0.22778642 -0.22778642 -0.23044759 -0.22778642]","[1.0409067  1.0409067  0.76145786 1.0409067  1.0409067  1.0409067
 1.0409067  1.0409067  1.0409067  1.0409067  1.0409067  1.0409067
 1.0409067  1.0409067  0.85900575 1.0409067 ]"
8,0.4448173,"[0.81312025 0.9645552  0.81312025 0.81312025 0.81312025 0.81312025
 1.9190043  0.81312025 0.81312025 0.81312025 0.81312025 0.81312025
 0.81312025 0.81312025 0.81312025 0.81312025]","[0.4999999  0.49665093 0.4999999  0.4999999  0.4999999  0.4999999
 0.48317918 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22778642 -0.20400256 -0.22778642 -0.22778642 -0.22778642 -0.22778642
 -0.20567432 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642
 -0.22778642 -0.22778642 -0.22778642 -0.22778642]","[1.0409067 1.1685578 1.0409067 1.0409067 1.0409067 1.0409067 2.1246786
 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067
 1.0409067 1.0409067]"
9,0.4448173,"[0.81312025 0.81312025 0.81312025 0.81312025 0.81312025 0.81312025
 0.81312025 0.81312025 0.81312025 0.4823526  0.81312025 0.81312025
 0.81312025 0.9696598  0.81312025 1.4358349 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4936748  0.4999999  0.4999999
 0.4999999  0.47022504 0.4999999  0.48804113]","[-0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642 -0.22778642
 -0.22778642 -0.22778642 -0.22778642 -0.2315399  -0.22778642 -0.22778642
 -0.22778642 -0.2220752  -0.22778642 -0.19772443]","[1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067 1.0409067
 1.0409067 1.0409067 0.7138925 1.0409067 1.0409067 1.0409067 1.191735
 1.0409067 1.6335593]"
