iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.2764115,"[1.4068063 1.5762299 2.0561657 1.3661513 1.6273028 1.534713  1.4827644
 2.2587523 1.2764115 1.5437087 1.3593806 1.6755832 1.3420264 1.5601709
 1.3822393 1.5215375]","[0.770289   0.76365155 0.7609436  0.75744563 0.76073855 0.76258403
 0.7623252  0.762525   0.7640486  0.7582375  0.7652404  0.7551097
 0.7651832  0.7601016  0.769924   0.7750617 ]","[-0.22859731 -0.21645744 -0.2209395  -0.22293448 -0.21907547 -0.21764655
 -0.22552536 -0.21468118 -0.22449659 -0.21846731 -0.22847302 -0.2170066
 -0.22830664 -0.22628975 -0.2263215  -0.21525691]","[1.6354036 1.7926874 2.277105  1.5890858 1.8463782 1.7523596 1.7082897
 2.4734335 1.5009081 1.762176  1.5878537 1.8925898 1.570333  1.7864606
 1.6085608 1.7367945]"
1,1.2417507,"[1.440064  1.3430616 1.5919727 1.3232436 1.358179  1.336849  1.4509088
 1.6251639 1.4085519 1.7524966 1.6722232 1.5282515 1.2417507 1.7200754
 1.3964523 1.8345131]","[0.76494145 0.76768225 0.77782863 0.7707975  0.7476929  0.76031727
 0.75865674 0.7543674  0.76518494 0.76319724 0.7709997  0.7573995
 0.77136487 0.78226894 0.7540995  0.7615429 ]","[-0.22820929 -0.22864091 -0.22489236 -0.23179649 -0.22441606 -0.22767258
 -0.2196857  -0.22058593 -0.227458   -0.2190011  -0.21816237 -0.2268867
 -0.22304463 -0.22704194 -0.22341791 -0.21746743]","[1.6682732 1.5717025 1.8168651 1.5550401 1.582595  1.5645216 1.6705945
 1.8457499 1.6360099 1.9714977 1.8903856 1.7551383 1.4647954 1.9471173
 1.6198702 2.0519805]"
2,1.2417507,"[1.2623291 1.7395226 1.7916855 1.3263285 1.3248541 1.8820473 1.5040339
 1.6562685 1.3930144 1.4365203 1.4769243 1.5226893 1.596323  1.4210961
 1.4714776 1.3781278]","[0.7661034  0.7717725  0.7753023  0.77025205 0.7750437  0.7723505
 0.75607437 0.7663445  0.7534437  0.7593891  0.77107126 0.7624407
 0.7707204  0.77273506 0.769432   0.7763826 ]","[-0.23213652 -0.21716955 -0.22638829 -0.23026891 -0.22994676 -0.22267143
 -0.2211241  -0.21915348 -0.22558732 -0.2251563  -0.22974168 -0.21496485
 -0.2176452  -0.22986439 -0.22707191 -0.21976018]","[1.4944656 1.9566921 2.0180738 1.5565975 1.5548009 2.1047187 1.725158
 1.875422  1.6186018 1.6616766 1.706666  1.7376542 1.8139682 1.6509604
 1.6985495 1.597888 ]"
3,1.2417507,"[1.4573523 2.1615694 1.6652597 1.6734388 1.3450222 1.8726326 1.7997682
 1.6458291 1.3374994 1.3479626 2.143629  1.4022859 1.4364909 1.4277357
 1.3745115 1.5939034]","[0.7696333  0.75423914 0.7728851  0.7709958  0.7642228  0.78033537
 0.7648701  0.7789816  0.77092195 0.7685316  0.7727059  0.76794124
 0.764378   0.76871324 0.7654317  0.7781319 ]","[-0.2312399  -0.21049471 -0.22649108 -0.2204066  -0.22764929 -0.2278146
 -0.22122888 -0.21850045 -0.22542699 -0.22837022 -0.20806804 -0.22549741
 -0.22770083 -0.22208579 -0.22395186 -0.2335238 ]","[1.6885922 2.372064  1.8917508 1.8938454 1.5726715 2.1004472 2.020997
 1.8643296 1.5629264 1.5763328 2.3516972 1.6277833 1.6641917 1.6498215
 1.5984633 1.8274273]"
4,1.2417507,"[1.4951595 1.5264906 1.564542  1.6410931 1.506569  1.3847601 1.3879638
 1.3801874 1.4088895 1.6003736 1.37901   1.4870273 1.4660481 1.3657936
 1.9265106 1.3548253]","[0.75948155 0.77481854 0.76859236 0.76574534 0.7674374  0.7729211
 0.7679573  0.77027696 0.76201427 0.7685036  0.7467332  0.7677713
 0.7754654  0.7675895  0.7643187  0.7770569 ]","[-0.2225951  -0.22511004 -0.22253676 -0.22469473 -0.22776257 -0.23228185
 -0.22967525 -0.22580393 -0.22296639 -0.22058807 -0.22625689 -0.22785869
 -0.22789207 -0.22776167 -0.2188587  -0.22989796]","[1.7177546 1.7516006 1.7870789 1.8657879 1.7343316 1.617042  1.6176391
 1.6059914 1.631856  1.8209617 1.6052668 1.714886  1.6939402 1.5935552
 2.1453693 1.5847232]"
5,1.2417507,"[1.5779552 1.5003415 1.3972951 1.6490461 1.6968964 1.3990095 1.4389861
 1.4276434 1.814616  1.7920284 1.6207062 1.5395452 1.42443   1.398839
 2.019179  1.6098639]","[0.7551444  0.7681706  0.764236   0.7761232  0.78006    0.7682478
 0.76920074 0.76689047 0.7799985  0.77529734 0.7705024  0.7713583
 0.7648506  0.7545981  0.7892929  0.77129936]","[-0.2227515  -0.22917543 -0.2267326  -0.22649133 -0.23077829 -0.23087528
 -0.22764848 -0.22566903 -0.21943644 -0.22936657 -0.22763729 -0.22487251
 -0.22441082 -0.22248505 -0.21308711 -0.22831383]","[1.8007067 1.729517  1.6240277 1.8755374 1.9276748 1.6298847 1.6666346
 1.6533124 2.0340524 2.021395  1.8483435 1.7644176 1.6488408 1.6213241
 2.2322662 1.8381777]"
6,1.2417507,"[1.4776242 1.4950875 1.6609046 1.5655969 1.4227403 1.803702  1.6087376
 1.5484793 1.4997147 1.4216795 1.5104022 1.8027676 1.5624301 1.3257223
 1.7324861 1.7240182]","[0.76620215 0.7687952  0.7747585  0.760482   0.76723874 0.7827182
 0.7681884  0.7671478  0.77682006 0.7731042  0.7656274  0.77503985
 0.7689745  0.7560064  0.77441955 0.77836174]","[-0.219414   -0.2227348  -0.22119312 -0.21595669 -0.22555168 -0.22597352
 -0.22811472 -0.22524457 -0.23043595 -0.22474666 -0.22314523 -0.2282702
 -0.22173241 -0.22894354 -0.22180651 -0.22160578]","[1.6970382 1.7178223 1.8820977 1.7815536 1.6482921 2.0296755 1.8368523
 1.7737238 1.7301507 1.6464262 1.7335474 2.0310378 1.7841625 1.5546659
 1.9542927 1.945624 ]"
7,1.2417507,"[1.391172  1.4045662 1.5048313 1.3259691 1.5913723 1.4962116 1.318445
 1.5313812 1.6063262 1.4741634 1.3079574 1.3719882 1.410745  1.5213156
 1.4177241 1.3528011]","[0.7693363  0.7746193  0.76775545 0.75671417 0.780005   0.77277136
 0.77579    0.7666281  0.764902   0.7639673  0.7694501  0.76507455
 0.76256734 0.7676136  0.768192   0.77280074]","[-0.22948682 -0.22728196 -0.22080901 -0.22333674 -0.2255601  -0.22724834
 -0.22112457 -0.21809493 -0.22408214 -0.22105752 -0.22627942 -0.23017395
 -0.22312701 -0.22341572 -0.23128584 -0.22509196]","[1.6206589 1.6318481 1.7256403 1.5493058 1.8169323 1.72346   1.5395695
 1.7494762 1.8304083 1.695221  1.5342368 1.6021621 1.633872  1.7447313
 1.64901   1.577893 ]"
8,1.2417507,"[1.4205248 1.5144672 1.7042873 1.5731658 1.3662422 1.7514709 1.709167
 1.3096038 1.3742834 1.6240221 1.6645879 1.6276386 1.6592716 1.6360275
 1.4609464 1.3554308]","[0.7740125  0.7727963  0.76325876 0.76933396 0.76417893 0.758293
 0.76567084 0.763971   0.7654857  0.77639705 0.7724844  0.7709799
 0.76107645 0.7742707  0.75467414 0.7567724 ]","[-0.22316961 -0.2184505  -0.22014503 -0.21991377 -0.22348332 -0.20921433
 -0.214792   -0.22481401 -0.22683434 -0.22663462 -0.21405701 -0.22049777
 -0.2220706  -0.22622834 -0.22654162 -0.2250494 ]","[1.6436944 1.7329178 1.9244323 1.7930795 1.5897255 1.9606853 1.923959
 1.5344179 1.6011177 1.8506567 1.8786448 1.8481363 1.8813422 1.8622558
 1.6874881 1.5804802]"
9,1.2417507,"[1.9384094 1.5451516 1.5831101 1.3829969 1.7733066 1.2824781 1.4778262
 1.4791143 1.472849  1.5057766 1.4650302 1.4620981 1.3875556 1.432516
 1.3837166 1.5910516]","[0.7755491  0.769468   0.7737002  0.76760095 0.77141756 0.77227944
 0.77585405 0.77130455 0.77275306 0.7752139  0.7713221  0.77104574
 0.76189655 0.7612039  0.7669589  0.77575296]","[-0.22081172 -0.22944584 -0.22634105 -0.22643554 -0.22124477 -0.22881143
 -0.22853623 -0.22509256 -0.22649918 -0.22154406 -0.22176802 -0.22679701
 -0.22648792 -0.22096996 -0.22758602 -0.22421339]","[2.1592212 1.7745974 1.8094511 1.6094325 1.9945514 1.5112895 1.7063625
 1.7042068 1.6993482 1.7273207 1.6867982 1.6888951 1.6140435 1.6534859
 1.6113026 1.8152649]"
