initial_prompt,count_rows,image_oe_score_mean,image_oe_score_min,image_oe_score_max,image_oe_score_stdev,text_oe_score_mean
primordial_soup,8,0.9505208656191826,0.9447881579399109,0.9576481580734253,0.004855943536479258,0.7205501794815063
an_egg_hatching,8,0.95352703332901,0.9440406560897827,0.9584751129150391,0.0049208001805016105,0.7000472545623779
a_pepperoni_pizza,8,0.9417700618505478,0.9365801811218262,0.9533372521400452,0.005719228261591184,0.7082165479660034
a_slime_mould,8,0.9423215910792351,0.9364030361175537,0.9484313726425171,0.00466637402894166,0.7119705080986023
a_flower,8,0.954551637172699,0.9497154951095581,0.9628803133964539,0.003989387626769995,0.750137984752655
the_garden_of_eden,8,0.9510574191808701,0.9491896033287048,0.9544041156768799,0.0018052982959623183,0.7169461250305176
a_dying_star,8,0.9559154137969017,0.948582649230957,0.9648840427398682,0.006720987960683553,0.6688257455825806
an_extraterrestrial_life,8,0.9424972385168076,0.9341266751289368,0.9627323746681213,0.009544809009889542,0.7021174430847168
the_big_bang,8,0.9515443369746208,0.9445511102676392,0.9577564597129822,0.004091064744303847,0.698658287525177
a_monkey,8,0.9482453763484955,0.9441409111022949,0.9624297618865967,0.005990687375954926,0.6975443363189697
a_caterpillar,8,0.9461496621370316,0.9407761693000793,0.9637375473976135,0.007338934239574541,0.7462021112442017
a_microbe,8,0.9559918642044067,0.9452986717224121,0.9598615169525146,0.0046684064305150125,0.7262135148048401
a_fungus,8,0.9521226584911346,0.9446060061454773,0.9569905996322632,0.004100074179152348,0.7212717533111572
