iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.4730979,"[2.839184  1.7328821 1.7328821 1.7328821 1.8833349 1.7328821 1.7328821
 2.9081953 2.5521522 2.7765503 2.9166322 1.4730979 1.7328821 1.7328821
 1.7328821 1.7328821]","[0.7705231  0.79965305 0.79965305 0.79965305 0.76521486 0.79965305
 0.79965305 0.7760273  0.7773159  0.7796178  0.7896494  0.7851533
 0.79965305 0.79965305 0.79965305 0.79965305]","[-0.23494191 -0.22621632 -0.22621632 -0.22621632 -0.24024843 -0.22621632
 -0.22621632 -0.23401637 -0.23721667 -0.2318068  -0.23394631 -0.23029874
 -0.22621632 -0.22621632 -0.22621632 -0.22621632]","[3.074126  1.9590985 1.9590985 1.9590985 2.1235833 1.9590985 1.9590985
 3.1422117 2.7893689 3.008357  3.1505785 1.7033967 1.9590985 1.9590985
 1.9590985 1.9590985]"
1,1.4730979,"[1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821
 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821
 1.7328821 1.7328821]","[0.79965305 0.79965305 0.79965305 0.79965305 0.79965305 0.79965305
 0.79965305 0.79965305 0.79965305 0.79965305 0.79965305 0.79965305
 0.79965305 0.79965305 0.79965305 0.79965305]","[-0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22621632]","[1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985
 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985
 1.9590985 1.9590985]"
2,1.4730979,"[2.3553135 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821
 1.7328821 1.7328821 1.5837761 1.7328821 1.5609083 1.7328821 1.7328821
 1.6831354 1.7328821]","[0.76666695 0.79965305 0.79965305 0.79965305 0.79965305 0.79965305
 0.79965305 0.79965305 0.79965305 0.7774405  0.79965305 0.7772694
 0.79965305 0.79965305 0.7679062  0.79965305]","[-0.2405312  -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22671258 -0.22621632 -0.22700289
 -0.22621632 -0.22621632 -0.22508495 -0.22621632]","[2.5958447 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985
 1.9590985 1.9590985 1.8104887 1.9590985 1.7879112 1.9590985 1.9590985
 1.9082203 1.9590985]"
3,1.4730979,"[2.6021786 1.6743894 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821
 2.071675  2.5833902 1.7782243 1.7848655 2.6138275 2.6829865 2.7096553
 1.7328821 1.7328821]","[0.7772691  0.76011604 0.79965305 0.79965305 0.79965305 0.79965305
 0.79965305 0.780616   0.7254084  0.7800243  0.7905661  0.7770278
 0.7818181  0.7804486  0.79965305 0.79965305]","[-0.23788913 -0.24104856 -0.22621632 -0.22621632 -0.22621632 -0.22621632
 -0.22621632 -0.2220772  -0.21677423 -0.2202448  -0.22971669 -0.23667555
 -0.23824795 -0.23479846 -0.22621632 -0.22621632]","[2.8400676 1.9154379 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985
 2.2937522 2.8001645 1.9984691 2.0145822 2.850503  2.9212344 2.9444537
 1.9590985 1.9590985]"
4,1.4730979,"[2.5649624 1.7328821 1.7328821 1.6417038 2.1099725 1.7328821 1.7328821
 1.7328821 1.7328821 1.7328821 1.7317821 1.867983  2.8459115 1.5799342
 1.7328821 1.7328821]","[0.7708829  0.79965305 0.79965305 0.7677004  0.7826937  0.79965305
 0.79965305 0.79965305 0.79965305 0.79965305 0.74791163 0.757473
 0.7658931  0.7687575  0.79965305 0.79965305]","[-0.23622262 -0.22621632 -0.22621632 -0.22615185 -0.2239772  -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.2291353  -0.23727737
 -0.23036392 -0.21746619 -0.22621632 -0.22621632]","[2.8011851 1.9590985 1.9590985 1.8678557 2.3339496 1.9590985 1.9590985
 1.9590985 1.9590985 1.9590985 1.9609174 2.1052604 3.0762753 1.7974005
 1.9590985 1.9590985]"
5,1.088363,"[2.075771  1.9541347 1.7328821 2.7569246 1.088363  1.7328821 1.7328821
 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 2.1271439 1.9710859
 1.7328821 1.7328821]","[0.7687424  0.7871779  0.79965305 0.7822685  0.7642872  0.79965305
 0.79965305 0.79965305 0.79965305 0.79965305 0.79965305 0.79965305
 0.7834783  0.7846953  0.79965305 0.79965305]","[-0.23735729 -0.2271998  -0.22621632 -0.23535354 -0.22618775 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632
 -0.22538741 -0.22039524 -0.22621632 -0.22621632]","[2.3131285 2.1813345 1.9590985 2.992278  1.3145508 1.9590985 1.9590985
 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 2.3525312 2.191481
 1.9590985 1.9590985]"
6,1.088363,"[2.5350547 1.7328821 2.2364306 1.7328821 2.365198  2.3607566 1.7328821
 1.7328821 1.7328821 1.7328821 2.0005386 1.7328821 1.7328821 1.7328821
 1.7328821 1.7328821]","[0.7758797  0.79965305 0.77114886 0.79965305 0.7656836  0.7498662
 0.79965305 0.79965305 0.79965305 0.79965305 0.76828295 0.79965305
 0.79965305 0.79965305 0.79965305 0.79965305]","[-0.23514485 -0.22621632 -0.24047907 -0.22621632 -0.23050801 -0.23387514
 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22548175 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22621632]","[2.7701995 1.9590985 2.4769096 1.9590985 2.595706  2.5946317 1.9590985
 1.9590985 1.9590985 1.9590985 2.2260203 1.9590985 1.9590985 1.9590985
 1.9590985 1.9590985]"
7,1.088363,"[1.7328821 2.3204274 1.7843323 2.27628   1.7328821 1.7328821 1.67607
 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.8351068
 1.9998045 1.7457805]","[0.79965305 0.7555322  0.7707009  0.7615771  0.79965305 0.79965305
 0.78984296 0.79965305 0.79965305 0.79965305 0.79965305 0.79965305
 0.79965305 0.77681154 0.77138835 0.7915309 ]","[-0.22621632 -0.23518649 -0.23467903 -0.23724993 -0.22621632 -0.22621632
 -0.22804132 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632
 -0.22621632 -0.22710846 -0.21977924 -0.22785781]","[1.9590985 2.555614  2.0190113 2.5135298 1.9590985 1.9590985 1.9041113
 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 2.0622153
 2.2195837 1.9736383]"
8,1.088363,"[1.7328821 1.745996  1.7328821 1.7328821 1.6183197 1.7328821 1.7328821
 1.7328821 1.7328821 1.7328821 1.7523599 1.7328821 1.7328821 1.7328821
 1.3741314 1.7328821]","[0.79965305 0.7827864  0.79965305 0.79965305 0.7884997  0.79965305
 0.79965305 0.79965305 0.79965305 0.79965305 0.75385374 0.79965305
 0.79965305 0.79965305 0.77839005 0.79965305]","[-0.22621632 -0.22773479 -0.22621632 -0.22621632 -0.23056316 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22788997 -0.22621632
 -0.22621632 -0.22621632 -0.22228037 -0.22621632]","[1.9590985 1.9737308 1.9590985 1.9590985 1.8488829 1.9590985 1.9590985
 1.9590985 1.9590985 1.9590985 1.9802499 1.9590985 1.9590985 1.9590985
 1.5964118 1.9590985]"
9,1.088363,"[1.7328821 2.0765903 1.7328821 1.7328821 1.7328821 1.9985577 1.7328821
 1.7328821 1.7328821 1.7793294 2.0077305 1.7328821 1.7328821 1.7328821
 2.2471688 1.7328821]","[0.79965305 0.76296014 0.79965305 0.79965305 0.79965305 0.78242946
 0.79965305 0.79965305 0.79965305 0.7537505  0.77029073 0.79965305
 0.79965305 0.79965305 0.7719669  0.79965305]","[-0.22621632 -0.22237276 -0.22621632 -0.22621632 -0.22621632 -0.2279965
 -0.22621632 -0.22621632 -0.22621632 -0.22501741 -0.22642629 -0.22621632
 -0.22621632 -0.22621632 -0.23301362 -0.22621632]","[1.9590985 2.298963  1.9590985 1.9590985 1.9590985 2.2265542 1.9590985
 1.9590985 1.9590985 2.0043468 2.2341568 1.9590985 1.9590985 1.9590985
 2.4801824 1.9590985]"
10,1.088363,"[1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821
 1.7328821 1.7328821 1.7244081 1.7328821 1.7555261 1.8464904 1.7328821
 1.7328821 1.7328821]","[0.79965305 0.79965305 0.79965305 0.79965305 0.79965305 0.79965305
 0.79965305 0.79965305 0.79965305 0.77782744 0.79965305 0.7898108
 0.77090406 0.79965305 0.79965305 0.79965305]","[-0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.23331022 -0.22621632 -0.22804072
 -0.22357364 -0.22621632 -0.22621632 -0.22621632]","[1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985
 1.9590985 1.9590985 1.9577184 1.9590985 1.9835668 2.070064  1.9590985
 1.9590985 1.9590985]"
11,1.088363,"[1.9361907 1.7977934 1.7328821 1.7328821 2.262221  1.7328821 1.7328821
 1.4574715 1.8372226 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821
 1.7328821 1.7328821]","[0.78661853 0.777565   0.79965305 0.79965305 0.75954336 0.79965305
 0.79965305 0.78180516 0.76439065 0.79965305 0.79965305 0.79965305
 0.79965305 0.79965305 0.79965305 0.79965305]","[-0.22238477 -0.23216441 -0.22621632 -0.22621632 -0.22978587 -0.22621632
 -0.22621632 -0.22850142 -0.22475691 -0.22621632 -0.22621632 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22621632]","[2.1585755 2.0299578 1.9590985 1.9590985 2.492007  1.9590985 1.9590985
 1.6859729 2.0619795 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985
 1.9590985 1.9590985]"
12,1.088363,"[1.8078288 1.6077731 1.7328821 1.7328821 1.9826912 2.083561  2.478414
 1.8547639 1.7328821 1.7328821 1.8919466 1.7328821 1.7328821 1.7328821
 2.708914  1.7328821]","[0.7942528  0.79300374 0.79965305 0.79965305 0.7715042  0.7817673
 0.769875   0.7702266  0.79965305 0.79965305 0.78672135 0.79965305
 0.79965305 0.79965305 0.7666473  0.79965305]","[-0.22499906 -0.23075318 -0.22621632 -0.22621632 -0.22064295 -0.22205448
 -0.2200871  -0.23042165 -0.22621632 -0.22621632 -0.22806783 -0.22621632
 -0.22621632 -0.22621632 -0.23225223 -0.22621632]","[2.0328279 1.8385262 1.9590985 1.9590985 2.203334  2.3056154 2.698501
 2.0851855 1.9590985 1.9590985 2.1200144 1.9590985 1.9590985 1.9590985
 2.9411662 1.9590985]"
13,1.088363,"[1.7328821 1.6827846 1.7328821 2.851773  1.7328821 1.7328821 1.7328821
 2.1483188 1.7328821 1.7328821 1.6055069 1.7328821 1.7328821 1.7328821
 1.7328821 1.7328821]","[0.79965305 0.7568824  0.79965305 0.7852203  0.79965305 0.79965305
 0.79965305 0.7760904  0.79965305 0.79965305 0.786893   0.79965305
 0.79965305 0.79965305 0.79965305 0.79965305]","[-0.22621632 -0.2266252  -0.22621632 -0.23279014 -0.22621632 -0.22621632
 -0.22621632 -0.22831324 -0.22621632 -0.22621632 -0.23101309 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22621632]","[1.9590985 1.9094098 1.9590985 3.0845633 1.9590985 1.9590985 1.9590985
 2.376632  1.9590985 1.9590985 1.83652   1.9590985 1.9590985 1.9590985
 1.9590985 1.9590985]"
14,1.088363,"[1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 2.0621526
 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821 1.7328821
 1.7328821 1.7328821]","[0.79965305 0.79965305 0.79965305 0.79965305 0.79965305 0.79965305
 0.7728668  0.79965305 0.79965305 0.79965305 0.79965305 0.79965305
 0.79965305 0.79965305 0.79965305 0.79965305]","[-0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632
 -0.22624703 -0.22621632 -0.22621632 -0.22621632 -0.22621632 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22621632]","[1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 2.2883997
 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985 1.9590985
 1.9590985 1.9590985]"
15,1.088363,"[1.7328821 1.7328821 1.8311923 1.7328821 1.7328821 1.7328821 1.7328821
 1.7328821 1.7328821 1.7448378 1.7328821 1.7328821 1.472158  1.7328821
 1.5946364 1.7328821]","[0.79965305 0.79965305 0.7815223  0.79965305 0.79965305 0.79965305
 0.79965305 0.79965305 0.79965305 0.7793458  0.79965305 0.79965305
 0.7924091  0.79965305 0.78350824 0.79965305]","[-0.22621632 -0.22621632 -0.23225093 -0.22621632 -0.22621632 -0.22621632
 -0.22621632 -0.22621632 -0.22621632 -0.22743654 -0.22621632 -0.22621632
 -0.23252366 -0.22621632 -0.23063436 -0.22621632]","[1.9590985 1.9590985 2.0634432 1.9590985 1.9590985 1.9590985 1.9590985
 1.9590985 1.9590985 1.9722743 1.9590985 1.9590985 1.7046816 1.9590985
 1.8252708 1.9590985]"
16,1.088363,"[1.7328821 1.7328821 1.9279474 1.7328821 1.7328821 1.7328821 1.7008721
 1.7328821 3.08961   1.7952492 1.4754584 1.7328821 1.7328821 1.7328821
 1.7732904 1.7328821]","[0.79965305 0.79965305 0.7539961  0.79965305 0.79965305 0.79965305
 0.76935464 0.79965305 0.77660567 0.7545764  0.7849664  0.79965305
 0.79965305 0.79965305 0.79258436 0.79965305]","[-0.22621632 -0.22621632 -0.22615393 -0.22621632 -0.22621632 -0.22621632
 -0.22397633 -0.22621632 -0.2335699  -0.22495346 -0.22884579 -0.22621632
 -0.22621632 -0.22621632 -0.22868748 -0.22621632]","[1.9590985 1.9590985 2.1541014 1.9590985 1.9590985 1.9590985 1.9248484
 1.9590985 3.32318   2.0202026 1.7043042 1.9590985 1.9590985 1.9590985
 2.001978  1.9590985]"
