iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,0.83493876,"[0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876
 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876
 0.83493876 0.83493876 0.83493876 0.83493876]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22729754]","[1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363
 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363
 1.0622363 1.0622363]"
1,0.7866822,"[0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 0.7866822
 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 1.1122601
 0.83493876 0.83493876 0.83493876 0.83493876]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49835092
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49674064
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.2312619
 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.23062253
 -0.22729754 -0.22729754 -0.22729754 -0.22729754]","[1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0179441 1.0622363
 1.0622363 1.0622363 1.0622363 1.0622363 1.3428826 1.0622363 1.0622363
 1.0622363 1.0622363]"
2,0.7866822,"[0.83493876 0.83493876 0.83493876 0.83493876 1.0238929  0.83493876
 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876
 0.83493876 0.83493876 0.83493876 0.83493876]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4953809 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.21330711 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22729754]","[1.0622363 1.0622363 1.0622363 1.0622363 1.2372    1.0622363 1.0622363
 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363
 1.0622363 1.0622363]"
3,0.7866822,"[0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876
 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876
 0.83493876 0.83493876 1.0188854  0.83493876]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.49785018 0.4999999 ]","[-0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754
 -0.22729754 -0.22729754 -0.22469267 -0.22729754]","[1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363
 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363
 1.2435781 1.0622363]"
4,0.595588,"[0.83493876 0.83493876 0.595588   0.83493876 0.84224606 0.83493876
 0.83493876 0.6280143  0.83493876 0.687585   0.83493876 0.6745866
 0.83493876 0.83493876 0.83493876 0.83493876]","[0.4999999  0.4999999  0.49797952 0.4999999  0.49670595 0.4999999
 0.4999999  0.49451393 0.4999999  0.49461663 0.4999999  0.49563068
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22729754 -0.22729754 -0.22645575 -0.22729754 -0.23204157 -0.22729754
 -0.22729754 -0.23108782 -0.22729754 -0.23108587 -0.22729754 -0.2295053
 -0.22729754 -0.22729754 -0.22729754 -0.22729754]","[1.0622363  1.0622363  0.8220438  1.0622363  1.0742877  1.0622363
 1.0622363  0.85910213 1.0622363  0.9186709  1.0622363  0.9040919
 1.0622363  1.0622363  1.0622363  1.0622363 ]"
5,0.595588,"[0.83493876 0.83493876 0.83493876 1.344558   1.0963502  0.83493876
 0.83493876 0.83493876 0.83493876 0.96758187 0.6411383  0.83493876
 0.83493876 0.6405903  0.83493876 0.83493876]","[0.4999999  0.4999999  0.4999999  0.39399186 0.48950377 0.4999999
 0.4999999  0.4999999  0.4999999  0.49642855 0.49062252 0.4999999
 0.4999999  0.4975266  0.4999999  0.4999999 ]","[-0.22729754 -0.22729754 -0.22729754 -0.22236693 -0.20085338 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22850266 -0.23171932 -0.22729754
 -0.22729754 -0.23114803 -0.22729754 -0.22729754]","[1.0622363  1.0622363  1.0622363  1.5669249  1.2972035  1.0622363
 1.0622363  1.0622363  1.0622363  1.1960845  0.87285763 1.0622363
 1.0622363  0.8717384  1.0622363  1.0622363 ]"
6,0.595588,"[0.83493876 0.83493876 0.71315795 0.83493876 0.83493876 0.83493876
 0.93376905 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876
 0.83493876 0.83493876 0.83493876 0.83493876]","[0.4999999  0.4999999  0.49370623 0.4999999  0.4999999  0.4999999
 0.4839679  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22729754 -0.22729754 -0.2250575  -0.22729754 -0.22729754 -0.22729754
 -0.22548002 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22729754]","[1.0622363  1.0622363  0.93821543 1.0622363  1.0622363  1.0622363
 1.1592491  1.0622363  1.0622363  1.0622363  1.0622363  1.0622363
 1.0622363  1.0622363  1.0622363  1.0622363 ]"
7,0.595588,"[0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876
 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 0.83493876
 0.83493876 0.83493876 0.83493876 0.83493876]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22729754]","[1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363
 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363 1.0622363
 1.0622363 1.0622363]"
8,0.19944957,"[0.83493876 1.0965644  0.83493876 1.0037711  0.83493876 0.83493876
 0.7625803  0.19944957 0.83493876 1.3614812  0.83493876 0.83493876
 0.83493876 0.83493876 0.83493876 0.71471685]","[0.4999999  0.4488521  0.4999999  0.49700612 0.4999999  0.4999999
 0.45452917 0.48491308 0.4999999  0.34940732 0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.49884334]","[-0.22729754 -0.20689377 -0.22729754 -0.22873455 -0.22729754 -0.22729754
 -0.22526574 -0.22562718 -0.22729754 -0.21168686 -0.22729754 -0.22729754
 -0.22729754 -0.22729754 -0.22729754 -0.22847515]","[1.0622363  1.3034582  1.0622363  1.2325057  1.0622363  1.0622363
 0.987846   0.42507675 1.0622363  1.573168   1.0622363  1.0622363
 1.0622363  1.0622363  1.0622363  0.943192  ]"
9,0.19944957,"[0.83493876 0.83493876 0.83493876 0.83493876 0.83493876 0.72213626
 1.191894   0.83493876 0.83493876 0.9507456  0.51623744 1.0853605
 0.44289184 0.94417715 0.83493876 1.4467906 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49757987
 0.4963452  0.4999999  0.4999999  0.49564147 0.48776034 0.49035147
 0.48508352 0.49695387 0.4999999  0.49630046]","[-0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.22729754 -0.23351249
 -0.22508517 -0.22729754 -0.22729754 -0.22694658 -0.21927817 -0.22335652
 -0.22459722 -0.22784695 -0.22729754 -0.2184654 ]","[1.0622363  1.0622363  1.0622363  1.0622363  1.0622363  0.9556488
 1.4169792  1.0622363  1.0622363  1.1776922  0.7355156  1.308717
 0.66748905 1.1720241  1.0622363  1.665256  ]"
