iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.1345533,"[2.2591593 2.4865236 2.0549543 1.371586  2.555545  3.0483854 2.696881
 1.6142383 2.6111968 2.725806  1.1345533 1.9412496 2.3386507 2.5506997
 2.2612262 1.1345533]","[0.62558997 0.661435   0.58128786 0.6592385  0.6378481  0.6235422
 0.6568371  0.6417216  0.6383811  0.6411323  0.66637754 0.6176171
 0.6246806  0.63175803 0.60900974 0.66637754]","[-0.23021412 -0.22971076 -0.22652143 -0.21953861 -0.2268369  -0.22638085
 -0.22890303 -0.2384985  -0.22844188 -0.22800331 -0.23176359 -0.2344799
 -0.22798674 -0.22963727 -0.2266978  -0.23176359]","[2.4893734 2.7162344 2.2814758 1.5911245 2.782382  3.2747662 2.925784
 1.8527367 2.8396387 2.9538093 1.3663169 2.1757295 2.5666375 2.7803369
 2.487924  1.3663169]"
1,1.0749195,"[1.1345533 1.4040287 1.1345533 1.7985059 1.1370559 2.6877522 1.1345533
 3.0964694 1.4267507 1.1345533 1.5243826 1.6110833 1.0749195 1.5203018
 1.1345533 2.691626 ]","[0.66637754 0.6368513  0.66637754 0.6583089  0.6523771  0.627724
 0.66637754 0.58201957 0.60664535 0.66637754 0.58228254 0.5812237
 0.65413356 0.6550691  0.66637754 0.61645734]","[-0.23176359 -0.22121757 -0.23176359 -0.21888147 -0.22455251 -0.22775483
 -0.23176359 -0.22449583 -0.23352647 -0.23176359 -0.22567433 -0.22077808
 -0.22506784 -0.21922116 -0.23176359 -0.22755192]","[1.3663169 1.6252463 1.3663169 2.0173874 1.3616084 2.915507  1.3663169
 3.3209653 1.6602771 1.3663169 1.750057  1.8318614 1.2999873 1.7395229
 1.3663169 2.919178 ]"
2,1.0240978,"[1.6777143 1.1345533 2.0298495 1.1345533 1.0240978 1.4760871 1.1345533
 1.1345533 1.1345533 1.7986263 1.1345533 1.1345533 1.9835151 1.1345533
 1.1345533 1.1345533]","[0.6604526  0.66637754 0.580155   0.66637754 0.66206    0.6577062
 0.66637754 0.66637754 0.66637754 0.6239959  0.66637754 0.66637754
 0.59697384 0.66637754 0.66637754 0.66637754]","[-0.22182474 -0.23176359 -0.22105817 -0.23176359 -0.22506127 -0.21933106
 -0.23176359 -0.23176359 -0.23176359 -0.2367514  -0.23176359 -0.23176359
 -0.22555034 -0.23176359 -0.23176359 -0.23176359]","[1.8995391 1.3663169 2.2509077 1.3663169 1.2491591 1.6954181 1.3663169
 1.3663169 1.3663169 2.0353777 1.3663169 1.3663169 2.2090654 1.3663169
 1.3663169 1.3663169]"
3,1.0240978,"[1.1345533 1.1345533 1.1345533 1.6141934 1.1345533 1.1345533 1.1345533
 1.1345533 1.7578874 1.1345533 1.7682134 1.1345533 1.1345533 1.1345533
 1.2486975 1.1345533]","[0.66637754 0.66637754 0.66637754 0.59630764 0.66637754 0.66637754
 0.66637754 0.66637754 0.59279644 0.66637754 0.57833356 0.66637754
 0.66637754 0.66637754 0.6643518  0.66637754]","[-0.23176359 -0.23176359 -0.23176359 -0.22948238 -0.23176359 -0.23176359
 -0.23176359 -0.23176359 -0.22375125 -0.23176359 -0.22292148 -0.23176359
 -0.23176359 -0.23176359 -0.22239071 -0.23176359]","[1.3663169 1.3663169 1.3663169 1.8436759 1.3663169 1.3663169 1.3663169
 1.3663169 1.9816387 1.3663169 1.9911349 1.3663169 1.3663169 1.3663169
 1.4710882 1.3663169]"
4,1.0240978,"[1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.4364355
 2.255446  1.1345533 1.1345533 1.6757908 1.179475  1.1345533 1.1345533
 1.1345533 1.1345533]","[0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.6648731  0.6170765  0.66637754 0.66637754 0.623824   0.64472306
 0.66637754 0.66637754 0.66637754 0.66637754]","[-0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359
 -0.21803665 -0.22605638 -0.23176359 -0.23176359 -0.23912737 -0.2281724
 -0.23176359 -0.23176359 -0.23176359 -0.23176359]","[1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.6544721
 2.4815023 1.3663169 1.3663169 1.9149182 1.4076474 1.3663169 1.3663169
 1.3663169 1.3663169]"
5,1.0240978,"[1.1345533 1.1345533 1.1345533 1.687217  1.1345533 1.1345533 1.9721936
 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533
 1.1345533 2.6221437]","[0.66637754 0.66637754 0.66637754 0.62112296 0.66637754 0.66637754
 0.58677006 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.6495708 ]","[-0.23176359 -0.23176359 -0.23176359 -0.226356   -0.23176359 -0.23176359
 -0.23254101 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359
 -0.23176359 -0.23176359 -0.23176359 -0.23205511]","[1.3663169 1.3663169 1.3663169 1.913573  1.3663169 1.3663169 2.2047346
 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169
 1.3663169 2.854199 ]"
6,1.0240978,"[1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533
 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.54718
 1.1345533 1.1345533]","[0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.6330237  0.66637754 0.66637754]","[-0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359
 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359
 -0.23176359 -0.22663347 -0.23176359 -0.23176359]","[1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169
 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.7738135
 1.3663169 1.3663169]"
7,1.0240978,"[1.1345533 1.1345533 2.3025234 1.1345533 1.1345533 1.1345533 1.1345533
 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533
 1.1345533 1.1345533]","[0.66637754 0.66637754 0.62492764 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754]","[-0.23176359 -0.23176359 -0.22766046 -0.23176359 -0.23176359 -0.23176359
 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359
 -0.23176359 -0.23176359 -0.23176359 -0.23176359]","[1.3663169 1.3663169 2.5301838 1.3663169 1.3663169 1.3663169 1.3663169
 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169
 1.3663169 1.3663169]"
8,1.0240978,"[1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533
 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533
 1.1345533 1.1345533]","[0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754]","[-0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359
 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359
 -0.23176359 -0.23176359 -0.23176359 -0.23176359]","[1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169
 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169
 1.3663169 1.3663169]"
9,1.0240978,"[1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533
 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533 1.1345533
 1.1345533 1.2143244]","[0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754 0.66637754
 0.66637754 0.66637754 0.66637754 0.639551  ]","[-0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359
 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359 -0.23176359
 -0.23176359 -0.23176359 -0.23176359 -0.22530758]","[1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169
 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169 1.3663169
 1.3663169 1.4396319]"
