iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,1.4799461,"[1.5667456 2.3759117 1.4799461 2.8508046 2.5833886 1.5667456 3.0739167
 1.5667456 2.5556726 2.1527836 2.910405  1.5667456 3.174721  2.2371387
 1.5667456 2.7701898]","[0.74967474 0.72685724 0.7379244  0.7190156  0.7241611  0.74967474
 0.7264162  0.74967474 0.72789156 0.72608787 0.72207415 0.74967474
 0.7279864  0.718291   0.74967474 0.72970617]","[-0.22632897 -0.23458198 -0.22782734 -0.224189   -0.23320861 -0.22632897
 -0.22976854 -0.22632897 -0.22808163 -0.23765104 -0.23301807 -0.22632897
 -0.22961202 -0.23857182 -0.22632897 -0.2305265 ]","[1.7930746 2.6104937 1.7077734 3.0749936 2.8165972 1.7930746 3.3036852
 1.7930746 2.7837543 2.3904347 3.143423  1.7930746 3.404333  2.4757106
 1.7930746 3.0007162]"
1,1.4799461,"[2.529627  1.5667456 1.5667456 1.5667456 2.406606  1.5667456 1.5667456
 1.5667456 2.1620417 1.8613852 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456]","[0.7113426  0.74967474 0.74967474 0.74967474 0.7294625  0.74967474
 0.74967474 0.74967474 0.7079223  0.71236306 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474]","[-0.22840074 -0.22632897 -0.22632897 -0.22632897 -0.23614046 -0.22632897
 -0.22632897 -0.22632897 -0.22196004 -0.21749939 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897]","[2.7580278 1.7930746 1.7930746 1.7930746 2.6427464 1.7930746 1.7930746
 1.7930746 2.3840017 2.0788846 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746]"
2,1.4694012,"[1.5667456 1.4694012 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456 1.5667456 1.5667456 3.023663  1.5667456 1.5667456
 1.5667456 3.070725 ]","[0.74967474 0.72672164 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.7326041
 0.74967474 0.74967474 0.74967474 0.731308  ]","[-0.22632897 -0.23049267 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22687241
 -0.22632897 -0.22632897 -0.22632897 -0.22743943]","[1.7930746 1.699894  1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746 1.7930746 1.7930746 3.2505355 1.7930746 1.7930746
 1.7930746 3.2981644]"
3,1.4694012,"[2.1414723 1.5667456 3.0467858 1.5667456 1.5667456 2.4884806 1.5667456
 1.5667456 1.5667456 1.5667456 1.5667456 1.6042182 1.5667456 1.5667456
 3.1733658 1.5667456]","[0.7268915  0.74967474 0.72615206 0.74967474 0.74967474 0.72893596
 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.7295594
 0.74967474 0.74967474 0.72985876 0.74967474]","[-0.2327379  -0.22632897 -0.23086846 -0.22632897 -0.22632897 -0.23510873
 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22993277
 -0.22632897 -0.22632897 -0.22957683 -0.22632897]","[2.3742104 1.7930746 3.2776544 1.7930746 1.7930746 2.7235892 1.7930746
 1.7930746 1.7930746 1.7930746 1.7930746 1.834151  1.7930746 1.7930746
 3.4029427 1.7930746]"
4,1.4694012,"[1.5667456 1.5667456 1.5667456 1.5667456 1.5468094 1.5667456 1.5667456
 2.6693003 2.6937222 2.701181  1.5667456 1.5667456 1.5667456 1.5667456
 2.9247527 1.5667456]","[0.74967474 0.74967474 0.74967474 0.74967474 0.72030383 0.74967474
 0.74967474 0.7278079  0.727632   0.72831124 0.74967474 0.74967474
 0.74967474 0.74967474 0.7247229  0.74967474]","[-0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.2315019  -0.22632897
 -0.22632897 -0.23390035 -0.228841   -0.23296489 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22876371 -0.22632897]","[1.7930746 1.7930746 1.7930746 1.7930746 1.7783114 1.7930746 1.7930746
 2.9032006 2.9225633 2.934146  1.7930746 1.7930746 1.7930746 1.7930746
 3.1535165 1.7930746]"
5,1.4694012,"[1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 2.5652425 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 2.6742792 1.5667456]","[0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.724786   0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.7285083  0.74967474]","[-0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.23415582 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22975548 -0.22632897]","[1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 2.7993984 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 2.9040346 1.7930746]"
6,1.4694012,"[1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 2.1841538 1.5667456]","[0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.73017603 0.74967474]","[-0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.23566201 -0.22632897]","[1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 2.4198158 1.7930746]"
7,1.4694012,"[2.1435943 1.5667456 1.5667456 1.5667456 1.5667456 3.2346995 2.8500412
 2.2765381 1.5667456 1.5667456 1.5667456 2.120016  1.5667456 1.5667456
 1.5667456 1.5667456]","[0.7253156  0.74967474 0.74967474 0.74967474 0.74967474 0.7263502
 0.72648096 0.7322621  0.74967474 0.74967474 0.74967474 0.7215462
 0.74967474 0.74967474 0.74967474 0.74967474]","[-0.24276802 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22717649
 -0.22972344 -0.23191333 -0.22632897 -0.22632897 -0.22632897 -0.23124893
 -0.22632897 -0.22632897 -0.22632897 -0.22632897]","[2.3863623 1.7930746 1.7930746 1.7930746 1.7930746 3.461876  3.0797646
 2.5084515 1.7930746 1.7930746 1.7930746 2.351265  1.7930746 1.7930746
 1.7930746 1.7930746]"
8,1.4694012,"[1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.9464179 1.5667456 1.5667456 1.5667456 1.5667456 2.0510676
 1.5667456 2.2075145]","[0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.72134537 0.74967474 0.74967474 0.74967474
 0.74967474 0.7315748  0.74967474 0.7280947 ]","[-0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.2355789  -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.23048972 -0.22632897 -0.23528829]","[1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 2.1819968 1.7930746 1.7930746 1.7930746 1.7930746 2.2815573
 1.7930746 2.442803 ]"
9,1.4694012,"[1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456]","[0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474]","[-0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897]","[1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746]"
10,1.4694012,"[1.5667456 1.5667456 2.577488  1.5667456 2.7559462 1.5667456 1.6047616
 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456]","[0.74967474 0.74967474 0.73257816 0.74967474 0.72874284 0.74967474
 0.7300371  0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474]","[-0.22632897 -0.22632897 -0.23524997 -0.22632897 -0.23505871 -0.22632897
 -0.22873619 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897]","[1.7930746 1.7930746 2.812738  1.7930746 2.991005  1.7930746 1.8334978
 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746]"
11,1.4694012,"[1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456 2.6313272 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456]","[0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.7314414  0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474]","[-0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.23478377 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897]","[1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746 2.8661108 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746]"
12,1.4694012,"[1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456]","[0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474]","[-0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897]","[1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746]"
13,1.2962209,"[1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456 1.5667456 1.2962209 1.5667456 1.5667456 1.5667456
 1.5667456 1.5667456]","[0.74967474 0.74967474 0.74967474 0.74967474 0.74967474 0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474 0.7375353  0.74967474
 0.74967474 0.74967474 0.74967474 0.74967474]","[-0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897 -0.22942269 -0.22632897
 -0.22632897 -0.22632897 -0.22632897 -0.22632897]","[1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746 1.7930746 1.5256436 1.7930746 1.7930746 1.7930746
 1.7930746 1.7930746]"
