Level,final,0.25,0.5,0.75
0,,,,
1,0.8250853419303894,0.888252317905426,0.9133816957473755,0.8976149559020996
2,0.8821251392364502,0.9308401942253113,0.9252514839172363,0.8785637021064758
3,0.90228670835495,0.9298428893089294,0.8887485861778259,0.8769542574882507
4,0.9027603268623352,0.9122257828712463,0.8565548658370972,0.8906738758087158
