iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,0.7048111,"[0.7228236 1.1699343 1.1836528 1.2382191 2.1724896 1.1258246 1.4635655
 1.327173  1.6405742 2.1560364 1.4319873 1.1843808 1.8360887 1.3487912
 0.7048111 1.5029656]","[0.57768816 0.66637754 0.5693524  0.6262139  0.5811013  0.5590404
 0.5977566  0.60407555 0.6113484  0.594502   0.6344403  0.60130954
 0.59106755 0.6044084  0.5820502  0.61538166]","[-0.21416935 -0.22642434 -0.21178028 -0.22467709 -0.21549898 -0.22898099
 -0.21820423 -0.22163793 -0.22267209 -0.21219751 -0.20780556 -0.22645539
 -0.22142881 -0.21228465 -0.22162512 -0.22599094]","[0.93699294 1.3963586  1.3954331  1.4628962  2.3879886  1.3548056
 1.6817697  1.548811   1.8632463  2.368234   1.6397928  1.4108362
 2.0575175  1.5610759  0.9264362  1.7289565 ]"
1,0.7048111,"[1.1818335  1.1088967  1.379611   0.8405654  1.6041709  1.4042324
 0.93939984 2.2816417  1.1818566  1.9318554  1.4716004  0.75970954
 1.4268742  1.3954378  1.1479516  1.4680334 ]","[0.6149849  0.6246518  0.59881395 0.52652687 0.59595364 0.5954506
 0.62720406 0.59723264 0.609214   0.6069848  0.57348734 0.60270303
 0.5489601  0.6134073  0.5411264  0.60070586]","[-0.21850118 -0.2343406  -0.22334439 -0.222539   -0.21857342 -0.22288251
 -0.22409633 -0.21327785 -0.21804067 -0.22884159 -0.21831958 -0.2258114
 -0.21698593 -0.22085628 -0.2239884  -0.2252996 ]","[1.4003347  1.3432373  1.6029553  1.0631044  1.8227444  1.6271149
 1.1634961  2.4949195  1.3998973  2.160697   1.68992    0.98552096
 1.6438601  1.6162941  1.37194    1.693333  ]"
2,0.6658468,"[0.78092504 1.4791129  0.8900391  1.8523185  1.9007128  1.8808482
 1.8502922  1.1618962  0.9950551  1.9654754  0.88444096 0.88669753
 1.1653018  1.2026666  0.94217384 0.6658468 ]","[0.61066115 0.53115654 0.57193536 0.57893014 0.5961923  0.59942025
 0.61662006 0.61688197 0.6125046  0.63481605 0.6182008  0.5368041
 0.57404757 0.5864324  0.57706386 0.5964529 ]","[-0.2260866  -0.21845374 -0.22049454 -0.217195   -0.21530549 -0.21738094
 -0.2213304  -0.21214578 -0.22509131 -0.23144495 -0.23052377 -0.22700453
 -0.21548316 -0.22155772 -0.22087681 -0.23408398]","[1.0070117 1.6975666 1.1105336 2.0695136 2.1160183 2.0982292 2.0716226
 1.374042  1.2201464 2.1969204 1.1149647 1.113702  1.380785  1.4242244
 1.1630507 0.8999308]"
3,0.6658468,"[0.69083273 1.152794   0.89597106 0.89249414 0.9863169  1.5544099
 1.2699733  0.93034685 1.6173979  1.1208345  1.1699343  1.5376997
 0.8228413  1.2928147  1.5543997  0.9536746 ]","[0.5601593  0.60871476 0.5905354  0.61981916 0.6016617  0.60652363
 0.66291475 0.6109154  0.6193558  0.6059658  0.66637754 0.58100134
 0.61624694 0.60217583 0.62639797 0.6117393 ]","[-0.22629654 -0.21759264 -0.22367907 -0.23171405 -0.21664809 -0.22553146
 -0.2051377  -0.233466   -0.21845946 -0.22103724 -0.22642434 -0.21131453
 -0.21712598 -0.22021912 -0.21718279 -0.21800487]","[0.9171293 1.3703866 1.1196501 1.1242082 1.202965  1.7799413 1.475111
 1.1638129 1.8358574 1.3418717 1.3963586 1.7490143 1.0399673 1.5130339
 1.7715825 1.1716795]"
4,0.6052799,"[1.1650641  1.3804584  1.0332851  0.810472   0.8068266  1.3830643
 1.8680372  0.6052799  1.2509826  1.2315669  1.3371005  1.2316439
 0.9363906  1.1443356  0.88541734 0.99387705]","[0.6301846  0.6149943  0.6299094  0.6140192  0.60359    0.54256415
 0.63858247 0.55070627 0.59266466 0.535928   0.6131067  0.626739
 0.61460483 0.5881742  0.6186851  0.6104426 ]","[-0.20634615 -0.22484621 -0.20912951 -0.22024702 -0.22119057 -0.22288565
 -0.21909527 -0.22748196 -0.22472803 -0.22675894 -0.22829363 -0.21658826
 -0.21814518 -0.21792385 -0.23287153 -0.22396612]","[1.3714103 1.6053046 1.2424147 1.030719  1.0280172 1.6059499 2.0871325
 0.8327619 1.4757106 1.4583259 1.5653942 1.4482322 1.1545358 1.3622595
 1.1182889 1.2178432]"
5,0.6052799,"[1.419107  1.2445477 1.0491046 1.1111737 1.0861434 1.142895  0.9450588
 1.1699343 1.4941182 1.191912  1.1676875 1.5734265 1.3732088 1.0305218
 0.9505898 1.8797679]","[0.61170805 0.61972886 0.61838573 0.59566903 0.59825456 0.61549747
 0.5477339  0.66637754 0.6084379  0.6149525  0.61724985 0.6396877
 0.6242489  0.63384163 0.62152624 0.5678878 ]","[-0.2187576  -0.23507176 -0.2137997  -0.215029   -0.2181255  -0.20194387
 -0.22389552 -0.22642434 -0.22094771 -0.23624837 -0.2250396  -0.22636434
 -0.2296606  -0.22157088 -0.22943935 -0.20465854]","[1.6378646 1.4796195 1.2629043 1.3262028 1.3042688 1.3448389 1.1689544
 1.3963586 1.715066  1.4281604 1.3927271 1.7997909 1.6028694 1.2520926
 1.1800292 2.0844264]"
6,0.6052799,"[1.0166781 1.4141794 1.3989627 0.6605111 1.6699055 0.8974847 1.0098698
 1.6138978 1.1699343 1.4028537 1.3559753 1.0139204 1.0854338 1.1372981
 1.6013731 0.8934635]","[0.606128   0.5395588  0.5136036  0.55861807 0.6553237  0.56361055
 0.6098181  0.5441961  0.66637754 0.5844936  0.62429255 0.63039255
 0.62171817 0.6114119  0.559053   0.6034252 ]","[-0.20681828 -0.21477377 -0.21672294 -0.21716939 -0.1965904  -0.22147018
 -0.23235133 -0.22584634 -0.22642434 -0.21900436 -0.21255612 -0.20716064
 -0.21942012 -0.22153017 -0.21008854 -0.21822909]","[1.2234963 1.6289532 1.6156857 0.8776805 1.866496  1.1189549 1.2422211
 1.8397441 1.3963586 1.6218581 1.5685314 1.221081  1.3048539 1.3588283
 1.8114616 1.1116925]"
7,0.6052799,"[2.042332   1.4183494  1.0288848  1.0280417  0.90677875 1.6030006
 1.3997377  1.4062396  1.2447242  0.70053047 1.386534   0.65499306
 1.1022613  1.2983787  1.6630739  1.4132342 ]","[0.65961015 0.5904483  0.62376034 0.61282367 0.61113894 0.6344871
 0.61485285 0.61286914 0.59109205 0.5787372  0.5991828  0.599403
 0.5199113  0.6245789  0.6591842  0.62472636]","[-0.19447598 -0.21802251 -0.2249059  -0.22400627 -0.22137934 -0.2215665
 -0.2272979  -0.21708553 -0.22086313 -0.2300803  -0.20835924 -0.23199394
 -0.23046641 -0.20475543 -0.1993256  -0.20156334]","[2.2368078 1.6363719 1.2537906 1.252048  1.1281581 1.8245671 1.6270356
 1.6233251 1.4655873 0.9306108 1.5948932 0.886987  1.3327277 1.5031341
 1.8623995 1.6147976]"
8,0.6052799,"[0.8388326  1.2057954  1.3619907  0.83211035 1.3595673  1.1774002
 1.1699343  1.8526442  0.79694074 1.0764394  1.5893388  1.3540443
 1.0555661  1.0749018  1.1675583  0.77858603]","[0.52852136 0.6338924  0.5951035  0.5939709  0.58025587 0.64212936
 0.66637754 0.59889364 0.53730077 0.57737595 0.61872524 0.61398804
 0.6216542  0.6125233  0.6176474  0.5251901 ]","[-0.22803187 -0.20856902 -0.21507363 -0.21562116 -0.21402769 -0.23310576
 -0.22642434 -0.2097947  -0.22232515 -0.21856916 -0.22234342 -0.22267735
 -0.21130681 -0.22605729 -0.23004042 -0.23115262]","[1.0668645 1.4143645 1.5770643 1.0477315 1.5735949 1.410506  1.3963586
 2.062439  1.0192659 1.2950085 1.8116822 1.5767217 1.2668729 1.3009591
 1.3975987 1.0097387]"
9,0.44176352,"[1.828898   1.83382    1.3183806  0.7607499  1.6439224  1.1699343
 1.2682877  1.6323487  1.0804867  0.639989   1.0662233  0.69683695
 1.2120401  0.44176352 1.5699766  1.1984898 ]","[0.6176367  0.56934524 0.61609113 0.61495984 0.60438293 0.66637754
 0.6111948  0.6459203  0.5953581  0.5394387  0.6080748  0.5544962
 0.60151744 0.53450036 0.61327827 0.5995751 ]","[-0.2060506  -0.20659912 -0.2250176  -0.21707557 -0.22319543 -0.22642434
 -0.2216891  -0.22398385 -0.21499442 -0.22893064 -0.21350178 -0.2191064
 -0.20895919 -0.23014997 -0.21584523 -0.20855188]","[2.0349486  2.040419   1.5433981  0.97782546 1.8671179  1.3963586
 1.4899768  1.8563325  1.2954811  0.8689197  1.2797251  0.9159434
 1.4209993  0.6719135  1.7858218  1.4070417 ]"
