iteration,best_loss,loss,loss_oe,loss_prompt,loss_softmax
0,0.8485571,"[0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571
 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571
 0.8485571 0.8485571]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22706081]","[1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179
 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179
 1.0756179 1.0756179]"
1,0.7958403,"[0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.7958403 0.8485571
 0.8485571 0.8485571 0.8485571 0.8485571 1.1580884 0.8485571 0.8485571
 0.8485571 0.8485571]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49835092
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.49674064
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.23104638
 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.2300449
 -0.22706081 -0.22706081 -0.22706081 -0.22706081]","[1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0268867 1.0756179
 1.0756179 1.0756179 1.0756179 1.0756179 1.3881333 1.0756179 1.0756179
 1.0756179 1.0756179]"
2,0.7958403,"[0.8485571 0.8485571 0.8485571 0.8485571 0.9844662 0.8485571 0.8485571
 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571
 0.8485571 0.8485571]","[0.4999999 0.4999999 0.4999999 0.4999999 0.4953809 0.4999999 0.4999999
 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999 0.4999999
 0.4999999 0.4999999]","[-0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.21444264 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22706081]","[1.0756179 1.0756179 1.0756179 1.0756179 1.1989088 1.0756179 1.0756179
 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179
 1.0756179 1.0756179]"
3,0.7958403,"[0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571
 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571
 0.9990082 0.8485571]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.49785018 0.4999999 ]","[-0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22706081 -0.22484878 -0.22706081]","[1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179
 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179
 1.2238569 1.0756179]"
4,0.6688794,"[0.8485571  0.8485571  0.6688794  0.8485571  0.87251735 0.8485571
 0.8485571  0.70525974 0.8485571  0.7795251  0.8485571  0.6855658
 0.8485571  0.8485571  0.8485571  0.8485571 ]","[0.4999999  0.4999999  0.49797952 0.4999999  0.49670595 0.4999999
 0.4999999  0.49451393 0.4999999  0.49461663 0.4999999  0.49563068
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22706081 -0.22706081 -0.2248334  -0.22706081 -0.23172781 -0.22706081
 -0.22706081 -0.22983634 -0.22706081 -0.22975819 -0.22706081 -0.22938251
 -0.22706081 -0.22706081 -0.22706081 -0.22706081]","[1.0756179  1.0756179  0.89371276 1.0756179  1.1042452  1.0756179
 1.0756179  0.9350961  1.0756179  1.0092833  1.0756179  0.91494834
 1.0756179  1.0756179  1.0756179  1.0756179 ]"
5,0.5634211,"[0.8485571 0.8485571 0.8485571 0.8485571 1.2173735 0.8485571 0.8485571
 0.8485571 0.8485571 0.7952253 0.5634211 0.8485571 0.8485571 0.9013832
 0.8485571 0.8485571]","[0.4999999  0.4999999  0.4999999  0.4999999  0.34880254 0.4999999
 0.4999999  0.4999999  0.4999999  0.4994234  0.49365762 0.4999999
 0.4999999  0.48766094 0.4999999  0.4999999 ]","[-0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.21328416 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22946638 -0.2293907  -0.22706081
 -0.22706081 -0.22978945 -0.22706081 -0.22706081]","[1.0756179  1.0756179  1.0756179  1.0756179  1.4306576  1.0756179
 1.0756179  1.0756179  1.0756179  1.0246917  0.79281175 1.0756179
 1.0756179  1.1311727  1.0756179  1.0756179 ]"
6,0.5634211,"[0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.76528
 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571 0.8485571
 0.8485571 0.8485571]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.48793757 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22715166 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22706081]","[1.0756179  1.0756179  1.0756179  1.0756179  1.0756179  1.0756179
 0.99243164 1.0756179  1.0756179  1.0756179  1.0756179  1.0756179
 1.0756179  1.0756179  1.0756179  1.0756179 ]"
7,0.5634211,"[0.8168783  0.8485571  0.8485571  0.87680554 0.8485571  0.8485571
 0.8485571  0.91380686 0.8485571  0.8485571  0.8485571  0.8485571
 0.8485571  0.8485571  0.8485571  0.8485571 ]","[0.49331787 0.4999999  0.4999999  0.49665794 0.4999999  0.4999999
 0.4999999  0.49665242 0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.2330929  -0.22706081 -0.22706081 -0.2254717  -0.22706081 -0.22706081
 -0.22706081 -0.2288118  -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22706081]","[1.0499712 1.0756179 1.0756179 1.1022773 1.0756179 1.0756179 1.0756179
 1.1426187 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179
 1.0756179 1.0756179]"
8,0.5634211,"[0.8485571  0.99007106 0.7240447  0.8485571  0.8485571  0.8485571
 0.8485571  0.8485571  0.8485571  0.8485571  0.8485571  0.8485571
 0.8485571  0.8485571  0.8485571  0.8485571 ]","[0.4999999  0.49277297 0.49472576 0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.4999999  0.4999999  0.4999999 ]","[-0.22706081 -0.20440534 -0.22738698 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22706081 -0.22706081 -0.22706081]","[1.0756179  1.1944764  0.95143163 1.0756179  1.0756179  1.0756179
 1.0756179  1.0756179  1.0756179  1.0756179  1.0756179  1.0756179
 1.0756179  1.0756179  1.0756179  1.0756179 ]"
9,0.5634211,"[0.8485571  0.8485571  0.8485571  0.8485571  0.8485571  1.0256104
 0.8485571  0.8485571  0.8485571  0.8485571  0.8485571  0.8485571
 0.8485571  0.94139993 0.8485571  1.6442103 ]","[0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4971084
 0.4999999  0.4999999  0.4999999  0.4999999  0.4999999  0.4999999
 0.4999999  0.49952728 0.4999999  0.48592934]","[-0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22793296
 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081 -0.22706081
 -0.22706081 -0.22902538 -0.22706081 -0.21118644]","[1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.2535434 1.0756179
 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.0756179 1.1704253
 1.0756179 1.8553967]"
